fiscal_year,regime,country,section,rows,qty_imp,val_imp,qty_efc,val_efc,duty
1870,B,"8,272",DUTIABLE,1,8278,1853,8278,1853,185.41
1870,B,"Pkgs. 1,059",DUTIABLE,1,1059,125737,968,112069,5603.43
1870,B,Pkgs. 319 438 126 12 895,FREE,1,293,14543,293,14543,0.0
1870,B,"Pkgs. 8,272",DUTIABLE,1,6,59,6,59,5.9
1871,A,B. N. A. Provinces,DUTIABLE,3,19974363,329929,3629862,136851,57584.83
1871,A,B. N. A. Provinces,FREE,4,655,9187,655,46802,0.0
1871,A,Belgium,DUTIABLE,10,1664,138314,2676,139626,2462.88
1871,A,Brazil,DUTIABLE,3,26420,472,24,460,0.0
1871,A,British Guiana,DUTIABLE,3,0,0,0,29,4.35
1871,A,British Guiana,FREE,3,364813,14036,327670,15248,6353.79
1871,A,British West Indies,DUTIABLE,32,24122809,1344506,14413860,697990,173574.28
1871,A,British West Indies,FREE,15,5985231,175545,6312653,274885,65808.41
1871,A,Brls,FREE,1,451,0,200,451,0.0
1871,A,Butter,,1,1572,377,1572,377,62.88
1871,A,Butter,DUTIABLE,1,21794,3212,1901,365,76.04
1871,A,Cheese,,1,0,0,0,0,0.0
1871,A,Cheese,DUTIABLE,1,43630,3578,16815,1474,504.48
1871,A,China,DUTIABLE,20,349307,773628,304369,753274,14666.77
1871,A,China,FREE,1,79,0,0,79,0.0
1871,A,Cigars,DUTIABLE,2,42054,26899,32434,23725,14595.23
1871,A,Cwt,FREE,4,0,2945,0,5097,0.0
1871,A,Danish West Indies,DUTIABLE,2,28512,431,84111,3616,1459.99
1871,A,Foreign West Indies,DUTIABLE,1,5,47,5,47,7.05
1871,A,France,,2,12592,3923,12633,4011,586.12
1871,A,France,DUTIABLE,62,7933007,1011510,3304315,967628,96663.39
1871,A,France,FREE,22,1721918,50761,435480,41412,2264.95
1871,A,French West Indies,DUTIABLE,3,239790,7008,182459,4868,1672.68
1871,A,French West Indies,FREE,1,83373,6702,83373,6702,0.0
1871,A,Galls,FREE,5,61970,231,61970,231,0.0
1871,A,Germany,,3,6779,1274,6779,1274,303.81
1871,A,Germany,DUTIABLE,56,445339,425230,586330,334074,96889.82
1871,A,Germany,FREE,11,14902,2830,14782,12339,201.6
1871,A,Great Britain,,7,287047,36347,247649,31540,7910.6
1871,A,Great Britain,DUTIABLE,225,12607925,16391087,13969224,16135252,2568544.41
