volume,flow,duty,article_group,article,country_raw,unit,year,quantity,value
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Australia,,1872,500559,340815
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,British North America,,1872,1734982,1147767
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Other Countries,,1872,194060,126429
as_1872,import,,"CORN, GRAIN, AND MEAL",Wheat,Total,,1872,42127720,26169185
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Russia: Northern Ports,,1872,5416,2293
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Southern Ports,,1872,1749933,613623
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Sweden,,1872,357941,166102
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Denmark,,1872,1824472,840073
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Germany,,1872,1672577,860164
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Holland,,1872,219038,121603
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Belgium,,1872,115592,40641
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,France,,1872,6183067,2532081
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Turkey,,1872,1199205,517058
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Wallachia and Moldavia,,1872,1218246,437642
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Egypt,,1872,70033,23017
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Other Countries,,1872,101016,39399
as_1872,import,,"CORN, GRAIN, AND MEAL",Barley,Total,,1872,15016566,6194096
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Russia: Northern Ports,,1872,2273554,788742
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Southern Ports,,1872,30103,11549
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Sweden,,1872,4523713,1785477
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Norway,,1872,224817,82083
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Denmark,,1872,1027629,402434
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Germany,,1872,769274,271765
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Holland,,1872,622498,242785
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Belgium,,1872,813901,285210
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,France,,1872,578557,201543
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,British North America,,1872,345534,121323
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Other Countries,,1872,27415,8581
as_1872,import,,"CORN, GRAIN, AND MEAL",Oats,Total,,1872,11537325,4201492
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,Russia,,1872,158063,55591
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,France,,1872,57986,22407
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,Turkey,,1872,3465,1333
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,Wallachia and Moldavia,,1872,10980,3860
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,Other Countries,,1872,4928,2044
as_1872,import,,"CORN, GRAIN, AND MEAL",Rye,Total,,1872,235422,85235
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Denmark,,1872,31590,15052
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Germany,,1872,454910,195148
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Holland,,1872,29761,15645
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,France,,1872,34507,17707
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Morocco,,1872,93405,40491
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,United States of America,,1872,128952,56246
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,British North America,,1872,486463,207729
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Other Countries,,1872,36545,16743
as_1872,import,,"CORN, GRAIN, AND MEAL",Pease,Total,,1872,1296133,563763
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Germany,,1872,214650,95830
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Holland,,1872,56570,25441
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Belgium,,1872,86845,38591
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,France,,1872,276140,117551
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Italy,,1872,158279,66385
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Turkey,,1872,85096,34529
as_1872,import,,"CORN, GRAIN, AND MEAL",Beans,Egypt,,1872,1563008,604472
