gbp,verdict,measure,group,article,year,unit,winner,tier,favours,origin_sum,n_origins,origin_ratio,spread_pct,n_readings,candidates,commodity
423793882,,value,,total of imports,1892,GBP,423793882,A,,0,0,0.0,70.79,12,"423,793,882 [9: as_1892/ch,as_1892/inf,as_1893/ch,as_1894/ch,as_1895/ch,as_1895/inf,as_1896/ch,as_1896/inf,tn_1895/ch] | 423,793,582 [2: as_1894/inf,tn_1895/inf] | 123,793,882 [1: as_1893/inf]",
423258639,,value,corn grain and meal,total,1892,GBP,423258639,B,,0,0,0.0,86.12,18,"58,733,092 [10: as_1892/ch,as_1892/inf,as_1893/ch,as_1893/inf,as_1894/ch,as_1894/inf,as_1895/ch,as_1895/inf,tn_1895/ch,tn_1895/inf] | 423,258,639 [7: as_1892/ch,as_1893/ch,as_1894/ch,as_1894/inf,as_1895/ch,as_1895/inf,tn_1895/ch] | 423,254,639 [1: tn_1895/inf]",
420691997,,value,,total of imports,1890,GBP,420691997,A,,0,0,0.0,71.91,12,"420,691,997 [8: as_1890/ch,as_1891/ch,as_1891/inf,as_1892/ch,as_1892/inf,as_1893/ch,as_1894/inf,tn_1895/inf] | 429,691,997 [2: as_1894/ch,tn_1895/ch] | 420,601,997 [1: as_1890/inf] | 120,691,997 [1: as_1893/inf]",
416689658,,value,corn grain and meal,total,1895,GBP,416689658,A,,0,0,0.0,88.07,12,"416,689,658 [8: as_1897/ch,as_1897/inf,as_1898/ch,as_1898/inf,as_1899/ch,as_1899/inf,tn_1899/ch,tn_1899/inf] | 415,711,467 [2: as_1895/ch,as_1895/inf] | 49,723,293 [2: as_1895/ch,as_1895/inf]",
408344810,,value,corn grain and meal,total,1894,GBP,408344810,B,,0,0,0.0,88.19,18,"48,220,225 [6: as_1894/ch,as_1894/inf,as_1895/ch,as_1895/inf,tn_1895/ch,tn_1895/inf] | 408,344,810 [4: as_1897/ch,as_1897/inf,as_1898/inf,tn_1899/inf] | 407,535,913 [2: as_1894/ch,tn_1895/ch] | 407,535,918 [2: as_1895/ch,as_1895/inf] | 405,344,810 [2: as_1898/ch,tn_1899/ch] | 107,535,918 [2: as_1894/inf,tn_1895/inf]",
408344810,,value,,total of imports,1894,GBP,408344810,B,,0,0,0.0,73.38,8,"408,344,810 [3: as_1895/ch,as_1895/inf,as_1896/inf] | 408,934,810 [2: as_1894/ch,tn_1895/ch] | 108,844,810 [2: as_1894/inf,tn_1895/inf] | 408,344,310 [1: as_1896/ch]",
404688178,,value,corn grain and meal,total,1893,GBP,404688178,B,,0,0,0.0,87.35,17,"51,180,371 [5: as_1893/inf,as_1894/inf,as_1895/ch,as_1895/inf,tn_1895/inf] | 401,069,060 [2: as_1893/ch,as_1895/inf] | 401,039,000 [2: as_1894/ch,tn_1895/ch] | 404,688,178 [2: as_1897/ch,as_1897/inf] | 51,189,371 [2: as_1894/ch,tn_1895/ch] | 401,059,060 [2: as_1894/inf,tn_1895/inf] | 404,069,060 [1: as_1895/ch] | 51,480,371 [1: as_1893/ch]",
404688178,,value,,total of imports,1893,GBP,404688178,A,,0,0,0.0,74.87,10,"404,688,178 [6: as_1894/inf,as_1895/ch,as_1895/inf,as_1896/ch,as_1896/inf,tn_1895/inf] | 401,688,178 [1: as_1893/ch] | 101,688,178 [1: as_1893/inf] | 404,658,118 [1: as_1894/ch] | 401,658,118 [1: tn_1895/ch]",
397022489,,value,corn grain and meal,total,1881,GBP,397022489,B,,0,0,0.0,84.68,15,"60,856,768 [8: as_1881/ch,as_1881/inf,as_1883/ch,as_1883/inf,as_1884/ch,as_1884/inf,as_1885/ch,as_1885/inf] | 397,022,489 [4: as_1881/ch,as_1882/ch,as_1883/ch,as_1884/ch] | 60,858,768 [1: as_1882/inf] | 397,022,189 [1: as_1885/ch] | 60,839,768 [1: as_1882/ch]",
394419682,,value,corn grain and meal,total,1877,GBP,394419682,B,,0,0,0.0,90.0,15,"63,536,322 [8: as_1877/inf,as_1878/ch,as_1878/inf,as_1879/ch,as_1879/inf,as_1880/ch,as_1880/inf,as_1881/ch] | 394,419,682 [4: as_1877/ch,as_1878/ch,as_1879/ch,as_1880/ch] | 39,449,682 [1: as_1881/ch] | 63,536,392 [1: as_1881/inf] | 63,436,322 [1: as_1877/ch]",
