gold_commodity,year,unit,gold_total,note
Jute Yarn and Waste of Jute,1891,Lbs. (Pounds),3021391,name-matched(subset) but absent in 1891
Lace Machine or Imitation Lace,1871,None,0,name-matched(exact) but absent in 1871
Lace Pillow Lace,1871,None,0,name-matched(exact) but absent in 1871
Lace and Articles thereof Cotton,1896,None,0,name-matched(subset) but absent in 1896
Lace and Articles thereof Other Materials,1896,None,0,name-matched(subset) but absent in 1896
Lace and Articles thereof Silk,1896,None,0,name-matched(subset) but absent in 1896
Lard,1871,CWTS (Hundredweights),177568,name-matched(exact) but absent in 1871
Lead Manufactures Unenumerated,1871,CWTS (Hundredweights),6347,name-matched(subset) but absent in 1871
Lead Ore,1871,Tons,20860,name-matched(subset) but absent in 1871
Lead Pig and Sheet,1871,Tons,64908,name-matched(subset) but absent in 1871
Leather Manufactures Boots and Shoes,1871,Dozen Pairs,44229,name-matched(subset) but absent in 1871
Leather Manufactures Gloves,1871,Dozen Pairs,1114193,name-matched(subset) but absent in 1871
Leather Manufactures Gloves,1876,Dozen Pairs,1497437,name-matched(subset) but absent in 1876
Leather Manufactures Manufactures Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Leather Manufactures Manufactures Unenumerated,1876,None,0,name-matched(exact) but absent in 1876
Leather Undressed,1891,Lbs. (Pounds),78016789,name-matched(exact) but absent in 1891
Leather Undressed,1896,Lbs. (Pounds),99613224,name-matched(exact) but absent in 1896
Leather Varnished,1891,Lbs. (Pounds),540939,no name match
Lemons and Oranges,1871,Bushels,2376831,name-matched(exact) but absent in 1871
Linen Manufactures,1871,None,0,name-matched(exact) but absent in 1871
Linen Manufactures,1881,None,0,name-matched(exact) but absent in 1881
Linen Manufactures,1886,None,0,name-matched(exact) but absent in 1886
Linen Manufactures,1891,None,0,name-matched(exact) but absent in 1891
Linen Manufactures,1896,None,0,name-matched(exact) but absent in 1896
Linen Yarn,1881,Lbs. (Pounds),4664358,name-matched(exact) but absent in 1881
Linen Yarn,1891,Lbs. (Pounds),19130076,name-matched(exact) but absent in 1891
Linen Yarn,1896,Lbs. (Pounds),20069122,name-matched(exact) but absent in 1896
Linen Yarn (including Linen Yarn Waste),1871,Lbs. (Pounds),4913697,name-matched(exact) but absent in 1871
Linen and Cotton Rags,1871,Tons,26868,name-matched(exact) but absent in 1871
Linen and Cotton Rags,1886,Tons,36604,name-matched(exact) but absent in 1886
Liquorice,1871,CWTS (Hundredweights),19607,name-matched(exact) but absent in 1871
Madder,1871,CWTS (Hundredweights),93624,name-matched(exact) but absent in 1871
Madder Garancine,1871,CWTS (Hundredweights),27738,name-matched(subset) but absent in 1871
Madder Garancine,1876,CWTS (Hundredweights),15398,name-matched(subset) but absent in 1876
Madder Munjeet,1871,CWTS (Hundredweights),932,name-matched(subset) but absent in 1871
Madder Munjeet,1876,CWTS (Hundredweights),419,name-matched(subset) but absent in 1876
Madder Munjeet,1881,CWTS (Hundredweights),64,name-matched(subset) but absent in 1881
Madder Root,1871,CWTS (Hundredweights),154801,name-matched(subset) but absent in 1871
Madder Root,1876,CWTS (Hundredweights),33824,name-matched(subset) but absent in 1876
Madder and Madder Root,1891,CWTS (Hundredweights),11477,name-matched(subset) but absent in 1891
"Mahogany - Furniture, Hardwoods or Veneers",1871,Tons,29335,name-matched(exact) but absent in 1871
"Mahogany - Furniture, Hardwoods or Veneers",1876,Tons,52461,name-matched(exact) but absent in 1876
"Mahogany - Furniture, Hardwoods or Veneers",1886,Tons,48732,name-matched(exact) but absent in 1886
"Mahogany - Furniture, Hardwoods or Veneers",1891,Tons,48021,name-matched(exact) but absent in 1891
"Mahogany - Furniture, Hardwoods or Veneers",1896,Tons,53772,name-matched(exact) but absent in 1896
Maize or Indian Corn Meal,1871,CWTS (Hundredweights),9697,name-matched(exact) but absent in 1871
Maize or Indian Corn Meal,1881,CWTS (Hundredweights),25137,name-matched(exact) but absent in 1881
Malt,1876,Qrs. (Quarters),3,name-matched(exact) but absent in 1876
Manganese Ore,1871,Tons,29982,name-matched(exact) but absent in 1871
Manure Unenumerated,1871,Tons,80264,name-matched(exact) but absent in 1871
Maps and Charts,1871,Number,5902,name-matched(exact) but absent in 1871
Mares,1891,Number,3298,name-matched(exact) but absent in 1891
Meal Unenumerated,1896,CWTS (Hundredweights),536647,name-matched(exact) but absent in 1896
Meal and Flour Unenumerated,1871,CWTS (Hundredweights),3909,name-matched(subset) but absent in 1871
Meat Preserved not Salted,1871,CWTS (Hundredweights),254833,name-matched(subset) but absent in 1871
Meat Unenumerated Salted or Fresh,1876,CWTS (Hundredweights),92556,name-matched(subset) but absent in 1876
Meat not Otherwise Described,1871,CWTS (Hundredweights),42340,name-matched(subset) but absent in 1871
Meat unenumerated Preserved otherwise than by Salting Other Sorts,1891,CWTS (Hundredweights),156953,name-matched(subset) but absent in 1891
Meat unenumerated Preserved otherwise than by Salting Other Sorts,1896,CWTS (Hundredweights),177238,name-matched(subset) but absent in 1896
Metal Bell,1871,Tons,4,name-matched(subset) but absent in 1871
Metal Bell,1876,Tons,1,name-matched(subset) but absent in 1876
"Metal Bell Leaf, not Gold",1871,Packets of 250 Leaves,225315,name-matched(subset) but absent in 1871
Metal Old other than Iron or Copper for re-manufacture,1871,Tons,2698,name-matched(subset) but absent in 1871
Metal Unenumerated Wrought,1871,Tons,536,name-matched(subset) but absent in 1871
Metal Unenumerated unwrought,1871,Tons,430,name-matched(subset) but absent in 1871
Metal Unenumerated unwrought,1876,Tons,1918,name-matched(subset) but absent in 1876
Metal Unenumerated unwrought,1886,Tons,3137,name-matched(subset) but absent in 1886
Metal Unenumerated unwrought,1891,Tons,1637,name-matched(subset) but absent in 1891
Metal Unenumerated unwrought,1896,Tons,2469,name-matched(subset) but absent in 1896
Milk Condensed,1896,CWTS (Hundredweights),611335,name-matched(exact) but absent in 1896
Molasses,1871,CWTS (Hundredweights),628163,name-matched(exact) but absent in 1871
Musical Instruments,1871,None,0,name-matched(exact) but absent in 1871
Muskets Rifles and Guns of any other Sort and Pistols,1871,Number,177607,name-matched(exact) but absent in 1871
Muskets Rifles and Guns of any other Sort and Pistols,1881,Number,139118,name-matched(exact) but absent in 1881
Muskets Rifles and Guns of any other Sort and Pistols,1886,Number,870935,name-matched(exact) but absent in 1886
Muskets Rifles and Guns of any other Sort and Pistols,1891,Number,0,name-matched(exact) but absent in 1891
Mutton Preserved not by Salting,1896,CWTS (Hundredweights),122551,name-matched(subset) but absent in 1896
Mutton Unenumerated Preserved otherwise than by Salting,1891,CWTS (Hundredweights),65073,name-matched(subset) but absent in 1891
Myrabolans,1871,CWTS (Hundredweights),145450,name-matched(exact) but absent in 1871
Myrabolans,1881,CWTS (Hundredweights),290691,name-matched(exact) but absent in 1881
Myrabolans,1886,CWTS (Hundredweights),632265,name-matched(exact) but absent in 1886
Myrabolans,1891,CWTS (Hundredweights),516107,name-matched(exact) but absent in 1891
Myrabolans,1896,CWTS (Hundredweights),521956,name-matched(exact) but absent in 1896
Naphtha,1871,Gallons,1985845,name-matched(exact) but absent in 1871
Naphtha,1891,Gallons,157419,name-matched(exact) but absent in 1891
Nitre Cubic,1871,CWTS (Hundredweights),1451520,name-matched(exact) but absent in 1871
None,1871,CWTS (Hundredweights),444584,no name match
None,1876,CWTS (Hundredweights),301579,no name match
None,1881,CWTS (Hundredweights),372105,no name match
None,1886,CWTS (Hundredweights),290320,no name match
None,1891,CWTS (Hundredweights),205808,no name match
None,1896,CWTS (Hundredweights),19100,no name match
Nuts and Kernels for expressing Oil,1871,Tons,31126,name-matched(subset) but absent in 1871
Nuts and Kernels for expressing Oil,1876,Tons,31471,name-matched(subset) but absent in 1876
Nuts and Kernels for expressing Oil,1881,Tons,38173,name-matched(subset) but absent in 1881
Oatmeal,1871,CWTS (Hundredweights),3335,name-matched(exact) but absent in 1871
Oats,1871,CWTS (Hundredweights),10911186,name-matched(exact) but absent in 1871
Oil Seed,1896,Tons,33616,name-matched(exact) but absent in 1896
Oil Seed Cakes,1871,Tons,162804,name-matched(exact) but absent in 1871
Oil Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Olive Oil,1871,Tuns (whale oil),38281,name-matched(subset) but absent in 1871
Onions,1871,Bushels,917283,name-matched(exact) but absent in 1871
Onions,1881,Bushels,2701019,name-matched(exact) but absent in 1881
Onions,1886,Bushels,3633587,name-matched(exact) but absent in 1886
Onions,1891,Bushels,4281046,name-matched(exact) but absent in 1891
Onions,1896,Bushels,6086905,name-matched(exact) but absent in 1896
Opium,1871,Lbs. (Pounds),591466,name-matched(exact) but absent in 1871
Ordinance Stores Explosives and Ammunition Unenumerated,1876,None,0,name-matched(subset) but absent in 1876
Ordnance Stores and Ammunition Unenumerated,1871,None,0,name-matched(subset) but absent in 1871
Ore Unenumerated,1871,Tons,9608,name-matched(exact) but absent in 1871
Other Materials and Pulp of Rags and of Wood for Making Paper,1891,Tons,37099,name-matched(subset) but absent in 1891
Other Nuts used as Fruit,1871,None,0,name-matched(exact) but absent in 1871
Other Nuts used as Fruit,1876,None,0,name-matched(exact) but absent in 1876
Other Nuts used as Fruit,1881,None,0,name-matched(exact) but absent in 1881
Oxen and Bulls,1871,Number,135133,name-matched(exact) but absent in 1871
Painters Colours Manufactured,1871,None,0,name-matched(subset) but absent in 1871
Painters Colours Unmanufactured,1871,None,0,name-matched(subset) but absent in 1871
Palm Oil,1871,CWTS (Hundredweights),1047882,name-matched(subset) but absent in 1871
Paper Brown and Waste Unenumerated,1876,None,0,name-matched(subset) but absent in 1876
Paper Hangings,1871,CWTS (Hundredweights),5151,name-matched(subset) but absent in 1871
Paper Millboard and Pasteboard,1871,CWTS (Hundredweights),213937,name-matched(subset) but absent in 1871
Paper Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Paper and Pasteboard Unprinted,1896,CWTS (Hundredweights),2571377,name-matched(subset) but absent in 1896
Paper for Printing or Writing,1871,CWTS (Hundredweights),158885,name-matched(subset) but absent in 1871
Paraffin,1871,CWTS (Hundredweights),5517,no name match
Paraffin,1876,CWTS (Hundredweights),37803,no name match
Paraffin,1881,CWTS (Hundredweights),68049,no name match
Paraffin,1886,CWTS (Hundredweights),273847,no name match
Paraffin,1891,CWTS (Hundredweights),559352,no name match
Paraffin,1896,CWTS (Hundredweights),725398,no name match
Pea meal,1871,CWTS (Hundredweights),14,name-matched(exact) but absent in 1871
Peas,1871,CWTS (Hundredweights),1011367,name-matched(exact) but absent in 1871
Pepper (Spice),1871,Lbs. (Pounds),23667727,name-matched(exact) but absent in 1871
Percussion Caps,1871,Number,17860500,name-matched(exact) but absent in 1871
Percussion Caps,1881,Number,3323000,name-matched(exact) but absent in 1881
Perfumed Spirits and Cologne Water,1881,Gallons,46236,name-matched(subset) but absent in 1881
Perfumed Spirits and Cologne Water,1886,Gallons,43087,name-matched(subset) but absent in 1886
Perfumed Spirits and Cologne Water,1891,Gallons,46573,name-matched(subset) but absent in 1891
Perfumed Spirits and Cologne Water,1896,Gallons,54318,name-matched(subset) but absent in 1896
Perfumery Unenumerated,1871,Lbs. (Pounds),673661,name-matched(exact) but absent in 1871
Petroleum Refined,1871,Gallons,8526674,name-matched(subset) but absent in 1871
Petroleum Refined,1876,Gallons,24725905,name-matched(subset) but absent in 1876
Petroleum Refined,1881,Gallons,58371386,name-matched(subset) but absent in 1881
Petroleum Unrefined,1871,Tuns (whale oil),1801,name-matched(subset) but absent in 1871
Pickles and Vegetables preserved in Salt,1871,None,0,name-matched(exact) but absent in 1871
Pickles and Vegetables preserved in Salt,1881,None,0,name-matched(exact) but absent in 1881
Pickles preserved in Vinegar,1876,Gallons,1126,name-matched(subset) but absent in 1876
Pickles preserved in Vinegar,1881,Gallons,22407,name-matched(subset) but absent in 1881
Pictures Drawings and Photographs,1871,None,0,name-matched(exact) but absent in 1871
Pitch,1871,CWTS (Hundredweights),31591,name-matched(exact) but absent in 1871
Pitch,1876,CWTS (Hundredweights),35606,name-matched(exact) but absent in 1876
Plants Shrubs Trees and Flower Roots,1871,None,0,name-matched(exact) but absent in 1871
Plate of Gold,1876,Ozs. Troy. ,32,name-matched(exact) but absent in 1876
Plate of Gold,1886,Ozs. Troy. ,83,name-matched(exact) but absent in 1886
Plate of Silver gilt or ungilt,1871,Ozs. Troy. ,103121,name-matched(subset) but absent in 1871
Plate of Silver gilt or ungilt,1876,Ozs. Troy. ,106898,name-matched(subset) but absent in 1876
Plate of Silver gilt or ungilt,1881,Ozs. Troy. ,90391,name-matched(subset) but absent in 1881
Plate of Silver gilt or ungilt,1891,Ozs. Troy. ,108188,name-matched(subset) but absent in 1891
Platina Wrought and Unwrought,1871,Ozs. Troy. ,11845,name-matched(exact) but absent in 1871
Playing Cards,1871,Dozen Packs,37294,name-matched(exact) but absent in 1871
Playing Cards,1881,Dozen Packs,42067,name-matched(exact) but absent in 1881
Playing Cards,1886,Dozen Packs,18889,name-matched(exact) but absent in 1886
Plumbago,1871,Tons,5688,name-matched(exact) but absent in 1871
Plums Dried or Preserved,1871,CWTS (Hundredweights),854,name-matched(exact) but absent in 1871
Plums Dried or Preserved,1876,CWTS (Hundredweights),1625,name-matched(exact) but absent in 1876
Plums Dried or Preserved,1886,CWTS (Hundredweights),3922,name-matched(exact) but absent in 1886
Plums French and Prunelloes,1876,CWTS (Hundredweights),6098,name-matched(subset) but absent in 1876
Plums French and Prunelloes,1881,CWTS (Hundredweights),10088,name-matched(subset) but absent in 1881
Plums French and Prunelloes,1886,CWTS (Hundredweights),12523,name-matched(subset) but absent in 1886
Plums French and Prunelloes,1891,CWTS (Hundredweights),21583,name-matched(subset) but absent in 1891
Pork Fresh,1871,CWTS (Hundredweights),30618,name-matched(subset) but absent in 1871
Pork Salted,1871,CWTS (Hundredweights),266526,name-matched(subset) but absent in 1871
Potatoes,1871,CWTS (Hundredweights),847835,name-matched(exact) but absent in 1871
Poultry and Game alive or dead including Rabbits,1871,None,0,name-matched(subset) but absent in 1871
Poultry and Game alive or dead including Rabbits,1876,None,0,name-matched(subset) but absent in 1876
Poultry and Game alive or dead including Rabbits,1881,None,0,name-matched(subset) but absent in 1881
Precious Stones Diamonds,1896,Carats,3527810,name-matched(subset) but absent in 1896
Precious Stones Unset,1871,None,0,name-matched(exact) but absent in 1871
Precious Stones Unset,1876,None,0,name-matched(exact) but absent in 1876
Precious Stones Unset,1881,None,0,name-matched(exact) but absent in 1881
Prints Engravings and Photographs,1886,Number,36317438,name-matched(subset) but absent in 1886
Prints Engravings and Photographs,1891,Number,0,name-matched(subset) but absent in 1891
Prints Engravings and Photographs,1896,Number,0,name-matched(subset) but absent in 1896
Prints and Engravings,1871,Number,5839822,name-matched(exact) but absent in 1871
Prunes,1871,CWTS (Hundredweights),27411,name-matched(exact) but absent in 1871
Prunes,1881,CWTS (Hundredweights),12364,name-matched(exact) but absent in 1881
Prunes,1886,CWTS (Hundredweights),21124,name-matched(exact) but absent in 1886
Pulp and Rags and Wood for making Paper,1871,Tons,9946,name-matched(subset) but absent in 1871
Pyrites of Iron or Copper or Sulphur Ore,1871,Tons,454542,name-matched(subset) but absent in 1871
Quicksilver,1871,Lbs. (Pounds),3002897,name-matched(exact) but absent in 1871
Rags Woollen,1871,Tons,24219,name-matched(subset) but absent in 1871
Rags Woollen applicable to other uses than Manure torn up or not,1886,Tons,30526,name-matched(exact) but absent in 1886
Rags Woollen applicable to other uses than Manure torn up or not,1891,Tons,37037,name-matched(exact) but absent in 1891
Rags Woollen applicable to other uses than Manure torn up or not,1896,Tons,36687,name-matched(exact) but absent in 1896
Raisins,1871,CWTS (Hundredweights),427056,name-matched(exact) but absent in 1871
Raisins,1881,CWTS (Hundredweights),568608,name-matched(exact) but absent in 1881
Rice Rough and in the Husk,1871,Qrs. (Quarters),66380,name-matched(subset) but absent in 1871
Rice not Rough nor in the Husk,1871,CWTS (Hundredweights),4586422,name-matched(subset) but absent in 1871
Rockets and other Combustibles for purposes of War Explosives Percussion Caps and Ammunition,1881,None,0,name-matched(exact) but absent in 1881
Rockets and other Combustibles for purposes of War Explosives Percussion Caps and Ammunition,1896,None,0,name-matched(exact) but absent in 1896
Rosin,1871,CWTS (Hundredweights),736942,name-matched(exact) but absent in 1871
Rye meal,1871,CWTS (Hundredweights),1030,name-matched(exact) but absent in 1871
Rye meal,1876,CWTS (Hundredweights),17115,name-matched(exact) but absent in 1876
Safflower,1871,CWTS (Hundredweights),15333,name-matched(exact) but absent in 1871
Safflower,1886,CWTS (Hundredweights),1394,name-matched(exact) but absent in 1886
Safflower,1891,CWTS (Hundredweights),78,name-matched(exact) but absent in 1891
Sago and Sago Flour,1871,CWTS (Hundredweights),245123,name-matched(exact) but absent in 1871
Salt,1871,Tons,19698,name-matched(exact) but absent in 1871
Saltpetre,1871,CWTS (Hundredweights),329561,name-matched(exact) but absent in 1871
Sardines Cured or Salted,1891,CWTS (Hundredweights),125618,name-matched(subset) but absent in 1891
Sauces or Condiments Unenumerated,1871,Lbs. (Pounds),840348,name-matched(exact) but absent in 1871
Seed Oil,1881,Tuns (whale oil),17102,name-matched(exact) but absent in 1881
Seed Oil,1886,Tuns (whale oil),16315,name-matched(exact) but absent in 1886
Seed Oil,1891,Tuns (whale oil),23011,name-matched(exact) but absent in 1891
Seed Oil of All Kinds,1871,Tuns (whale oil),10354,name-matched(exact) but absent in 1871
Seeds Garden unenumerated,1871,Lbs. (Pounds),658052,name-matched(subset) but absent in 1871
Seeds Rape,1871,Qrs. (Quarters),665452,name-matched(subset) but absent in 1871
Seeds Tares and Lentils,1871,Bushels,456066,name-matched(subset) but absent in 1871
Seeds Unenumerated Other Sorts,1871,CWTS (Hundredweights),435777,name-matched(exact) but absent in 1871
Seeds Unenumerated for expressing Oil therefrom,1871,Qrs. (Quarters),86859,name-matched(subset) but absent in 1871
Seeds Unenumerated for expressing Oil therefrom,1876,Qrs. (Quarters),106740,name-matched(subset) but absent in 1876
Seeds Unenumerated for expressing Oil therefrom,1881,Qrs. (Quarters),153648,name-matched(subset) but absent in 1881
Sewing Machines,1891,None,0,name-matched(exact) but absent in 1891
Sewing Machines,1896,None,0,name-matched(exact) but absent in 1896
Sheep and Lambs,1871,Number,917076,name-matched(exact) but absent in 1871
Ships with the Tackle Apparel and Furniture Broken up or to be Broken Up,1871,None,0,name-matched(subset) but absent in 1871
Shot of Iron,1871,CWTS (Hundredweights),1715,name-matched(exact) but absent in 1871
Shot of Iron,1881,CWTS (Hundredweights),629,name-matched(exact) but absent in 1881
Shot of Lead,1871,CWTS (Hundredweights),78,name-matched(exact) but absent in 1871
Shot of Lead,1881,CWTS (Hundredweights),117,name-matched(exact) but absent in 1881
Shumach,1871,Tons,16481,name-matched(exact) but absent in 1871
Shumach,1896,Tons,15172,name-matched(exact) but absent in 1896
Silk Knobs or Husks and Waste,1871,CWTS (Hundredweights),38984,name-matched(subset) but absent in 1871
Silk Knobs or Husks and Waste,1881,CWTS (Hundredweights),54119,name-matched(subset) but absent in 1881
Silk Knobs or Husks and Waste,1886,CWTS (Hundredweights),68026,name-matched(subset) but absent in 1886
Silk Knobs or Husks and Waste,1891,CWTS (Hundredweights),77556,name-matched(subset) but absent in 1891
Silk Knobs or Husks and Waste,1896,CWTS (Hundredweights),62923,name-matched(subset) but absent in 1896
Silk Manufactures Broad Stuffs Plain,1876,None,0,name-matched(subset) but absent in 1876
Silk Manufactures Broad Stuffs of Silk or Satin,1871,None,0,name-matched(exact) but absent in 1871
Silk Manufactures Broad Stuffs of Silk or Satin,1881,None,0,name-matched(exact) but absent in 1881
Silk Manufactures Broad Stuffs of Silk or Satin,1886,None,0,name-matched(exact) but absent in 1886
Silk Manufactures Broad Stuffs of Silk or Satin,1891,None,0,name-matched(exact) but absent in 1891
Silk Manufactures Of Countries out of Europe,1871,None,0,name-matched(subset) but absent in 1871
Silk Manufactures Plush used for making Hats,1871,None,0,name-matched(subset) but absent in 1871
Silk Manufactures Ribbons,1871,None,0,name-matched(subset) but absent in 1871
Silk Manufactures Ribbons,1876,None,0,name-matched(subset) but absent in 1876
Silk Manufactures Ribbons,1886,None,0,name-matched(subset) but absent in 1886
Silk Manufactures Ribbons Silk or Satin,1881,None,0,name-matched(exact) but absent in 1881
Silk Manufactures Ribbons Silk or Satin,1891,None,0,name-matched(exact) but absent in 1891
Silk Manufactures Ribbons other Kinds,1876,None,0,name-matched(subset) but absent in 1876
Silk Manufactures Ribbons other Kinds,1881,None,0,name-matched(subset) but absent in 1881
Silk Manufactures Ribbons other Kinds,1886,None,0,name-matched(subset) but absent in 1886
Silk Manufactures Ribbons other Kinds,1891,None,0,name-matched(subset) but absent in 1891
Silk Manufactures Unenumerated,1891,None,0,name-matched(exact) but absent in 1891
Silk Manufactures Unenumerated,1896,None,0,name-matched(exact) but absent in 1896
Silk Manufactures Velvet Plain,1876,None,0,name-matched(subset) but absent in 1876
Silk Manufactures Velvet Plain,1886,None,0,name-matched(subset) but absent in 1886
Silk Manufactures Velvet plain or figured,1871,None,0,name-matched(subset) but absent in 1871
Silk Manufactures Velvet plain or figured,1881,None,0,name-matched(subset) but absent in 1881
Silk Manufactures Velvet plain or figured,1891,None,0,name-matched(subset) but absent in 1891
Silk Manufactures of Europe Other Kinds,1871,None,0,name-matched(subset) but absent in 1871
Silk Manufactures of Silk or of Silk mixed with other Materials Unenumerated,1871,None,0,name-matched(exact) but absent in 1871
Silk Raw,1871,Lbs. (Pounds),8253335,name-matched(exact) but absent in 1871
Silk Raw,1876,Lbs. (Pounds),6016927,name-matched(exact) but absent in 1876
Silk Raw,1881,Lbs. (Pounds),2904580,name-matched(exact) but absent in 1881
Silk Raw,1891,Lbs. (Pounds),2434609,name-matched(exact) but absent in 1891
Silk Raw,1896,Lbs. (Pounds),1697668,name-matched(exact) but absent in 1896
Silk Thrown,1871,Lbs. (Pounds),177386,name-matched(subset) but absent in 1871
Silk Unenumerated,1886,None,0,name-matched(exact) but absent in 1886
Silver Ore,1871,Tons,14978,name-matched(subset) but absent in 1871
Silver Ore or Ore of which the greater part in value is Silver,1876,None,0,name-matched(exact) but absent in 1876
Skins Furs Pelts Furs Unenumerated,1871,Number,4518517,name-matched(exact) but absent in 1871
Skins Furs Pelts Furs Unenumerated,1876,Number,7574936,name-matched(exact) but absent in 1876
Skins Furs Pelts Furs Unenumerated,1881,Number,21310488,name-matched(exact) but absent in 1881
Skins Furs Pelts Goat Tanned Tawed or Dressed,1871,Number,4035978,name-matched(subset) but absent in 1871
Skins Furs Pelts Goat Tanned Tawed or Dressed,1881,Number,8983237,name-matched(subset) but absent in 1881
Skins Furs Pelts Goat undressed,1871,Number,1057712,name-matched(subset) but absent in 1871
Skins Furs Pelts Goat undressed,1881,Number,2263542,name-matched(subset) but absent in 1881
Skins Furs Pelts Goat undressed,1886,Number,5158176,name-matched(subset) but absent in 1886
Skins Furs Pelts Goat undressed,1891,Number,8329105,name-matched(subset) but absent in 1891
Skins Furs Pelts Seal,1871,Number,833709,name-matched(subset) but absent in 1871
Skins Furs Pelts Seal,1876,Number,607276,name-matched(subset) but absent in 1876
Skins Furs Pelts Seal,1881,Number,700898,name-matched(subset) but absent in 1881
Skins Furs Pelts Seal,1886,Number,717121,name-matched(subset) but absent in 1886
Skins Furs Pelts Seal,1891,Number,683588,name-matched(subset) but absent in 1891
Skins Furs Pelts Sheep Tanned Tawed or Dressed,1871,Number,2156979,name-matched(subset) but absent in 1871
Skins Furs Pelts Sheep Tanned Tawed or Dressed,1881,Number,6785751,name-matched(subset) but absent in 1881
Skins Furs Pelts Sheep Undressed,1871,Number,8460328,name-matched(subset) but absent in 1871
Skins Furs Pelts Sheep Undressed,1881,Number,6475264,name-matched(subset) but absent in 1881
Skins Furs Pelts Sheep Undressed,1886,Number,8418349,name-matched(subset) but absent in 1886
Skins Furs Pelts Sheep Undressed,1896,Number,13364634,name-matched(subset) but absent in 1896
Skins Furs Pelts Unenumerated Dressed not Leather,1886,Number,44437,name-matched(subset) but absent in 1886
Skins Furs Pelts Unenumerated Dressed not Leather,1896,Number,148033,name-matched(subset) but absent in 1896
Skins Furs Pelts Unenumerated Other Sorts,1896,Number,9633586,name-matched(exact) but absent in 1896
Skins Furs Pelts Unenumerated Other Sorts Tanned Tawed or Dressed,1881,Number,172193,name-matched(subset) but absent in 1881
Skins Furs Pelts Unenumerated Other Sorts Undressed,1881,Number,422340,name-matched(subset) but absent in 1881
Skins Furs Pelts Unenumerated Other Sorts Undressed,1886,Number,825829,name-matched(subset) but absent in 1886
Skins Furs Pelts Unenumerated Other Sorts Undressed,1896,Number,164033,name-matched(subset) but absent in 1896
Skins Furs Pelts Unenumerated not being Furs Dressed and Undressed,1871,Number,2542935,name-matched(subset) but absent in 1871
Skins Furs Pelts Unenumerated not being Furs Dressed and Undressed,1876,Number,1589640,name-matched(subset) but absent in 1876
Skins Furs and Pelts Articles manufactured of Skins and Furs,1871,None,0,name-matched(subset) but absent in 1871
Skins Furs and Pelts Articles manufactured of Skins and Furs,1881,None,0,name-matched(subset) but absent in 1881
Skins Furs and Pelts Goat and Kid Undressed,1876,Number,1318386,name-matched(subset) but absent in 1876
Skins Furs and Pelts Manufactures of including Rugs,1886,None,0,name-matched(subset) but absent in 1886
Skins Furs and Pelts Manufactures of including Rugs,1891,None,0,name-matched(subset) but absent in 1891
Soap Transparent in the manufacture of which Spirit has been used,1881,Lbs. (Pounds),126863,name-matched(exact) but absent in 1881
Soap Transparent in the manufacture of which Spirit has been used,1896,Lbs. (Pounds),14595,name-matched(exact) but absent in 1896
Specimens illustrative of Natural Science,1871,None,0,name-matched(exact) but absent in 1871
Specimens illustrative of Natural Science,1876,None,0,name-matched(exact) but absent in 1876
Specimens illustrative of Natural Science,1891,None,0,name-matched(exact) but absent in 1891
Specimens illustrative of Natural Science,1896,None,0,name-matched(exact) but absent in 1896
Spermaceiti or Head Matter (Whale Oils),1886,Tuns (whale oil),1268,name-matched(exact) but absent in 1886
Spermaceiti or Head Matter (Whale Oils),1891,Tuns (whale oil),609,name-matched(exact) but absent in 1891
Spermaceiti or Head Matter (Whale Oils),1896,Tuns (whale oil),376,name-matched(exact) but absent in 1896
Spices Cinnamon,1871,Lbs. (Pounds),1584638,name-matched(subset) but absent in 1871
Spices Cinnamon,1891,Lbs. (Pounds),1380219,name-matched(subset) but absent in 1891
Spices Unenumerated,1871,Lbs. (Pounds),7499215,name-matched(exact) but absent in 1871
Spices Unenumerated,1891,Lbs. (Pounds),8818602,name-matched(exact) but absent in 1891
Spirits Brandy,1871,Proof Gallons,5228568,name-matched(subset) but absent in 1871
Spirits Brandy,1886,Proof Gallons,3120820,name-matched(subset) but absent in 1886
Spirits Brandy,1891,Proof Gallons,3162548,name-matched(subset) but absent in 1891
Spirits Geneva,1871,Proof Gallons,352025,name-matched(subset) but absent in 1871
Spirits Geneva,1876,Proof Gallons,326368,name-matched(subset) but absent in 1876
Spirits Geneva,1881,Proof Gallons,264109,name-matched(subset) but absent in 1881
Spirits Geneva,1886,Proof Gallons,297410,name-matched(subset) but absent in 1886
Spirits Rum,1871,Proof Gallons,7526890,name-matched(subset) but absent in 1871
Spirits Rum,1886,Proof Gallons,5100010,name-matched(subset) but absent in 1886
Spirits Rum,1891,Proof Gallons,6981328,name-matched(subset) but absent in 1891
Spirits Rum,1896,Proof Gallons,5347580,name-matched(subset) but absent in 1896
Spirits Sweetened or Mixed Perfumed Spirits including Water Cologne,1871,Gallons,31708,name-matched(subset) but absent in 1871
Spirits Sweetened or Mixed Tested,1881,Proof Gallons,62766,name-matched(subset) but absent in 1881
Spirits Sweetened or Mixed Tested,1886,Proof Gallons,52608,name-matched(subset) but absent in 1886
Spirits Tafla,1871,Gallons,287,name-matched(subset) but absent in 1871
Spirits Unenumerated,1896,Proof Gallons,83920,name-matched(exact) but absent in 1896
