commodity,gbp,bucket,partner,partner_gbp,partner_bucket,unit,holds,shared_tokens,origin_years_shared,own_origin_years,own_anchor_years,merged_checked_years,ratio_median,ratio_range,pct_near_1,anchor_conflicts,verdict
"Iron And Steel — Iron, Ore Of (Including Chrome)",9745835,DUPE-FAM,"Books, Bound And Unbound, Including Maps And Charts Cuts",0,EMPTY,Ton,anchor,including,0,1894-1896,none,3,106.588,94.68-124.43,0.0,0,rejects
"Iron And Steel — Iron, Ore Of (Including Chrome)",9745835,DUPE-FAM,"Books, Bound And Unbound, Including Maps And Charts Cts",0,EMPTY,Ton,anchor,including,0,1894-1896,none,2,124.431,94.68-124.43,0.0,0,rejects
"Iron And Steel — Iron, Ore Of (Including Chrome)",9745835,DUPE-FAM,"Books, Bound And Unbound, Including Maps And Charts Cwts",0,EMPTY,Ton,anchor,including,0,1894-1896,none,3,106.588,94.68-124.43,0.0,0,rejects
"Iron And Steel — Iron, Ore Of (Including Chrome)",9745835,DUPE-FAM,Iron — In Bars,8704506,KEEP,Ton,anchor,iron,0,1894-1896,none,1,69.785,69.79-69.79,0.0,0,rejects
"Linen Manufactures — Plain, Unbleached Or Bleached",9608018,KEEP,"Rags, And Other Materials For Making Paper : Linen And Cotton Rags Tons Esparto, And Other Materials",0,EMPTY,?,anchor,linen,0,1882-1885,none,2,0.007,0.01-0.01,0.0,0,rejects
Meat — Beef,9387431,KEEP,"Meat, Unenumerated — Salted Or Fresh",7761677,KEEP,Cwt,anchor,meat,7,1893-1899,none,7,2.164,1.44-2.97,0.0,0,rejects
Meat — Beef,9387431,KEEP,Beef — Fresh,24773321,DUPE-FAM,Cwt,anchor,beef,7,1893-1899,none,4,1.974,0.42-2.05,0.0,0,rejects
Meat — Beef,9387431,KEEP,Beef — Salted,16153,REVIEW,Cwt,anchor,beef,5,1893-1899,none,7,1.097,0.81-1.64,0.43,0,partial
Meat — Beef,9387431,KEEP,"Beef, Salted And Fresh",550663,EMPTY,Cwt,anchor,beef,0,1893-1899,none,3,0.122,0.09-0.16,0.0,0,rejects
Meat — Beef,9387431,KEEP,Beef,0,EMPTY,Cwt,anchor,beef,0,1893-1899,none,7,0.627,0.51-0.84,0.0,0,rejects
Meat — Beef,9387431,KEEP,Meat (Except Poultry And Game) — Salted,0,EMPTY,Cwt,anchor,meat,0,1893-1899,none,4,1.091,0.81-1.25,0.5,0,partial
Meat — Beef,9387431,KEEP,"Meat (Except Poultry And Game) — Pork, Fresh",0,EMPTY,Cwt,anchor,meat,0,1893-1899,none,4,0.549,0.3-0.86,0.0,0,rejects
Meat — Beef,9387431,KEEP,Meat (Except Poultry And Game) — Salted (Other Than Bacon And Hams),0,EMPTY,Cwt,anchor,meat,0,1893-1899,none,4,0.805,0.61-1.01,0.25,0,partial
Meat — Beef,9387431,KEEP,"Meat (Except Poultry And Game) — Unenumerated, Salted Or Fresh",0,EMPTY,Cwt,anchor,meat,0,1893-1899,none,4,0.523,0.41-0.92,0.25,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Copper, Ore Of",22712515,KEEP,Ton,anchor,copper ore,7,1893-1899,none,7,1.631,1.47-2.18,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Lead — Ore Of,5528858,KEEP,Ton,anchor,ore,7,1893-1899,none,7,3.35,2.42-6.25,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Manganese, Ore Of",6196715,KEEP,Ton,anchor,ore,7,1893-1899,none,7,1.431,1.12-1.67,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Ore, Unenumerated",6472928,KEEP,Ton,anchor,ore,7,1893-1899,none,3,1.322,1.31-1.67,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Zinc — Ore Of,3349694,KEEP,Ton,anchor,ore,7,1893-1899,none,7,2.22,1.56-4.83,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Iron — Ore Of,34512624,KEEP,Ton,anchor,ore,1,1893-1899,none,4,0.017,0.01-1.01,0.25,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Tin — Ore Of,1909187,KEEP,Ton,anchor,ore,4,1893-1899,none,7,14.943,4.66-17.61,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Pyrites Of Iron Or Copper,27886702,KEEP,Ton,anchor,copper,4,1893-1899,none,7,1.068,0.04-1.14,0.43,0,partial
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Ore Of,549284,REVIEW,Ton,anchor,ore,7,1893-1899,none,7,75.07,27.35-178.82,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Crude, In Cakes",1986946,KEEP,Ton,anchor,cakes,0,1893-1899,none,7,0.749,0.34-1.39,0.14,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Copper,5991391,KEEP,Ton,anchor,copper,0,1893-1899,none,1,0.586,0.59-0.59,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Unwrought, Part Wrought, And Old Copper",3213943,EMPTY,Ton,anchor,copper unwrought,0,1893-1899,none,4,1.223,0.87-1.23,0.25,0,partial
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Copper, Ore And Regulus",1798973,EMPTY,Ton,anchor,copper ore,0,1893-1899,none,4,0.45,0.21-0.46,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Metals :Copper, Ore And Regulus",1999285,EMPTY,Ton,anchor,copper ore,0,1893-1899,none,2,0.456,0.21-0.46,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",1703535,EMPTY,Ton,anchor,bars blocks cakes ingots slabs unwrought,0,1893-1899,none,7,1.128,0.38-1.33,0.14,0,partial
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Unenumerated — Unwrought,129714,EMPTY,Ton,anchor,unwrought,0,1893-1899,none,7,15.428,4.91-32.45,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Metals And Ores — Gold, Ore Of (Including The Value Of The Gold Contained In Auriferous Ores And Metals",120803,EMPTY,Ton,anchor,ore,0,1893-1899,none,4,74.377,26.1-113.27,0.0,0,rejects
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,"Unwrought, In Bars, Blocks, Slabs, Cakes }",0,EMPTY,Ton,anchor,bars blocks cakes slabs unwrought,0,1893-1899,none,5,1.297,0.38-1.33,0.2,0,partial
"Copper, Ore Of — Unwrought, In Bars, Blocks Or Slabs, Cakes Or Ingots",9189818,NAME-ART?,Or Ingots,0,EMPTY,Ton,anchor,ingots,0,1893-1899,none,5,78.68,42.05-167.27,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Mutton, Fresh",82122080,KEEP,Cwt,anchor,fresh,9,1872-1895,none,9,2.646,1.65-2.98,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,Fish,1174134,DUPE-FAM,Cwt,anchor,fish,0,1872-1895,none,18,0.389,0.28-0.58,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Eggs — Shell Fish, Oysters For Food",226650,DUPE-FAM,Cwt,anchor,fish,0,1872-1895,none,1,0.01,0.01-0.01,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,Shell Fish : Oysters,392165,REVIEW,Cwt,anchor,fish,0,1872-1895,none,1,0.01,0.01-0.01,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Beef, Salted And Fresh",550663,EMPTY,Cwt,anchor,fresh,0,1872-1895,none,19,0.647,0.0-1.16,0.16,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Meat, Salted Or Fresh",119423,EMPTY,Cwt,anchor,fresh,0,1872-1895,none,10,3.006,1.68-4.81,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Pork, Salted And Fresh",382221,EMPTY,Cwt,anchor,fresh,0,1872-1895,none,19,1.221,0.01-2.85,0.16,0,partial
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Fish, Of All Sorts",2811455,EMPTY,Cwt,anchor,fish,0,1872-1895,none,1,0.001,0.0-0.0,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,Fresh,4413148,EMPTY,Cwt,anchor,fresh,0,1872-1895,none,1,0.001,0.0-0.0,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,"Fish : Fresh, Herrings",114934,EMPTY,Cwt,anchor,fish fresh,0,1872-1895,none,1,0.004,0.0-0.0,0.0,0,rejects
Fish — Fresh (Not Of British Taking),9101246,KEEP,Other Sorts Of Shell Fish,50174,EMPTY,Cwt,anchor,fish,0,1872-1895,none,1,0.02,0.02-0.02,0.0,0,rejects
Sugar — East Coast Of Africa : Total Of,8616848,DUPE-FAM,Sugar — Refined : Total Of,229517482,KEEP,Cwt,anchor,sugar,1,1883-1883,none,1,3.764,3.76-3.76,0.0,0,rejects
Sugar — East Coast Of Africa : Total Of,8616848,DUPE-FAM,"Sugar — Unrefined, Total",365153956,REVIEW,Cwt,anchor,sugar,1,1883-1883,none,1,1.453,1.45-1.45,0.0,0,rejects
Sugar — East Coast Of Africa : Total Of,8616848,DUPE-FAM,Sugar — Molasses,5182584,KEEP,Cwt,anchor,sugar,1,1883-1883,none,1,25.359,25.36-25.36,0.0,0,rejects
Sugar — East Coast Of Africa : Total Of,8616848,DUPE-FAM,Sugar — Glucose,4223573,KEEP,Cwt,anchor,sugar,0,1883-1883,none,1,22.504,22.5-22.5,0.0,0,rejects
Gum — Unenumerated,8109280,KEEP,Gum — Arabic,4926901,KEEP,Cwt,anchor,gum,24,1873-1896,none,23,2.288,1.12-3.17,0.0,0,rejects
Gum — Unenumerated,8109280,KEEP,Gum : Kowrie,213040,KEEP,Cwt,anchor,gum,0,1873-1896,none,9,1.575,0.65-2.73,0.0,0,rejects
"Sugar — Sawn Or Split, Planed Or Dressed : Unenumerated",8088557,REVIEW,Sawn — Fir,237414,KEEP,Load,anchor,sawn,0,1875-1899,none,4,0.02,0.02-0.03,0.0,0,rejects
Hemp,8037192,REVIEW,"Hemp, Dressed And Undressed, And Tow",2210760,EMPTY,Cwt,anchor,hemp,0,1875-1889,none,4,0.021,0.0-0.02,0.0,0,rejects
"Hats Or Bonnets — Tawed, Curried, Or In Any Way Dressed, Not Being Varnished, Japanned, Or Enamelled",7863471,KEEP,"Tanned, Tawed, Curried, Or Dressed",2238853,EMPTY,Lb,anchor,curried dressed tawed,0,1872-1881,none,10,0.146,0.08-0.19,0.0,0,rejects
Manures — Unenumerated,7610945,KEEP,Manures — Guano,18126315,KEEP,Ton,anchor,manures,25,1872-1896,none,24,3.649,1.5-6.19,0.0,0,rejects
Manures — Unenumerated,7610945,KEEP,Manures — Phosphate Of Lime And Rock,10753601,KEEP,Ton,anchor,manures,14,1872-1896,none,9,1.297,1.22-1.4,0.0,0,partial
Manures — Unenumerated,7610945,KEEP,Manures — Bones For Manure,6117896,KEEP,Ton,anchor,manures,15,1872-1896,none,8,2.633,0.99-3.11,0.12,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Figs And Fig Cake,3536988,KEEP,Cwt,anchor,fruit,15,1873-1899,none,7,3.038,1.99-4.76,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Prunes,537870,KEEP,Cwt,anchor,fruit,17,1873-1899,none,7,1518.783,12.92-2540.64,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Raisins,40226566,KEEP,Cwt,anchor,fruit,21,1873-1899,none,16,1.451,1.01-1.84,0.12,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,"Chicory, Raw Or Kiln-Dried",1122333,REVIEW,Cwt,anchor,dried,13,1873-1899,none,21,3.259,0.08-617.13,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,"Yeast, Dried",8155790,KEEP,Cwt,anchor,dried,8,1873-1899,none,9,1.672,1.06-2.15,0.22,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Almonds,3959759,REVIEW,Cwt,anchor,fruit,11,1873-1899,none,15,3.329,0.08-247.89,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Currants,38785786,KEEP,Cwt,anchor,fruit,21,1873-1899,none,16,1.243,1.01-1.41,0.25,0,partial
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Figs,986263,KEEP,Cwt,anchor,fruit,1,1873-1899,none,10,1.988,0.12-3.76,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Fruit — Almonds Of All Kinds,244078,EMPTY,Cwt,anchor,fruit,0,1873-1899,none,3,0.259,0.24-0.29,0.0,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Dried,240962,EMPTY,Cwt,anchor,dried,0,1873-1899,none,8,68.472,0.03-135.4,0.25,0,rejects
"Fruit — Unenumerated, Dried",7356237,REVIEW,Dried Or Preserved,12749,EMPTY,Cwt,anchor,dried,0,1873-1899,none,7,916.028,9.54-1394.09,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,19084393,KEEP,Ton,origins,kernels nuts,7,1893-1899,1883-1887,5,4.314,1.93-5.82,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Oil Seed Cake — Linseed Cake,11952450,KEEP,Ton,anchor,seed,7,1893-1899,1883-1887,7,8.197,1.14-9.22,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Oil-Seed Cake — Cotton Cake,4348089,KEEP,Ton,anchor,seed,6,1893-1899,1883-1887,5,16.317,1.44-20.61,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Oil Seed Cake,29784684,KEEP,Ton,anchor,seed,0,1893-1899,1883-1887,9,1.002,0.1-5.56,0.56,5,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Oil-Seed Cake — Of Other Sorts,3847110,REVIEW,Ton,anchor,seed,6,1893-1899,1883-1887,5,230.773,2.98-315.13,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Nuts And Kernels :For Expressing Oil Therefrom,342723,EMPTY,Ton,anchor,kernels nuts,0,1893-1899,1883-1887,7,21.333,0.41-31.04,0.0,5,rejects
Nuts And Kernels — Seed,6703371,REVIEW,Seed,396126,EMPTY,Ton,anchor,seed,0,1893-1899,1883-1887,7,42.494,0.95-52.3,0.29,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,"Of Other Sorts (Including ""Nuts, For Fruit"") - Value £",0,EMPTY,Ton,anchor,nuts,0,1893-1899,1883-1887,1,2.225,2.22-2.22,0.0,0,rejects
Nuts And Kernels — Seed,6703371,REVIEW,"Nuts, For Expressing Oil Therefrom",849356,EMPTY,Ton,anchor,nuts,0,1893-1899,1883-1887,5,21.333,0.41-28.34,0.0,0,rejects
"Nuts And Kernels — Chemical, Essential Or Perfumed",6603253,KEEP,"Perfumery, And Articles Used In The Manufacture Thereof, Except Perfumed Spirits",1024063,KEEP,Lb,anchor,perfumed,7,1893-1899,1883-1887,6,3.412,1.88-3.96,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Oak,14607399,KEEP,Load,anchor,timber wood,15,1875-1899,none,7,0.559,0.49-1.44,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Teak,21826273,KEEP,Load,anchor,timber wood,21,1875-1899,none,7,3.277,3.04-3.8,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Staves,15414533,KEEP,Load,anchor,timber wood,18,1875-1899,none,15,1.62,1.41-1.85,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Sawn Or Split,271722,KEEP,Load,anchor,timber wood,0,1875-1899,none,18,0.017,0.01-0.02,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Hewn: Fir,13912,KEEP,Load,anchor,hewn,0,1875-1899,none,5,0.035,0.03-0.04,0.0,0,rejects
"Wood And Timber — Hewn, Unenumerated",6209849,KEEP,Wood And Timber — Hewn,4126602,EMPTY,Load,anchor,hewn timber wood,0,1875-1899,none,18,0.037,0.03-0.04,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Oak,14607399,KEEP,Load,anchor,timber wood,11,1882-1896,none,3,1.189,1.06-2.07,0.33,0,partial
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Teak,21826273,KEEP,Load,anchor,timber wood,12,1882-1896,none,3,4.972,4.1-6.37,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Unenumerated,9270273,REVIEW,Load,anchor,timber wood,7,1882-1896,none,2,2.703,1.91-2.7,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Staves,15414533,KEEP,Load,anchor,timber wood,13,1882-1896,none,11,2.69,2.11-3.91,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Sawn Or Split,271722,KEEP,Load,anchor,sawn timber wood,0,1882-1896,none,13,0.054,0.02-0.09,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Sawn — Fir,237414,KEEP,Load,anchor,sawn,0,1882-1896,none,3,0.026,0.02-0.03,0.0,0,rejects
"Wood And Timber — Sawn, Unenumerated",6072252,REVIEW,Wood And Timber — Hewn,4126602,EMPTY,Load,anchor,timber wood,0,1882-1896,none,13,0.12,0.06-0.18,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",12054350,KEEP,Lb,origins,manufactured,0,1872-1882,1893-1900,7,1.0,1.0-1.0,1.0,8,rejects
"Manufactured, Cigars",5935008,KEEP,Tobacco — Cigars,27923727,REVIEW,Lb,origins,cigars,4,1872-1882,1893-1900,7,1.506,1.31-1.63,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,Coffee — Manufactured,12748529,KEEP,Lb,origins,manufactured,8,1872-1882,1893-1900,4,3.86,3.36-3.88,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,"China, Or Porcelain, And Earthenware — Manufactured",1330601,KEEP,Lb,origins,manufactured,0,1872-1882,1893-1900,2,4.941,4.29-4.94,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,Cheese — Manufactured,705211,KEEP,Lb,origins,manufactured,0,1872-1882,1893-1900,1,4.009,4.01-4.01,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,Cork — Manufactured,476,KEEP,Lb,anchor,manufactured,0,1872-1882,1893-1900,8,0.237,0.02-0.28,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,"Manufactured, Cigars And Snuff",0,EMPTY,Lb,anchor,cigars manufactured,0,1872-1882,1893-1900,8,0.42,0.03-0.52,0.0,0,rejects
"Manufactured, Cigars",5935008,KEEP,Cork: Unmanufactured Tons Manufactured,0,EMPTY,Lb,anchor,manufactured,0,1872-1882,1893-1900,5,0.0,0.0-0.0,0.0,0,rejects
Cotton Manufactures — United States,5870474,KEEP,"Rags, And Other Materials For Making Paper : Linen And Cotton Rags Tons Esparto, And Other Materials",0,EMPTY,?,anchor,cotton,0,1883-1884,none,2,0.012,0.0-0.01,0.0,0,rejects
Manures — Nitrate Of Soda (Cubic Nitre),5843558,REVIEW,Manures — Guano,18126315,KEEP,Ton,anchor,manures,6,1894-1899,none,6,6.466,3.57-7.2,0.0,0,rejects
Manures — Nitrate Of Soda (Cubic Nitre),5843558,REVIEW,Manures — Phosphate Of Lime And Rock,10753601,KEEP,Ton,anchor,manures,6,1894-1899,none,3,1.324,1.32-1.58,0.0,0,rejects
Manures — Nitrate Of Soda (Cubic Nitre),5843558,REVIEW,Manures — Bones For Manure,6117896,KEEP,Ton,anchor,manures,2,1894-1899,none,3,2.4,1.66-2.6,0.0,0,rejects
"Seeds — Unenumerated, Other Sorts",5781047,FOLD?,Seeds — Clover And Grass,19794610,KEEP,Cwt,anchor,seeds,20,1872-1895,none,20,2.651,1.31-4.84,0.0,0,rejects
"Fish (Including Turtle) — Apples, Raw",5691938,DUPE-FAM,Paper Of All Kinds (Including Straw-Boards And Wood Pulp Boards) - Ccts,0,EMPTY,Bushel,anchor,including,0,1894-1898,none,3,1.509,0.94-1.57,0.33,0,rejects
"Cotton Manufactures — Piece Goods, Other Than Muslins",5662839,REVIEW,Other Than Muslins,13057975,KEEP,Yard,anchor,muslins than,4,1884-1899,none,6,2.385,0.53-2.63,0.0,0,rejects
"Cotton Manufactures — Piece Goods, Other Than Muslins",5662839,REVIEW,"Manufactures, Piece Goods, Muslins",7650,EMPTY,Yard,anchor,goods muslins piece,0,1884-1899,none,6,136.633,41.05-158.6,0.0,0,rejects
"Cotton Manufactures — Piece Goods, Other Than Muslins",5662839,REVIEW,Of Wool (Other Than Goats'): Cloths,974052,EMPTY,Yard,anchor,than,0,1884-1899,none,6,15.404,4.27-23.11,0.0,0,rejects
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",5610655,REVIEW,Paper-Making Materials — Pulp Of Wood,12021749,KEEP,Ton,anchor,wood,5,1893-1899,none,7,1.493,0.51-1.71,0.0,0,rejects
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",5610655,REVIEW,"Paper-Making Materials — Pulp Of Wood, Chemical",2661603,KEEP,Ton,anchor,wood,0,1893-1899,none,6,0.627,0.39-1.65,0.0,0,rejects
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",5610655,REVIEW,Furniture Wood: Mahogany,559670,EMPTY,Ton,anchor,wood,0,1893-1899,none,5,3.283,2.11-3.31,0.0,0,rejects
"Wood And Timber — Unenumerated (Not Being Ash, Beech, Birch, Elm, Oak, Or Wainscot)",5610655,REVIEW,Wood And Timber — Furniture Woods: Mahogany,521859,EMPTY,Ton,anchor,timber wood,0,1893-1899,none,6,3.299,2.11-4.44,0.0,0,rejects
"Sugar — Refined · Unrefined : Cane, And Other Sorts",5602538,DUPE-FAM,Sugar — Refined : Total Of,229517482,KEEP,Cwt,anchor,refined sugar,1,1888-1888,none,1,2.183,2.18-2.18,0.0,0,rejects
"Sugar — Refined · Unrefined : Cane, And Other Sorts",5602538,DUPE-FAM,"Sugar — Unrefined, Total",365153956,REVIEW,Cwt,anchor,sugar unrefined,1,1888-1888,none,1,1.455,1.46-1.46,0.0,0,rejects
"Sugar — Refined · Unrefined : Cane, And Other Sorts",5602538,DUPE-FAM,Sugar — Molasses,5182584,KEEP,Cwt,anchor,sugar,1,1888-1888,none,1,24.5,24.5-24.5,0.0,0,rejects
"Sugar — Refined · Unrefined : Cane, And Other Sorts",5602538,DUPE-FAM,Sugar — Glucose,4223573,KEEP,Cwt,anchor,sugar,1,1888-1888,none,1,17.906,17.91-17.91,0.0,0,rejects
"Skins, Furs, And Pelts — Unenumerated, Being Furs",5549974,KEEP,"Skins, Furs, And Pelts — Seal",63340335,KEEP,Number,anchor,furs pelts skins,8,1872-1879,none,8,11.813,5.71-15.51,0.0,0,rejects
"Skins, Furs, And Pelts — Unenumerated, Being Furs",5549974,KEEP,"Skins And Furs — Goat, Undressed",839302,REVIEW,Number,anchor,furs skins,0,1872-1879,none,2,8.52,7.31-8.52,0.0,0,rejects
"Skins, Furs, And Pelts — Unenumerated, Being Furs",5549974,KEEP,Skins And Furs — Skins : Sheep And Lamb,460216,EMPTY,Number,anchor,furs skins,0,1872-1879,none,8,0.558,0.33-1.49,0.0,0,rejects
"Skins, Furs, And Pelts — Unenumerated, Being Furs",5549974,KEEP,"Skins — Sheep And Lamb, Undressed",7696671,KEEP,Number,anchor,skins,8,1872-1879,none,2,3.704,2.51-3.7,0.0,0,rejects
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,KEEP,"Skins, Furs, And Pelts — Seal",63340335,KEEP,Number,anchor,furs pelts skins,8,1872-1879,none,8,9.565,7.34-12.09,0.0,0,rejects
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,KEEP,"Skins And Furs — Goat, Undressed",839302,REVIEW,Number,anchor,furs goat skins,0,1872-1879,none,2,5.164,5.09-5.16,0.0,0,rejects
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,KEEP,Skins And Furs — Skins : Sheep And Lamb,460216,EMPTY,Number,anchor,furs skins,0,1872-1879,none,8,0.511,0.42-0.9,0.12,0,rejects
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,KEEP,Goat,0,EMPTY,Number,anchor,goat,0,1872-1879,none,8,0.803,0.77-0.84,0.0,0,partial
"Skins, Furs, And Pelts — Goat And Kid, Tanned, Tawed, Or Dressed",5412083,KEEP,"Skins — Sheep And Lamb, Undressed",7696671,KEEP,Number,anchor,skins,8,1872-1879,none,2,2.639,2.05-2.64,0.0,0,rejects
"Dye Stuffs, And Substances Used In Tanning — Valonia",5344751,KEEP,Dye Woods — Logwood,21269545,KEEP,Ton,anchor,dye,12,1883-1894,none,12,1.542,1.43-87.52,0.0,0,rejects
"Dye Stuffs, And Substances Used In Tanning — Valonia",5344751,KEEP,Dye Woods — Unenumerated,3908895,KEEP,Ton,anchor,dye,11,1883-1894,none,12,2.524,1.08-3.96,0.08,0,rejects
"Dye Stuffs, And Substances Used In Tanning — Valonia",5344751,KEEP,Dyeing Or Tanning Stuffs — Shunach,15054,KEEP,Ton,anchor,stuffs tanning,0,1883-1894,none,1,2.048,2.05-2.05,0.0,0,rejects
"Dye Stuffs, And Substances Used In Tanning — Valonia",5344751,KEEP,Unenumerated Vegetable Substances Applic-Able To The Same Uses As Hemp Or Flax - },0,EMPTY,Ton,anchor,substances,0,1883-1894,none,2,7.015,3.55-7.01,0.0,0,rejects
Woollen Yarn — Cloths,5226625,REVIEW,Woollen Manufactures — Stuffs,81404071,KEEP,Yard,anchor,woollen,4,1893-1899,none,2,0.079,0.07-0.08,0.0,0,rejects
Woollen Yarn — Cloths,5226625,REVIEW,"Jute Yarn — Manufactures, Piece Goods",2372364,KEEP,Yard,anchor,yarn,0,1893-1899,none,4,0.088,0.06-0.1,0.0,0,rejects
