commodity,year,dropped_country,kept_country,qty,value
Wax,1897,Portuguese Possessions,Eastern Coast Of Africa Portuguese Possessions,321,2121
Wax,1895,Portuguese Possessions,Eastern Coast Of Africa Portuguese Possessions,342,2078
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,British Possessions In South Africa,British Possessions In South Africa,124,2073
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1894,Turkey European,Turkey European,25360,2065
Bottles,1895,United States Of America (Atlantic),United States Of America,4620,2014
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Belgium,Belgium,15635,2005
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,1891,British Possessions In Southafrica,British Possessions In South Africa,513,1934
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,British West India Islands,British West India Islands,48,1829
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1888,Australasia,Australasia,1157,1816
Glass,1897,France,Belgium,577,1749
Hay,1896,Russia (Northern Ports),Russia,707,1581
"Buttons And Studs, Not Of Metal",1896,United States Of America (Atlantic),United States Of America,37065,1577
Brimstone,1876,Turkey,Turkey,5000,1550
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Denmark,Denmark,44,1525
Glass,1896,Dutch Guiana,United States Of America (Atlantic),120,1520
"Horns, Tips, And Pieces Of Horn, And Hoofs",1895,Egypt,Egypt,49,1510
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Peru,Peru,39,1500
Woollen Yarn — Cloths,1896,United States Of America (Atlantic),United States Of America,12030,1422
Wood And Timber — Teak,1884,Bombay And,Bombay,137,1417
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Italy,Italy,36,1415
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Morocco,Morocco,23450,1375
Brimstone,1877,Other Countries,Other Countries,3753,1365
Caoutchouc,1895,Not Particularly Design- Nated,Not Particularly Designated,132,1281
Wood And Timber — Oak,1883,Holland,Holland,127,1263
Cotton — Raw,1897,Russia (Northern Ports),Russia,907,1220
Bottles,1896,United States Of America (Atlantic),United States Of America,2753,1214
"Zinc — Crude, In Cakes",1893,Argentine Republic,Argentine Republic,100,1194
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1897,Turkey European,Turkey European,9105,1171
Woollen Yarn — Cloths,1894,United States Of America (Atlantic),United States Of America,8323,1076
"Sugar — Unrefined : Cane, And Other Sorts",1884,Other Countries,Other Countries,1447,1071
"Metal — Unenumerated, Wrought Or Manufactured : Old, Fit Only To Be Re-Manufactured",1883,Channel Islands,Channel Islands,76,1039
Wood And Timber — Teak,1883,Other Countries,Other Countries,79,1004
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1888,Germany,Germany,677,995
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",1895,Morocco,Morocco,14590,990
"Skins : Goat, Undressed",1896,Algeric,Algeria,12600,981
"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp",1888,Mexico,Mexico,698,870
