commodity,total,mapped,top_origins,regions
WINE,502999,502999,France 232539; Portugal 112416; Spain 108496; Holland 25402; Italy 8765; Germany 4829,Europe 495304; Australasia & Pacific 4902; North America 881; Africa 716; Mediterranean & Levant 663; India & Southeast Asia 447; South America 51; China & Japan 28; Caribbean & Central America 7
IRON AND STEEL,494247,494247,Spain 186188; Sweden 107599; Holland 65482; Belgium 42050; United States Of America 23764; Germany 18662,Europe 444002; North America 27436; Mediterranean & Levant 18462; Australasia & Pacific 2295; India & Southeast Asia 996; China & Japan 723; South America 190; Africa 83; Caribbean & Central America 60
"SILK, RAW AND THROWN",477111,477111,France 212336; China 73228; Bengal 26827; Argentine Republic 23235; Holland 21853; Belgium 19242,Europe 276789; China & Japan 107241; India & Southeast Asia 42190; South America 38513; Caribbean & Central America 10243; Mediterranean & Levant 1095; North America 885; Australasia & Pacific 152; Africa 3
TALLOW and STEARINE,467084,467084,Australasia 174050; United States Of America 119467; Argentine Republic 58719; Uruguay 48567; France 26786; Russia 18298,Australasia & Pacific 178889; North America 121125; South America 107353; Europe 59674; India & Southeast Asia 19; China & Japan 19; Africa 5; Mediterranean & Levant 0
SPIRITS,463185,463185,British Guiana 164975; British West India Islands 164141; Holland 42183; United States Of America 18229; France 11180; Mauritius 10460,Caribbean & Central America 174064; South America 169752; Europe 71226; North America 27327; Africa 12443; China & Japan 2506; Australasia & Pacific 2466; India & Southeast Asia 2285; Mediterranean & Levant 1116
HAMS,381460,381460,United States Of America 354438; Canada 26122; Germany 385; Denmark 312; Spain 137; Belgium 67,North America 380560; Europe 900
COFFEE,347196,347196,Brazil 60948; Central America 56537; Ceylon 53670; Madras 46780; United States Of America 24470; Bombay 17862,India & Southeast Asia 123845; Caribbean & Central America 97921; South America 62237; Europe 29076; North America 24470; Africa 8248; Mediterranean & Levant 953; China & Japan 446
WOOLLEN YARN,339187,339187,Belgium 164857; France 95523; Germany 68621; Holland 3164; Denmark 2351; Egypt 1005,Europe 336723; Mediterranean & Levant 1129; Australasia & Pacific 710; South America 283; North America 214; India & Southeast Asia 129
EMBROIDERY AND NEEDLEWORK,265905,231456,France 137462; Belgium 65034; Holland 12391; Turkey 4959; Portugal 4899; Germany 4082,Europe 223867; Unmapped 34449; Mediterranean & Levant 4959; China & Japan 1421; India & Southeast Asia 1174; Africa 24; North America 11
FISH,257671,257671,Holland 67709; United States Of America 47552; France 46184; Norway 30297; Canada 24852; British West India Islands 11192,Europe 172653; North America 72980; Caribbean & Central America 11218; Australasia & Pacific 753; South America 33; India & Southeast Asia 25; Africa 10; Mediterranean & Levant 0
SUGAR,250910,250910,Germany 79607; France 40824; Holland 17917; British West India Islands 15973; Java 14054; Belgium 12995,Europe 152564; South America 29837; India & Southeast Asia 27170; Caribbean & Central America 24811; Africa 5117; North America 4202; Australasia & Pacific 3471; Mediterranean & Levant 2214; China & Japan 1525
"COTTON, RAW",232782,232782,United States Of America 128710; Egypt 56966; United States Of America (Atlantic) 27102; Bombay 7216; Brazil 3597; Madras 1986,North America 155854; Mediterranean & Levant 57460; India & Southeast Asia 11570; South America 5594; Europe 1646; Caribbean & Central America 215; China & Japan 182; Africa 143; Australasia & Pacific 118
GOODS UNENUMERATED,231212,163621,Germany 29815; Belgium 22413; France 21394; United States Of America 18013; Russia (Northern Ports) 15722; Holland 15566,Europe 135756; Unmapped 67591; North America 18574; South America 4783; China & Japan 3947; Caribbean & Central America 306; Mediterranean & Levant 256
"LACE, and Articles thereof",195716,195716,France 130600; Holland 46922; Belgium 15995; Germany 2068; Denmark 128; British East Indies 2,Europe 195713; India & Southeast Asia 2; Mediterranean & Levant 0
CHEMICAL MANUFACTURES AND PRODUCTS,192958,192958,France 43960; Germany 43496; Holland 38186; Italy 25241; Chile 13719; United States Of America 7644,Europe 166152; South America 14911; North America 7741; India & Southeast Asia 1951; Mediterranean & Levant 1612; China & Japan 399; Australasia & Pacific 181; Caribbean & Central America 10
HATS OR BONNETS,160544,160544,United States Of America 56633; British East Indies 38819; Mexico 25749; Madagascar 13205; Mauritius 10301; Philippine Islands 6012,North America 56633; India & Southeast Asia 44831; Caribbean & Central America 25749; Africa 23506; Europe 4558; China & Japan 3769; Mediterranean & Levant 1497
DRUGS,150433,150433,Turkey 19256; Madras 18012; Ceylon 16708; Asiatic 11629; Bombay 10113; Holland 8753,India & Southeast Asia 63920; Europe 30632; Mediterranean & Levant 24123; South America 13482; China & Japan 9934; North America 4842; Africa 2071; Caribbean & Central America 1418; Australasia & Pacific 10
