reldiff,volume,group,article,year,country_sum,t1_value,tier,n_cells
0.00004,as_1894,EMBROIDERY and NEEDLEWORK,,1894,546926.0,546906.0,A,12
0.00004,as_1896,MUSICAL INSTRUMENTS,,1896,1171362.0,1171412.0,A,12
0.00005,as_1899,"FLOWERS, ARTIFICIAL",,1897,651152.0,651182.0,A,8
0.00005,as_1898,"WATCHES, and parts thereof",,1897,1241222.0,1241286.0,A,8
0.00006,as_1888,MUSICAL INSTRUMENTS,,1888,804124.0,804174.0,A,13
0.00007,as_1895,SILK,"Ribbons, Silk or Satin",1895,3088480.0,3088702.0,B,7
0.00007,as_1896,SILK,"Ribbons, Silk or Satin",1896,3131070.0,3131298.0,C,7
0.00008,as_1874,SILK MANUFACTURES,Of Countries out of Europe,1874,237373.0,237393.0,A,6
0.00009,as_1887,"CLOCKS, and PARTS THEREOF",,1887,398225.0,398259.0,B,9
0.00009,as_1872,MUSICAL INSTRUMENTS,,1872,442351.0,442311.0,A,7
0.00009,as_1899,"LACE, and Articles thereof",Of Cotton,1898,964579.0,964669.0,B,8
0.00011,as_1880,"FLOWERS, ARTIFICIAL",,1880,463159.0,463109.0,A,5
0.00012,as_1886,"FLOWERS, Artificial",,1886,272401.0,272433.0,A,7
0.00012,as_1887,MATCHES,,1887,412626.0,412676.0,A,12
0.00012,as_1890,EMBROIDERY and NEEDLEWORK,,1890,444237.0,444182.0,A,13
0.00012,as_1876,LINEN MANUFACTURES,,1876,240797.0,240827.0,B,8
0.00013,as_1889,TOYS,,1889,714736.0,714828.0,A,10
0.00013,as_1890,"VEGETABLES, Raw : Unenumerated",,1890,773690.0,773590.0,A,17
0.00015,as_1898,"LACE, and Articles thereof",Of Cotton,1898,964529.0,964669.0,B,8
0.00015,as_1873,"FLOWERS, ARTIFICIAL",,1873,449253.0,449320.0,A,4
0.00016,as_1894,"WATCHES, and Parts thereof",,1894,863440.0,863580.0,A,7
0.00016,as_1898,"WATCHES, and parts thereof",,1894,863440.0,863580.0,A,8
0.00017,as_1895,Toys,,1895,997480.0,997647.0,A,9
0.00017,as_1899,"CLOCKS, AND PARTS THEREOF",,1898,541771.0,541864.0,A,9
0.00020,as_1874,"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",,1874,1020335.0,1020535.0,A,12
0.00020,as_1887,Toys,,1887,669559.0,669696.0,A,10
0.00022,as_1891,"CLOCKS, and PARTS THEREOF",,1891,505981.0,506092.0,A,9
0.00022,as_1898,"CLOCKS, AND PARTS THEREOF",,1895,474450.0,474556.0,A,9
0.00022,as_1899,"CLOCKS, AND PARTS THEREOF",,1895,474450.0,474556.0,A,9
0.00022,as_1896,Toys,,1896,1051506.0,1051741.0,A,10
0.00023,as_1896,"CLOCKS, and PARTS THEREOF",,1896,561070.0,561198.0,A,9
0.00023,as_1896,LINEN,"Manufactures, including Manufactures of Linen mixed with Cotton",1896,400314.0,400407.0,A,8
0.00024,as_1891,TOYS,,1891,791793.0,791980.0,A,9
0.00025,as_1889,"FLOWERS, Artificial",,1889,345196.0,345283.0,A,8
0.00025,as_1886,"WATCHES, and Parts thereof",,1886,711532.0,711712.0,A,7
0.00026,as_1898,TOYS,,1898,1100193.0,1100476.0,A,10
0.00026,as_1877,LEATHER MANUFACTURES,"Manufactures, Unenumerated",1877,379105.0,379005.0,B,7
0.00027,as_1890,TOYS,,1890,747910.0,748113.0,A,9
0.00028,as_1899,"FLOWERS, ARTIFICIAL",,1899,646104.0,646288.0,A,8
0.00029,as_1894,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",,1894,350560.0,350460.0,A,17
0.00029,as_1875,"FLOWERS, ARTIFICIAL",,1875,510652.0,510800.0,A,4
0.00029,as_1894,"CLOCKS, and PARTS THEREOF",,1894,442031.0,442161.0,A,9
0.00030,as_1890,"CLOCKS, and PARTS THEREOF",,1890,512266.0,512419.0,A,9
0.00031,as_1898,"CLOCKS, AND PARTS THEREOF",,1894,442026.0,442161.0,A,9
0.00032,as_1884,Toys,,1884,626170.0,626370.0,A,7
0.00036,as_1893,"WATCHES, and Parts thereof",,1893,742430.0,742701.0,A,7
0.00037,as_1899,"LACE, and Articles thereof",Of Cotton,1899,970742.0,971102.0,B,8
0.00040,as_1890,"WATCHES, and Parts thereof",,1890,674387.0,674654.0,A,7
0.00042,as_1899,"CLOCKS, AND PARTS THEREOF",,1896,560965.0,561198.0,A,9
0.00043,as_1894,TOYS,,1894,964055.0,964465.0,A,10
0.00043,as_1898,TOYS,,1894,964055.0,964465.0,A,10
0.00052,as_1899,FRUIT,"Nuts, used as Fruit",1898,575273.0,575573.0,A,23
0.00054,as_1899,"FLOWERS, ARTIFICIAL",,1896,559224.0,559524.0,A,7
0.00054,as_1889,MATCHES,,1889,368852.0,368652.0,A,11
0.00058,as_1899,"WATCHES, and parts thereof",,1897,1240571.0,1241286.0,A,8
0.00058,as_1895,WOOLLEN MANUFACTURES,Unenumerated,1895,3806815.0,3804590.0,B,17
0.00064,as_1892,Toys,,1892,806589.0,807103.0,A,10
0.00065,as_1899,"MATCHES, Safety and Other Sorts",,1898,367556.0,367796.0,A,9
0.00066,as_1878,"FLOWERS, ARTIFICIAL",,1878,527483.0,527832.0,A,4
0.00066,as_1886,Toys,,1886,617965.0,618376.0,A,9
0.00067,as_1894,LINEN,Manufactures,1894,407175.0,407448.0,C,10
0.00070,as_1884,"VEGETABLES, Raw; Unenumerated",,1884,426670.0,426970.0,A,11
0.00072,as_1881,PAINTERS' COLOURS AND PIGMENTS,,1881,833679.0,834279.0,A,7
0.00072,as_1893,TOYS,,1893,883597.0,884235.0,A,9
0.00072,as_1895,EMBROIDERY and NEEDLEWORK,,1895,691141.0,690641.0,A,10
0.00074,as_1885,CHEMICAL MANUFACTURES and PRODUCTS,,1885,1357291.0,1356291.0,A,19
0.00085,as_1887,"WATCHES, and Parts thereof",,1887,750113.0,750750.0,A,7
0.00094,as_1884,LINEN,MANUFACTURES,1884,319472.0,319772.0,B,8
0.00097,as_1891,MUSICAL INSTRUMENTS,,1891,1031385.0,1032391.0,A,12
0.00102,as_1891,LEATHER MANUFACTURES,Unenumerated,1891,381842.0,382231.0,C,9
0.00105,as_1899,FRUIT,"Nuts, used as Fruit",1896,581805.0,582414.0,A,22
0.00105,as_1874,WATCHES,,1874,473619.0,474119.0,A,4
0.00108,as_1898,TOYS,,1896,1050606.0,1051741.0,A,10
0.00108,as_1893,MUSICAL INSTRUMENTS,,1893,922920.0,923920.0,A,11
0.00110,as_1899,"CLOCKS, AND PARTS THEREOF",,1897,536798.0,537391.0,A,9
0.00112,as_1887,PAINTERS' COLOURS AND PIGMENTS,,1887,856977.0,856017.0,A,18
0.00118,as_1877,EMBROIDERY and NEEDLEWORK,,1877,84709.0,84609.0,A,6
0.00141,as_1874,LINEN MANUFACTURES,,1874,211752.0,212052.0,A,8
0.00144,as_1878,"DRUGS, Unenumerated",,1878,488290.0,487590.0,A,19
0.00155,as_1896,FRUIT,"Nuts, used as Fruit",1896,583314.0,582414.0,A,16
0.00170,as_1882,LINEN,MANUFACTURES,1882,293797.0,294297.0,A,8
0.00173,as_1894,LEATHER MANUFACTURES,Unenumerated,1894,300377.0,300898.0,B,9
