gold_commodity,year,gold_world,unit,status,best_tier1_match
Wine White in Bottles Still,1891,231665,Gallons,scope (72.44x),Wine - - - - -
Wine White in Bottles Still,1896,383647,Gallons,scope (2.23x),.. Bottles
Wine White in Casks,1891,3187945,Gallons,scope (5.26x),Wine - - - - -
Wine in Bottles Sparkling Champagne,1891,1579199,Gallons,scope (10.63x),Wine - - - - -
Wine in Bottles Sparkling Hock,1891,42425,Gallons,scope (395.58x),Wine - - - - -
Wine in Bottles Sparkling Moselle,1891,47922,Gallons,scope (350.21x),Wine - - - - -
Wine in Bottles Sparkling Saumur,1891,171355,Gallons,scope (97.94x),Wine - - - - -
Wood and Timber Dye Woods Brazil Wood,1866,1201,Tons,scope (4.22x),Walnut Wood
Wood and Timber Dye Woods Sapan Wood,1866,2591,Tons,off (1.96x),Walnut Wood
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1876,3759775,Loads,off (1.10x),Wood and Timber Sawn or Split
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1881,3335736,Loads,off (1.10x),Wood and Timber Sawn or Split
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1886,3554769,Loads,off (1.06x),Wood and Timber Sawn or Split
Wood and Timber Hardwoods Ebony,1866,1922,Tons,scope (2.17x),Furniture and Hardwoods: Boxwood
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1866,1231455,Loads,off (1.21x),"Wood and Timber:Not Sawn or Split, including Teak"
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1871,1453571,Loads,off (1.14x),Wood and Timber Hewn
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1876,1904870,Loads,off (1.14x),Wood and Timber Hewn
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1881,1674359,Loads,off (1.12x),Wood and Timber Hewn
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1886,1388278,Loads,off (1.14x),Wood and Timber Hewn
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1891,2002686,Loads,off (1.12x),Wood and Timber Hewn
Wood and Timber Hewn Oak,1866,89161,Loads,off (1.05x),"Furniture (Household) of Wood, and Cabinet Ware"
Wood and Timber Hewn Oak,1871,97412,Loads,off (0.86x),Wood and Timber Staves
Wood and Timber Hewn Oak,1881,87881,Loads,off (1.35x),Wood and Timber Staves
Wood and Timber Hewn Oak,1886,95178,Loads,off (1.37x),Wood and Timber Staves
Wood and Timber Hewn Oak,1891,122796,Loads,off (1.06x),Wood and Timber Staves
Wood and Timber Hewn Teak,1866,35724,Loads,scope (2.63x),"Furniture (Household) of Wood, and Cabinet Ware"
Wood and Timber Hewn Teak,1871,23353,Loads,scope (3.60x),Wood and Timber Staves
Wood and Timber Hewn Teak,1876,35266,Loads,scope (3.66x),Wood and Timber Staves
Wood and Timber Hewn Teak,1881,40720,Loads,scope (2.91x),Wood and Timber Staves
Wood and Timber Hewn Teak,1886,40895,Loads,scope (3.20x),Wood and Timber Staves
Wood and Timber Hewn Teak,1891,49962,Loads,scope (2.60x),Wood and Timber Staves
Wood and Timber Hewn Unenumerated,1866,71046,Loads,off (1.32x),"Furniture (Household) of Wood, and Cabinet Ware"
Wood and Timber Hewn Unenumerated,1876,93289,Loads,off (1.39x),Wood and Timber Staves
Wood and Timber Hewn Unenumerated,1881,69006,Loads,off (1.72x),Wood and Timber Staves
Wood and Timber Hewn Unenumerated,1886,58411,Loads,scope (2.24x),Wood and Timber Staves
Wood and Timber Hewn Unenumerated,1891,75248,Loads,off (1.73x),Wood and Timber Staves
Wood and Timber Masts Spars and Poles,1866,57707,Loads,off (1.63x),"Furniture (Household) of Wood, and Cabinet Ware"
"Wood and Timber Oak - Sawn or Split, Planed or Dressed",1866,8917,Loads,off (0.57x),Walnut Wood
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1866,14069,Loads,scope (0.36x),Walnut Wood
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1871,241914,Loads,scope (0.35x),Wood and Timber Staves
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1876,358417,Loads,scope (0.36x),Wood and Timber Staves
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1881,337671,Loads,scope (0.35x),Wood and Timber Staves
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1886,231017,Loads,off (0.57x),Wood and Timber Staves
"Wood and Timber Sawn or Split, Planed or Dressed Unenumerated",1891,162571,Loads,off (0.80x),Wood and Timber Staves
Wood and Timber Treenails,1866,2217,Loads,scope (2.29x),Walnut Wood
Wool Alpaca Llama and Vicuna,1866,3617588,Lbs. (Pounds),off (1.21x),Goats' Hair or Wool
Wool Other kinds and Flocks,1871,658311,Lbs. (Pounds),scope (5.55x),"Wool Alpaca, Vicuna, and Llama"
Wool Other kinds and Flocks,1876,329528,Lbs. (Pounds),scope (0.45x),"Manufactures of Hair, and of Goats' Wool"
Wool Other kinds and Flocks,1881,1283473,Lbs. (Pounds),scope (2.04x),"Wool Alpaca, Vicuña, and Llama"
Wool Other kinds and Flocks,1886,1670656,Lbs. (Pounds),scope (2.35x),"Wool Alpaca, Vicuña, and Llama"
Wool Other kinds and Flocks,1891,1935216,Lbs. (Pounds),scope (2.35x),"Wool Alpaca, Vicuña, and Llama"
Woollen Manufactures Carpets and Rugs,1866,110833,Square Yards,off (0.76x),Manufactures of India and China
Woollen Manufactures Cloths,1866,39432,Pieces,scope (2.13x),Manufactures of India and China
Woollen Manufactures Cloths,1886,2447913,Pieces,off (1.10x),Manufactures of
Woollen Manufactures Cloths,1891,2539408,Pieces,off (1.22x),"Iron and Steel Manufactures, Unenumerated"
Woollen Manufactures Cloths and Stuffs,1871,392384,Pieces,off (1.35x),Leather Manufactures :Boots and Shoes
Woollen Manufactures Cloths and Stuffs,1876,313178,Pieces,off (0.83x),Silk Manufactures Of Countries out of Europe
Woollen Manufactures Cloths and Stuffs,1881,824870,Pieces,off (1.35x),Manufactures of
Woollen Manufactures Shawls Scarfs and Handkerchiefs,1866,96224,Lbs. (Pounds),off (0.87x),Manufactures of India and China
Woollen Manufactures Stuffs,1866,282701,Pieces,off (1.39x),"Leather Manufactures: Boots, Shoes, and Boot Fronts"
Woollen Manufactures Stuffs,1886,62025851,Pieces,off (0.55x),Cotton Manufactures : Piece Goods
Woollen Manufactures Stuffs,1891,71682172,Pieces,off (0.53x),Cotton Manufactures : Piece Goods
Woollen Yarn For Fancy Purposes,1871,464058,Lbs. (Pounds),scope (6.89x),Yarn
Woollen Yarn For Fancy Purposes,1876,841878,Lbs. (Pounds),scope (2.03x),Yarn and Waste of
Woollen Yarn For Fancy Purposes,1881,663922,Lbs. (Pounds),scope (3.49x),Yarn and Waste of
Woollen Yarn For Fancy Purposes,1886,1420393,Lbs. (Pounds),scope (2.78x),Yarn
Woollen Yarn For Fancy Purposes,1891,1308854,Lbs. (Pounds),scope (7.21x),Yarn
Woollen Yarn For Weaving,1876,12909902,Lbs. (Pounds),off (1.09x),Woollen Yarn
Woollen Yarn For Weaving,1881,10068329,Lbs. (Pounds),off (1.07x),"Woollen, Yarn"
Woollen Yarn For Weaving,1886,18620957,Lbs. (Pounds),off (1.08x),Woollen Yarn
Woollen Yarn For other Purposes including Berlin Wool and Zephyr Yarn,1866,287367,Lbs. (Pounds),off (1.20x),Madder and Madder Root (including Munjeet)
Woollen Yarn Unenumerated,1886,40619,None,off (0.75x),"Rags, Woollen, applicable to other uses than Manure"
Woollen Yarn Unenumerated,1891,117243,None,scope (0.32x),"Rags, Woollen, applicable to other uses than Manure"
Woollen Yarn Unenumerated,1896,49430,None,off (0.74x),"Woollen Rags, applicable to other uses than Manure"
Woollen Yarn for Weaving Mixed or not with Silk,1891,14712167,Lbs. (Pounds),off (1.10x),"Woollen, Yarn, of all kinds"
Zinc Crude in Cakes,1866,21368,Tons,off (1.37x),Spelter or Zinc
Zinc Manufactured,1891,403163,CWTS (Hundredweights),off (1.06x),"Stones, Marble, hewn or manufactured"
Zinc Manufactured,1896,420068,CWTS (Hundredweights),off (1.60x),"Stones, Slabs, and Marble, rough hewn, or manufactured (other than Works of Art)"
Zinc Manufactures Unenumerated,1876,294218,CWTS (Hundredweights),off (0.88x),Silk Manufactures Of Countries out of Europe
Zinc Ore,1876,11663,Tons,off (0.76x),"Manganese, Ore of"
Zinc Ore,1881,34027,Tons,off (1.35x),"Zinc : Crude, in Cakes"
Zinc Ore,1886,14224,Tons,scope (3.80x),"Zinc : Crude, in Cakes"
Zinc Ore,1891,36726,Tons,off (1.59x),"Zinc : Crude, in Cakes"
Zinc Oxide or White of,1866,1352,Tons,scope (21.63x),Spelter or Zinc
Zinc Rolled but not otherwise manufactured,1866,7871,Tons,scope (3.71x),Spelter or Zinc
