gold_commodity,year,gold_world,unit,status,best_tier1_match
Drugs Unenumerated,1866,39182,CWTS (Hundredweights),no-name-match,
Dye Stuffs Unenumerated,1871,234548,CWTS (Hundredweights),off (0.66x),Dyeing or Tanning Stuffs Madder Root
Dye Stuffs Unenumerated,1876,264062,CWTS (Hundredweights),scope (0.37x),"Lac, Seed, Shell, Stick, and Dye"
Dye Stuffs Unenumerated,1881,159897,CWTS (Hundredweights),off (0.65x),"Lac, Seed, Shell, Stick, and Dye"
Dye Stuffs Unenumerated,1886,289064,CWTS (Hundredweights),off (1.35x),Dyeing or Tanning Stuffs Bark
Dye Stuffs Unenumerated,1891,248104,CWTS (Hundredweights),off (1.97x),Dyeing or Tanning Stuffs Bark
Dye Stuffs Unenumerated,1896,167385,CWTS (Hundredweights),off (0.94x),"Lac, Seed, Shell, Stick, and Dye"
Dye Woods Unenumerated,1871,23397,Tons,scope (2.59x),"Lac, Seed, Shell, Stick, and Dye"
Dye Woods Unenumerated,1876,24855,Tons,scope (3.98x),"Lac, Seed, Shell, Stick, and Dye"
Dye Woods Unenumerated,1881,27272,Tons,scope (3.82x),"Lac, Seed, Shell, Stick, and Dye"
Dye Woods Unenumerated,1886,22466,Tons,scope (2.17x),Furniture woods and Hardwoods Mahogany
Dye Woods Unenumerated,1891,15881,Tons,scope (3.02x),Furniture woods and Hardwoods Mahogany
"Earthenware, not being China or Porcelain Ware",1871,10640,CWTS (Hundredweights),scope (2.56x),China and Porcelain Ware
"Earthenware, not being China or Porcelain Ware",1876,18996,CWTS (Hundredweights),scope (2.51x),China and Porcelain Ware
"Earthenware, not being China or Porcelain Ware",1881,72516,CWTS (Hundredweights),off (0.95x),Cotton Manufactures of India and China
Embroidery and Needlework Curtains Embroidered on Muslin or Net,1866,44406,Lbs. (Pounds),off (1.70x),Embroidery and Needlework
Esparto and other Vegetable Fibres for making Paper,1866,70041,Tons,scope (0.35x),Rags and other materials for making Paper: Rags
Esparto and other Vegetable Fibres for making Paper,1871,144411,Tons,off (1.07x),Rags and other materials for making Paper Esparto and other Materials
Esparto and other Vegetable Fibres for making Paper,1876,130891,Tons,off (1.13x),Rags and other materials for making Paper Esparto and other Materials
Esparto and other Vegetable Fibres for making Paper,1881,192493,Tons,off (1.24x),Rags and other materials for making Paper Esparto and other Materials
Esparto and other Vegetable Fibres for making Paper,1886,195151,Tons,off (1.60x),"Rags, and other materials for making Paper Esparto, and other Materials"
Ether Acetic,1891,1351,Lbs. (Pounds),no-name-match,
Ether Sulphuric,1871,2001,Gallons,no-name-match,
Ether Sulphuric,1876,2649,Gallons,no-name-match,
Ether Sulphuric,1881,3484,Gallons,no-name-match,
Ether Sulphuric,1886,4505,Gallons,no-name-match,
Ether Sulphuric,1891,2825,Gallons,no-name-match,
Feathers Ornamental Ostrich Black,1866,27629,Lbs. (Pounds),off (1.54x),""" Ostrich"
Feathers Ornamental Ostrich White,1866,14877,Lbs. (Pounds),off (0.84x),Feathers for Beds
Feathers of other sorts Unenumerated,1866,34499,Lbs. (Pounds),scope (0.36x),Feathers for Beds
Fish Cured or Salted,1866,393591,CWTS (Hundredweights),off (1.29x),Fish
Fish Cured or Salted,1871,404479,CWTS (Hundredweights),off (0.75x),"Beef, Salted and Fresh"
Fish Cured or Salted,1876,698411,CWTS (Hundredweights),off (1.38x),Fish
Fish Cured or Salted,1881,994466,CWTS (Hundredweights),off (1.07x),"Beef, Salted and Fresh"
Fish Cured or Salted,1886,825280,CWTS (Hundredweights),off (1.21x),"Beef, Salted and Fresh"
Fish Cured or Salted Unenumerated,1891,873340,CWTS (Hundredweights),off (0.89x),"Meat, Unenumerated; Salted or Fresh -Preserved, otherwise than by salting -"
Fish Fresh Not of British Taking,1866,113121,CWTS (Hundredweights),off (1.34x),"Meat, Salted or Fresh, not otherwise described"
Fish Fresh Not of British Taking,1871,200851,CWTS (Hundredweights),off (1.47x),"Pork, Salted and Fresh"
Fish Fresh Not of British Taking,1876,267708,CWTS (Hundredweights),off (1.41x),"Pork, Salted and Fresh"
Fish Fresh Not of British Taking,1881,535753,CWTS (Hundredweights),off (0.71x),"Pork, Salted and Fresh"
