check,metric,commodity,gbp
NOUNIT,0,"Butter — Buttons And Straps, Not Of Metal",0
NOUNIT,0,"Butter — Buttons And Srungs, Not Of Metal",0
NOUNIT,0,"Butter — Buttons And Snaps, Not Of Metal",0
NOUNIT,0,"Bark — Extracts Of Bark, Or Of Other Substances To Be Usedin Tanning Or Dyeing, Unenumerated",0
NOUNIT,0,Bark — Extracts Of Bark Or Other Vegetable Substancesto Be Used In Tanning Or Dyeing,0
NOUNIT,0,Bark — Extracts Of Bark Or Other Substances To Be Used In Tanning Or Dyeing,0
NOUNIT,0,Bank — Extract Of Bank Or Other Vegetable Substancesto Be Used In Tanning Or Dyeing,0
NOUNIT,0,At Certain Ports,0
NOUNIT,0,Articles Subject To Duty — Customs Duty,0
NOUNIT,0,Articles Subject To Duty,0
NOUNIT,0,"Arms, And Ammunition — Rockets And Other Combustibles For Purposesof War, Explosives, Percussion Caps, Andammunition, Unenumerated",0
NOUNIT,0,"Arms, And Ammunition — Rockets And Other Combustibles For Purposesof War And Ammunition, Unenumerated",0
NOUNIT,0,"Arms, And Ammunition — Art, Works Or, Other Than Pictures",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Parts Of Fire-Arms",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Other Fire-Arms And Parts Of Fire-Arms",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Ordnance Stores, Not Otherwise Described",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Ordnance Stores, Explosives, And Ammunition, Unenumerated",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Art, Works Of, Other Than Pictures",0
NOUNIT,0,"Arms, Ammunition, And Military Stores — Ammunition, Unenumerated",0
NOUNIT,0,"Arms And Ammunition — Rockets, And Other Combustibles For Purposes Of War, Explosives, Percussion Caps, And Ammunition, Unenumerated",0
NOUNIT,0,"Arms And Ammunition — Rockets And Other Combustiblesfor The Purposes Of War, Ex-Plosives, Percussion Caps, Andammunition, Unenumerated",0
NOUNIT,0,"Arms And Ammunition — Rockets And Other Combustibles Of War, Andammunition, Unenumerated",0
NOUNIT,0,"Arms And Ammunition — Rockets And Other Combustibles Of War, &C., And Ammunition, Unenumerated",0
NOUNIT,0,Apparel And Stores,0
NOUNIT,0,Apparel And Slops,0
ONEYEAR,950000000,"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",950000000
ONEYEAR,750040033,"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",750040033
ONEYEAR,100636087,"Bleaching Materials — Books, Printed",100636087
ONEYEAR,50071380,"Wine, British Made — Rough, Hewn, Sawn, Or Split",50071380
ONEYEAR,13652302,Wood And Timber — Sawn Or Split,13652302
ONEYEAR,12755988,Silk — Manufactures,12755988
ONEYEAR,11637694,"Coffee — Rum Shrub, Liqueurs And Cordials, Of And From       British Possessions",11637694
ONEYEAR,5634669,"Cotton — Raw, And Waste Of",5634669
ONEYEAR,4743377,Cheese — Wheat,4743377
ONEYEAR,4423963,"Cotton Manufactures — Piece Goods, Printed And Dyed",4423963
ONEYEAR,3880327,Butterine (Margarine),3880327
ONEYEAR,3772279,Fish — Rough Or Undressed,3772279
ONEYEAR,3658840,Woollen And Worsted Manufactures — Worsted Yarn (Combed),3658840
ONEYEAR,3054679,"Bristles — Note.—The Total Quantities And Value Of ""Butterine,"" Declared As Such, Imported In The Year 1885 Were",3054679
ONEYEAR,2977100,"Jute Yarn — Manufactures, Piece Goods",2977100
ONEYEAR,2962264,Butterine,2962264
ONEYEAR,2723762,Tea — Red: Total Of,2723762
ONEYEAR,2605841,Drugs — Indigo,2605841
ONEYEAR,2533015,Iron And Steel — Manufactures Of Iron And Steel,2533015
ONEYEAR,2286259,Tobacco — Red : Total Of,2286259
ONEYEAR,1930998,"Hides — Tanned, Not Otherwise Dressed",1930998
ONEYEAR,1863437,"Woollen And Worsted Manufactures — Coatings, Duffels, &C. Of Wool Mixed With Other Materials",1863437
ONEYEAR,1856222,Land,1856222
ONEYEAR,1704488,Oil — West Coast Of Africa (Foreign),1704488
ONEYEAR,1519701,"Nitre, Cubic (Nitrate Of Soda) — Palm",1519701
ONEYEAR,1511924,Woollen Yarn — From British North America,1511924
ONEYEAR,1415252,"Flax, Dressed Or Undressed — Unenumerated, Raw",1415252
ONEYEAR,1364884,"Skins, Furs, And Pelts — Pepper",1364884
ONEYEAR,1351152,Pyrites Of Iron Or Copper Or Sulphur Ore,1351152
ONEYEAR,1295272,"Pyrites Of Iron, Copper, Or Sulphur",1295272
ONEYEAR,1175947,Woollen And Worsted Manufactures — Sorts Unenumerated,1175947
ONEYEAR,1048546,Feathers — Cured Or Salted,1048546
ONEYEAR,985462,"Skins, Furs, And Pelts — Goat, Tanned, Tawed, Or Dressed",985462
ONEYEAR,981354,Fish — Olive,981354
ONEYEAR,962654,Iron — Leather Manufacturers,962654
ONEYEAR,916008,"Petroleum, Lubricating",916008
ONEYEAR,907308,"Nitre, Cubic (Nitrate Of Soda) — Olive",907308
ONEYEAR,834458,Cotton Manufactures — Other Than Muslims,834458
ONEYEAR,798911,"Copper — Unwrought, In Ingots, Cakes, Or Slabs",798911
ONEYEAR,783906,"Flax, Dressed Or Undressed — Apples, Raw",783906
ONEYEAR,737550,Wood And Timber — Staves : Mahogany,737550
ONEYEAR,731558,"Bags And Sacks, Empty",731558
ONEYEAR,715964,Gil — Olive,715964
ONEYEAR,705211,Cheese — Manufactured,705211
ONEYEAR,693235,Fruit — Snuff : Cigars,693235
ONEYEAR,659704,"Fish — Flax, Dressed",659704
ONEYEAR,658402,"Ore, Unenumerated — Pulp Of Wood—Mechanical",658402
ONEYEAR,645623,Woollen And Worsted Manufactures — United States,645623
ONEYEAR,639278,Eggs — Ornamental,639278
ONEYEAR,613295,"Painters' Colours And Materials — Writing Or Printing, And Envelopes",613295
ONEYEAR,608112,Wood And Timber — Furniture Woods And Hardwoods : Unenumerated,608112
ONEYEAR,574224,Wood And Timber — Fir : Unenumerated,574224
ONEYEAR,555907,Oil — Pulp Of Wood—Mechanical,555907
ONEYEAR,545580,"Stationery, Other Than Paper — Stones, Marble, And Slate; Rough,Hewn Or Manufactured; Other Thanworks Of Art",545580
ONEYEAR,534299,"Rags And Other Materials For Making Paper — Woollen: Applicable To Other Uses Than Manure, Torn Up Or Not",534299
ONEYEAR,526361,Drugs — Valonia,526361
ONEYEAR,520054,Tin — Valonia,520054
ONEYEAR,517812,"Nitre, Cubic (Nitrate Of Soda) — Seed",517812
ONEYEAR,508615,"Ivory — Teeth, Elephants', Sea Cow, Sea Horse, Or Sea Morsé",508615
ONEYEAR,507377,Salt (Rock And White),507377
ONEYEAR,488512,Gum — From British India,488512
ONEYEAR,481720,Onions — Opium,481720
ONEYEAR,477743,"Eggs — Shell Fish, Oysters For Food",477743
ONEYEAR,470914,"Skins, Furs, And Pelts — Sheep, Tanned, Tawed, Or Dressed",470914
ONEYEAR,466063,"Prints, Engravings, Drawings, &C — Rags (Except Woollen) And Othermaterials For Making Paper",466063
ONEYEAR,428458,"Cordage, Cables, Ropes, And Twine Of Hemp Or Like Material",428458
ONEYEAR,415293,"Plumbago — Quicksilver, Metallic",415293
ONEYEAR,385356,Wood And Timber — Staves : Unenumerated,385356
ONEYEAR,385126,Gil — Seed,385126
ONEYEAR,380858,Cork — Pease,380858
ONEYEAR,379171,Saddlery And Harness — Salt (Rock And White),379171
ONEYEAR,368130,Fish — Seed,368130
ONEYEAR,352674,"Matches, Safety And Other Sorts — Safety",352674
ONEYEAR,351211,"Iron — Bars, Unwrought",351211
ONEYEAR,350741,"Cards, Playing — Molasses",350741
ONEYEAR,330170,Guar — Unenumerated,330170
ONEYEAR,302567,Pork,302567
ONEYEAR,294558,"Cotton Manufactures — Dye Stuffs, And Substances Used In Tanning; Unenumerated",294558
ONEYEAR,292216,"Tar — West Coast Of Africa, Foreign",292216
ONEYEAR,291437,Feathers — Tow Or Codilla Of,291437
ONEYEAR,282046,"Manganese, One Of",282046
ONEYEAR,272720,"Provisions, Unenumerated — Raos (Except Woollen) And Other Materials For Making Paper",272720
ONEYEAR,259949,"Flax, Dressed Or Undressed — Almonds",259949
ONEYEAR,257667,Linen Yarn (Including Linen Yarn Waste),257667
ONEYEAR,256865,"Buttons And Strips, Not Of Metal — L Of All Sorts",256865
ONEYEAR,248761,Beer And Ale — To United States Of America,248761
ONEYEAR,244954,Rags And Other Materials For Making Paper — Sago And Sago Flour,244954
ONEYEAR,244196,Dye Woods: Logwood — Unenumerated,244196
ONEYEAR,236303,"Sugar — Elephants, Sea Cow, And Sea Horse",236303
ONEYEAR,233770,"Animals, Living — Horses",233770
ONEYEAR,229971,Fish — Animal,229971
ONEYEAR,223970,"Coal, Cinders, &C — Fuel, Manufactured",223970
ONEYEAR,220001,Drugs — Myrobalans,220001
ONEYEAR,217520,Stones And Slates — Slate By Talc,217520
ONEYEAR,213040,Gum : Kowrie,213040
ONEYEAR,208483,Spirits — Suggades And Confectionery (Including Fruits And Vegetables Preserved In Sugar),208483
ONEYEAR,208010,"Paper — Unenumerated, And Articles Of Paper (Except Papier Maché)",208010
ONEYEAR,207939,Icr,207939
ONEYEAR,200776,Figs And Fig Cake,200776
ONEYEAR,198945,"Jute Manufactures — Rolled, Sheet, Piping Andtubing",198945
ONEYEAR,194636,Gil — Animal,194636
ONEYEAR,192783,Leather — Locust Beans,192783
ONEYEAR,192532,Oil — Whale Fisheries,192532
ONEYEAR,181219,"Honey — Horns, Tips And Pieces Of Horn, And Hooks",181219
ONEYEAR,178777,"Cordage, Twine, And Cable Yarn — Unmanufactured",178777
ONEYEAR,177280,Tar — West Coast Of Africa,177280
ONEYEAR,174711,"Oil — Fish, Train, Or Blubber : Sperm, Or Head Matter",174711
ONEYEAR,167097,Spices — Molasses,167097
ONEYEAR,163157,Gum — Dutch Possessions In India,163157
ONEYEAR,162387,Woollen Yarn,162387
ONEYEAR,158383,Stones And Slates,158383
ONEYEAR,157053,Preserved Without Sugar,157053
ONEYEAR,155410,"Sugarrefined, Or Rendered By Any Process Equal Thereto; Other Sorts, Including Candy — Molasses",155410
ONEYEAR,154924,Cloucharouc — Manufactures Of,154924
ONEYEAR,151553,Iron — Bar,151553
ONEYEAR,149508,Iron — Facture,149508
ONEYEAR,143967,Sugar (Including All Fruits And Vegetables Preserved In Sugar),143967
ONEYEAR,143621,Olje-Margarine,143621
ONEYEAR,142211,Musical Instruments — Myrobalans,142211
ONEYEAR,131628,"Cannon And Mortars, Mounted Or Accompanied With Carriages — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts, Not Enumerated, And Pistols",131628
ONEYEAR,127186,Bark,127186
ONEYEAR,124262,"Ore, Unenumerated — Eastern Coast Of Africa",124262
ONEYEAR,120139,"Arms, And Ammunition",120139
ONEYEAR,109749,"Woollen Manufactures — Of Wool Other Than Goats, Or Of Wool Mixedwith Cotton: Cloths",109749
ONEYEAR,109375,"Sugar, Unrefined : Total Of — Molasses",109375
ONEYEAR,105945,"Eggs — For Beds, In Beds Or Otherwise",105945
ONEYEAR,105908,"Fish, Fresh And Cured — Dressed And Undressed",105908
ONEYEAR,104688,"Beef — Brass, Bronze, And Metal, Bronzed And Lacquered",104688
ONEYEAR,104638,Flax — Dressed And Endressed,104638
ONEYEAR,104559,"Saddlery And Harness — Saltpetre, British Prepared",104559
ONEYEAR,99366,Hats Or Bonnets — Tow Or Codilla Of Hemp,99366
ONEYEAR,99006,"Metal — Old, Fit Only For Re-Manufacture",99006
ONEYEAR,96210,Of Felt,96210
ONEYEAR,94162,"Glass — Other Manufactures, Unenume- Rated",94162
ONEYEAR,93274,Spices — Brandy,93274
ONEYEAR,89780,Lead — Oro Of,89780
ONEYEAR,86629,Feathers — For Bends,86629
ONEYEAR,84422,Fruit — Snuff : Cavendish Or Negrohead,84422
ONEYEAR,79433,Cotton — Cinnamon,79433
ONEYEAR,76826,"Corn And Grain — Cotton Yarn, And Waste Of",76826
ONEYEAR,71558,Pork — Prints And Engravings,71558
ONEYEAR,69946,Fruit — Perfumed Spirits (Including Water Cologne),69946
ONEYEAR,69287,Hats Or Bonnets — Vegetable Substances Applicable To The Same Uses As Hemp Or Flax,69287
ONEYEAR,68997,"Arms, Ammunition, And Military Stores — Asphalt, Or Bitumen Judaicum",68997
ONEYEAR,66619,Spirits — Cavendish Or Negrolhead,66619
ONEYEAR,65005,"Wine — White, In Bottles : Sparkling : Saumur",65005
ONEYEAR,63310,Cotton — Ginger,63310
ONEYEAR,63183,"Arms, And Ammunition — Swords, Cutlasses, Matchets, Bayonets, Gun Barrels, Gun Locks, And Cannon And Mortars Of Iron, Not Mounted Nor Accompanied With Carriages",63183
ONEYEAR,61035,"Iron (Con.) — Steel, Unwrought",61035
ONEYEAR,59815,Gals,59815
ONEYEAR,58835,Dye Woods — Spanish Possessions,58835
ONEYEAR,58484,"Spirits — British And Foreign, Mixed In Bond",58484
ONEYEAR,54558,"Woollen And Worsted Manufactures — Coatings, Duffels, &C., All Wool (Contd)",54558
ONEYEAR,51127,"Dye Stuffs, And Substances Used In Tanning — Cocchineal",51127
ONEYEAR,50749,Bark — Cocaine,50749
ONEYEAR,50462,Earthen And China Ware — Salmon,50462
ONEYEAR,50264,"Copper — Old, Fit Only For Remanufacture",50264
ONEYEAR,41669,"Arms, Ammunition, And Military Stores — Swords, Cutlasses, Bayonets, Cannon And Mortars Of Iron, And Arms Of Other Sorts, Unenumerated",41669
ONEYEAR,37932,Earthen And China Ware — Cod And Ling,37932
ONEYEAR,37912,"Tobacco — Manufactured, Cavendish Or Negrohead",37912
ONEYEAR,34679,Zinc Or Spelter — To British India,34679
ONEYEAR,34660,Sugar — Complete,34660
ONEYEAR,33755,Imported In Bottles — Hook,33755
ONEYEAR,33533,Cement — India,33533
ONEYEAR,29091,Varnish — Not Containing Spirit,29091
ONEYEAR,27440,"Quicksilver, (Metallic) — In The Husk",27440
ONEYEAR,22515,"Spirits — Other Sorts, Not Sweetened",22515
ONEYEAR,21789,Rags And Other Materials For Making Paper — Safflower,21789
ONEYEAR,21741,Silk — Spun Silk Yarn,21741
ONEYEAR,20622,"Chicory — Unenumerated, Sweetened Or Mixed (Tested) : Not Tested, For Ascertaining The Strength",20622
ONEYEAR,19576,Fruit — Snuff : Other Sorts (Including Cigarettes),19576
ONEYEAR,15855,Hops — To United States Of America,15855
ONEYEAR,15471,Cotton Manufactures — Maize Or Indian Corn Meal (Including Maizena),15471
ONEYEAR,15324,Perfumery — Refined,15324
ONEYEAR,15054,Dyeing Or Tanning Stuffs — Shunach,15054
ONEYEAR,15027,Gold : „ Leaves Of — Ore Of. Or Ore Of Which The Greater Part In Value Is Gold,15027
ONEYEAR,14932,Meat — Bell,14932
ONEYEAR,14793,"Dye Woods — Earthenware, Not Being Porcelain Or Chinaware",14793
ONEYEAR,14683,"Slates — Refined, Or Rendered By Any Process Equal Thereto : In Lumps And Loaves",14683
ONEYEAR,14491,Sawn — Unenumerated,14491
ONEYEAR,14379,"Glass — Plate, Rough Or Silvered (Contd)",14379
ONEYEAR,13912,Hewn: Fir,13912
ONEYEAR,13640,"Spirits — Liqueurs, Cordials, &C., Not Tested",13640
ONEYEAR,13425,Cotton Manufactures — Piece Goods Of Other Countries,13425
ONEYEAR,12202,"Skins, Furs, And Pelts — Seal, Undressed",12202
ONEYEAR,11712,"Plate Of Silver (Free From 1St May, 1890)",11712
ONEYEAR,11541,"Arms, Ammunition, And Military Stores — To British India",11541
ONEYEAR,11291,Wine,11291
ONEYEAR,10885,Copper — To Australasia,10885
ONEYEAR,10537,"Leather Manufactures — Metal, Bell",10537
ONEYEAR,10533,Cement — To United States Of America,10533
ONEYEAR,10376,Beer And Ale — Malt And Spruce,10376
ONEYEAR,10365,"Onions — One, Unenumerated",10365
ONEYEAR,9998,Tobacco And Snuff — Other Kinds Of Manufactured Tobacco,9998
ONEYEAR,9913,Pi-Umbago,9913
ONEYEAR,9031,Cotton Manufactures — Cotton Predominating,9031
ONEYEAR,8641,"Cordage, Cables, Ropes, And Twine Of Hemp, Or Like Material — To British East Indies",8641
ONEYEAR,8147,Dye Stuffs — Myrobalans,8147
ONEYEAR,8118,Cotton Manufactures — Guth,8118
ONEYEAR,7322,"Chicory — Red, In Bottles, Sparkling : Burgundy",7322
ONEYEAR,7067,Petroleum — Pickles,7067
ONEYEAR,6181,Copper — Piece Goods Of Other Countries,6181
ONEYEAR,6074,Jute — From British East Indies,6074
ONEYEAR,5334,Cotton Manufactures — To United States,5334
ONEYEAR,5259,Linen Manufactures — To United States Of America,5259
ONEYEAR,4999,Tobacco — Moselle : Other Sorts,4999
ONEYEAR,4848,Drugs — Safflower,4848
ONEYEAR,4651,Iron — Puddled And Puddled Bars,4651
ONEYEAR,4630,Tea — Other Sorts,4630
ONEYEAR,3892,Unions,3892
ONEYEAR,3826,Iron And Steel — To United States Of America,3826
ONEYEAR,3621,Woollen And Worsted Manufactures — To British East Indies,3621
ONEYEAR,3558,Floral Hydrate,3558
ONEYEAR,3549,Beads Of All Sorts — Salted,3549
ONEYEAR,3445,Gutta Percha — Raw · Manufactures Of,3445
ONEYEAR,3334,Metals,3334
ONEYEAR,2794,Glass — To United States Of America,2794
ONEYEAR,2591,Cotton Manufactures — Piece Goods Of Mixed Materials : Cotton Predominating : To United States Of America,2591
ONEYEAR,2517,"Tobacco — Red, In Bottles : Sparkling : Other Sorts",2517
ONEYEAR,1882,"Coffee — Coffee And Chicory, Roasted Orground, Mixed In Bond",1882
ONEYEAR,1833,"Coffee — Coffee And Chicory, Roasted Orground, Mixed",1833
ONEYEAR,1827,"Arms, Ammunition, And Military Stores — Swords, Cutlasses, And Bayonets, And Armsof Other Sorts",1827
ONEYEAR,1595,"Tea — White, In Bottles: Sparkling : Burgundy",1595
ONEYEAR,1419,"Coffee — Kiln-Dried, Roasted, Or Ground, In Bond",1419
ONEYEAR,1146,Mafs And Charts,1146
ONEYEAR,1064,Chicory — Champagne : Burgundy,1064
ONEYEAR,1060,"Cards, Playing — Pickles Preserved In Vinegar",1060
ONEYEAR,1056,Silk Manufactures — To Australasia,1056
ONEYEAR,827,"Wine — White, In Bottles : Sparkling : Burgundy",827
ONEYEAR,789,"Arms, And Ammunition — Shot Of Iron",789
ONEYEAR,622,"Tobacco — White, In Bottles: Sparkling : Burgundy",622
ONEYEAR,606,"Cheese — Chicory: Other Vegetable Matter,Applicable To The Uses Of Chicoryor Coffee",606
ONEYEAR,562,"Tobacco — Manufactured, Snuff",562
ONEYEAR,547,"Chicory, Raw Or Kiln-Dried — Pickles Preserved In Vinegar",547
ONEYEAR,476,Cork — Manufactured,476
ONEYEAR,456,"Arms, And Ammunition — Shot Of Lead",456
ONEYEAR,440,Coffee — Collodien,440
ONEYEAR,428,Corn And Grain — Bear Or Bigg,428
ONEYEAR,416,Coffee — Pickles Preserved In Vinegar,416
ONEYEAR,386,Drugs — From British Possessions In Southafrica,386
ONEYEAR,378,"Tobacco — Varnish, Containing Alcohol",378
ONEYEAR,295,"Naphtha Or Methylic Alcohol, Purified",295
ONEYEAR,148,"Cheese — Imitation (Including Lard,Cheese, And All Kinds Ofartificial Cheese)",148
ONEYEAR,57,"Meat, Unenumerated — Unenumerated; Unwrought : Wrought Or Manufactured",57
ONEYEAR,0,Woollen And Worsted Manufactures — Zinc Or Spekter,0
ONEYEAR,0,Wood And Timber — Staves And Empty Casks,0
ONEYEAR,0,"Wine, British Made — Unenumerated",0
ONEYEAR,0,"Wine, British Made — Staves And Empty Casks",0
ONEYEAR,0,Value Of Articles Imported Byparcel Post,0
ONEYEAR,0,Total Value — Dyes And Dyeing Stuffs,0
ONEYEAR,0,Total Of British And Foreign Exports,0
ONEYEAR,0,Tobacco — Toxs,0
ONEYEAR,0,Sugar— — 4Th Class,0
ONEYEAR,0,Sugar— — 3Rd Class,0
ONEYEAR,0,Skins And Furs — British: Unenumerated,0
ONEYEAR,0,"Silk — Broad Stuffs, Silk Or Satin",0
ONEYEAR,0,"Silk Manufactures — Silver One, Or One Of Which The Greater Part Invalue Is Silver",0
ONEYEAR,0,"Silk Manufactures — Manufactures Of Silk, Ex Of Silk Mixed With Other Materials, Unenumerated",0
ONEYEAR,0,Silk Manufactures — In Value Is Silver,0
ONEYEAR,0,Scotland,0
ONEYEAR,0,Plated And Gift Wares,0
ONEYEAR,0,Pilchards — Unenumerated,0
ONEYEAR,0,Paper — To United States Of America,0
ONEYEAR,0,"Paper — Brown Or Waste, Or Any Other Sort Un- Enumerated",0
ONEYEAR,0,"Nuts And Kernels — Other Sorts, Unenumerated (Notfruit)",0
ONEYEAR,0,"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Other Descriptions",0
ONEYEAR,0,"Machinery And Mills Work — Steam Engines Or Parts Of Steam Engines,Locomotive",0
ONEYEAR,0,Machinery And Mills Work — Not Being Steam Engines ; Agricultural,0
ONEYEAR,0,Machinery And Mill Work — Agricultural,0
ONEYEAR,0,Linen Manufactures — To Australasia,0
ONEYEAR,0,"Linen Manufactures — Steam Engines Or Parts Of Steam Engines,Locomotive",0
ONEYEAR,0,Linen Manufactures — Lucifers And Vesta Matches,0
ONEYEAR,0,Jute — Lace And Articles Thereof,0
ONEYEAR,0,Isle Of Man,0
ONEYEAR,0,Ireland,0
ONEYEAR,0,Ink,0
ONEYEAR,0,Implements And Tools,0
ONEYEAR,0,Hail — Unenumerated,0
ONEYEAR,0,Glass — Brodery And Needlework,0
ONEYEAR,0,General Exports,0
ONEYEAR,0,"Furniture And Hardwoods — House Frames, Fittings, And Joiners' Work",0
ONEYEAR,0,"Fish, Fresh And Cured",0
ONEYEAR,0,Earthen And China Ware — United States,0
ONEYEAR,0,"Earthen And China Ware — Earthenware, Chinaware, &C. (Contd)",0
ONEYEAR,0,"Cutch — Envoys, Unenumerated",0
ONEYEAR,0,"Cotton — Drugs, Unenumerated:(Including Medicinal Preparations)",0
ONEYEAR,0,Cotton Manufactures — Red Pottery And Brown Stone Ware,0
ONEYEAR,0,"Cotton Manufactures — Earthenware, Chinaware, Parian, And Porcelain",0
ONEYEAR,0,"Cordage, Twine, And Cable Yarn — From British East Indies",0
ONEYEAR,0,"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Includingnaphtha, Paraffine, And Oil Thereof, Andpetroleum, Pitch, And Tar",0
ONEYEAR,0,"Coals, Cinders, &C — Products Of Coal, Peat, Or Shale, Including Naphtha, Paraffine, Paraffine Oil, Petroleum, Pitch, And Tar",0
ONEYEAR,0,"Cheese — Chemical Manufactures And Products, Unenumerated",0
ONEYEAR,0,"Cement — Chemical Products Or Preparations, Not Speciallyenumerated",0
ONEYEAR,0,Calcitrhous Manufactures,0
ONEYEAR,0,"Butter — Buttons And Srungs, Not Of Metal",0
ONEYEAR,0,"Butter — Buttons And Snaps, Not Of Metal",0
ONEYEAR,0,"Bark — Extracts Of Bark, Or Of Other Substances To Be Usedin Tanning Or Dyeing, Unenumerated",0
ONEYEAR,0,Bark — Extracts Of Bark Or Other Vegetable Substancesto Be Used In Tanning Or Dyeing,0
ONEYEAR,0,Bank — Extract Of Bank Or Other Vegetable Substancesto Be Used In Tanning Or Dyeing,0
ONEYEAR,0,Articles Subject To Duty — Customs Duty,0
ONEYEAR,0,"Arms, And Ammunition — Rockets And Other Combustibles For Purposesof War, Explosives, Percussion Caps, Andammunition, Unenumerated",0
ONEYEAR,0,"Arms, And Ammunition — Rockets And Other Combustibles For Purposesof War And Ammunition, Unenumerated",0
ONEYEAR,0,"Arms, And Ammunition — Art, Works Or, Other Than Pictures",0
ONEYEAR,0,"Arms, Ammunition, And Military Stores — Other Fire-Arms And Parts Of Fire-Arms",0
ONEYEAR,0,"Arms, Ammunition, And Military Stores — Ordnance Stores, Not Otherwise Described",0
ONEYEAR,0,"Arms And Ammunition — Rockets And Other Combustiblesfor The Purposes Of War, Ex-Plosives, Percussion Caps, Andammunition, Unenumerated",0
ONEYEAR,0,Apparel And Stores,0
NOVALUE,950000000,"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",950000000
NOVALUE,12755988,Silk — Manufactures,12755988
NOVALUE,1149207,Skins And Furs — Unenumerated,1149207
NOVALUE,991329,"Painters' Colours And Pigments, Unenumerated",991329
NOVALUE,652665,"Skins, Furs, And Pelts — Manufactures Of Skins And Furs",652665
NOVALUE,613492,Leather Manufactures — Unenumerated,613492
NOVALUE,559969,"Cordage, Twine, And Cable Yarn",559969
NOVALUE,531497,Chemical Manufactures And Pro-Ducts,531497
NOVALUE,379833,Painters' Colours And Pigments,379833
NOVALUE,371455,"Cotton — Hosiery, Of All Sorts",371455
NOVALUE,341176,"Flowers, Artificial",341176
NOVALUE,337959,"Plants, Shrubs, Trees, And Flower Roots",337959
NOVALUE,277450,Lace,277450
NOVALUE,266740,Musical Instruments,266740
NOVALUE,264525,"Vegetables, Raw, Unenumerated",264525
NOVALUE,155332,Silk Manufactures — Of Countries Out Of Europe,155332
NOVALUE,130463,Linen Manufactures,130463
NOVALUE,101609,Embroidery And Needlework,101609
NOVALUE,75264,"Art, Works Of, Other Than Pictures",75264
NOVALUE,69670,"Manufactures Of Hair, And Of Goats' Wool",69670
NOVALUE,43786,Precious Stones (Unset),43786
NOVALUE,29091,Varnish — Not Containing Spirit,29091
NOVALUE,14852,Plated And Gilt Ware,14852
NOVALUE,0,"Yarn, Alpaca, Mohair, And Other Sorts Une-Numerated",0
NOVALUE,0,Woollen And Worsted Manufactures — Zinc Or Spekter,0
NOVALUE,0,"Woollen And Worsted Manufactures — Small Wares, And Manufactures Of Wool Or Worsted, Unenumerated",0
NOVALUE,0,Woollen And Worsted Manufactures — Hosiery,0
NOVALUE,0,Wood And Timber — Staves And Empty Casks,0
NOVALUE,0,"Wood And Timber — House Frames, Fittings, And Joiners' Work",0
NOVALUE,0,"Wine, British Made — Unenumerated",0
NOVALUE,0,"Wine, British Made — Staves And Empty Casks",0
NOVALUE,0,Value Of Articles Imported Byparcel Post,0
NOVALUE,0,Unrefined — 1St Class,0
NOVALUE,0,Umbrellas And Parasols,0
NOVALUE,0,Toys — Not Containing Spirit,0
NOVALUE,0,Total Value — Dyes And Dyeing Stuffs,0
NOVALUE,0,Total Value - - - - -,0
NOVALUE,0,Total Of British And Foreign Produce,0
NOVALUE,0,Total Of British And Foreign Exports,0
NOVALUE,0,Tobacco — Toxs,0
NOVALUE,0,Telegraphic Wires And Apparatus,0
NOVALUE,0,Sugar— — 4Th Class,0
NOVALUE,0,Sugar— — 3Rd Class,0
NOVALUE,0,"Stationery, Other Than Paper",0
NOVALUE,0,"Spirits, British And Irish — Stationery, Other Than Paper",0
NOVALUE,0,"Specimens, Illustrative Of Naturalscience",0
NOVALUE,0,"Soap — Stationery, Other Than Paper",0
NOVALUE,0,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",0
NOVALUE,0,"Skins, Furs, And Pelts — Articles Manufactured Of Skins And Furs",0
NOVALUE,0,Skins And Furs — British: Unenumerated,0
NOVALUE,0,"Silk — Broad Stuffs, Silk Or Satin",0
NOVALUE,0,"Silk Manufactures — Velvet, Plain Or Figured",0
NOVALUE,0,Silk Manufactures — Unenumerated,0
NOVALUE,0,"Silk Manufactures — Silver One, Or One Of Which The Greater Part Invalue Is Silver",0
NOVALUE,0,Silk Manufactures — Silk And Satin,0
NOVALUE,0,Silk Manufactures — Ribbons:—Other Kinds,0
NOVALUE,0,"Silk Manufactures — Ribbons, Silk Or Satin",0
NOVALUE,0,Silk Manufactures — Ribbons Of All Kinds,0
