commodity,gbp,flags
Guar — Unenumerated,330170,oneyear noanchor
Fruit — Unenumerated : Preserved Without Sugar,324742,nounit noanchor
Stones And Slates — Slate By Sale,322156,nounit noanchor
"Plate, Gold — Silver",294156,nounit noanchor
Feathers — Tow Or Codilla Of,291437,oneyear noanchor
Pyrites Of Iron Or Copper Or Sulphur — Linen And Cotton Rag,287100,oneyear noanchor
"Manganese, One Of",282046,oneyear noanchor
"Leather — Wrought, Other Articles, Unenumerated",274778,nounit noanchor
"Flax, Dressed Or Undressed — Almonds",259949,oneyear noanchor
Linen Yarn (Including Linen Yarn Waste),257667,oneyear noanchor
"Buttons And Strips, Not Of Metal — L Of All Sorts",256865,oneyear noanchor
Dye Woods: Logwood — Unenumerated,244196,oneyear noanchor
Rosin — From British East Indies,239790,nounit noanchor
"Linen Manufactures — Checked, Printed, Or Dyed, And Damasks And Diapers",227231,nounit noanchor
"Eggs — Shell Fish, Oysters For Food",226650,oneyear nooverlap
"Animals, Living — From British North America",224833,nounit noanchor
Drugs — Myrobalans,220001,oneyear noanchor
"Onions — One, Unenumerated",218841,nounit noanchor
Gum : Kowrie,213040,oneyear nooverlap
Icr,208236,oneyear noanchor
Figs And Fig Cake,200776,oneyear nooverlap
Metal — Mica And Talc,196710,nounit noanchor
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces,Or Guns Of Any Other Sort, Not Enumerated,And Pistols",196550,nounit noanchor
Cotton Manufactures — Stockings And Socks,196029,nounit noanchor
Oil — Whale Fisheries,192532,oneyear noanchor
Spirits — To British East Indies,184749,nounit noanchor
"Cordage, Twine, And Cable Yarn — Unmanufactured",178777,oneyear noanchor
"Wood And Timber — Rough, Hewn, Sawn, Or Split",173038,nounit noanchor
"Arms, Ammunition, And Military Stores — To Australasia",172542,nounit noanchor
"Fish, Fresh And Cured — Cod And Ling",171574,nounit noanchor
Spices — Molasses,167097,oneyear noanchor
"Spirits — Various Sorts, Mixed In Bond",162991,nounit noanchor
Woollen Yarn,162387,oneyear underanchor
"Paper — Pasteboard, Millboard, &C. (Including Playing Cards)",162084,nounit noanchor
Preserved Without Sugar,157053,oneyear nooverlap
Cloucharouc — Manufactures Of,154924,oneyear noanchor
Fish (Including Turtle) — Other Sorts Of Shell Fishst,143542,nounit noanchor
Cotton — Ginger,134071,oneyear noanchor
"Metal — Gold (Other Than Iron Or Copper), Fit Only For Re-Manufacture",133097,oneyear noanchor
"Cannon And Mortars, Mounted Or Accompanied With Carriages — Muskets, Rifles, Carbines, Fowling Pieces, Or Guns Of Any Other Sorts, Not Enumerated, And Pistols",131628,oneyear noanchor
"Petroleum — Pickles And Vegetables, Preserved Insalt Or Vinegar",129878,nounit noanchor
"Arms, And Ammunition",120139,oneyear noanchor
Telegraphic Wires And Apparatus — Other Kinds Of Manufactured Tobacco,107165,nounit noanchor
