ratio,article,anchor_group,filed_under,unit,year,volume,engine,block_sum,t1,n_rows,seq_start,seq_end
0.99818,"flax, dressed or undressed",,FARINACEOUS SUBSTANCES,TON,1893,as_1893,country_obs_inf,62107,62220,7,1207,1213
1.00103,hay,,HATS OR BONNETS,TON,1892,as_1892,country_obs_inf,61300,61237,10,1415,1425
1.0,gutta percha,,GUM,CWT,1891,as_1891,country_obs_inf,60911,60911,12,1398,1410
0.99711,"platinum, wrought or unwrought",,OIL,OZSTRO,1895,as_1899,country_obs_inf,60354,60529,4,17294,17307
1.0,pitch,,PAPER,CWT,1879,as_1879,country_obs_inf,57188,57188,2,977,978
0.98472,"platinum, wrought or unwrought",,OIL,OZSTRO,1896,as_1899,country_obs_inf,55342,56201,4,17295,17308
1.0,gutta percha,,GUM,CWT,1895,as_1895,country_obs_inf,48077,48077,8,1442,1450
1.0,gutta percha,,GUM,CTS,1889,as_1889,country_obs_inf,47832,47832,7,1235,1242
1.0,"manganese, ore of",,MALT,TON,1885,as_1885,country_obs_inf,47581,47581,12,1603,1615
0.99234,gutta percha,,GUM,CWT,1894,as_1898,country_obs_inf,46388,46746,17,8623,8712
0.98041,"brass, bronze, and metal bronzed or lacquered, manufactures of",Metals and Ores,BEEF,CWT,1900,tn_1901,country_obs_inf,45049,45949,8,12698,12738
1.0,"pictures and drawings, by hand",,PAPER,NUM,1887,as_1887,country_obs_inf,44855,44855,13,2003,2016
1.0,"pictures and drawings, by hand",,PAPER,NUM,1889,as_1889,country_obs_inf,43935,43935,11,2301,2312
0.99792,gutta percha,,GUM,CWT,1896,as_1898,country_obs_inf,43714,43805,15,8625,8714
1.00023,wax,,TIN,CWT,1873,as_1873,country_obs_inf,42699,42689,13,1549,1561
0.99747,gutta percha,,GUM,CTS,1897,as_1898,country_obs_inf,41337,41442,17,8626,8715
1.01262,galls,,"FLOWERS, ARTIFICIAL",CWT,1890,as_1890,country_obs_inf,40105,39605,9,1208,1217
1.00758,"pictures and drawings, by hand",,"PERFUMERY, AND ARTICLES USED IN THE MANUFACTURE THEREOF",NUM,1886,as_1886,country_obs_inf,39878,39578,10,2132,2142
1.0,galls,,FRUIT,CWT,1883,as_1883,country_obs_inf,39552,39552,8,981,988
