pair_id	fiscal_year	volume	md_path	family	stmt_no	l_idx	l_offset	l_rows	l_inherited	r_idx	r_offset	r_rows	r_inherited	row_delta
29	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	318	1396799	50	0	319	1401475	44	0	-6
30	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	320	1407412	49	0	321	1411926	16	0	-33
31	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	322	1416164	50	0	323	1420419	48	0	-2
32	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	324	1426444	38	0	325	1430507	15	0	-23
33	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	326	1434251	46	0	327	1438585	46	0	0
34	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	328	1444562	44	0	329	1448747	43	0	-1
35	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	330	1454662	49	0	331	1459594	15	0	-34
36	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	332	1463812	48	0	333	1467640	44	0	-4
37	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	334	1473923	47	0	335	1478623	45	0	-2
38	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	336	1485036	45	0	337	1489303	43	0	-2
39	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	338	1495573	52	0	339	1500001	44	0	-8
40	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	340	1505857	52	0	341	1511143	50	0	-2
41	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	342	1518674	44	0	343	1523157	13	0	-31
42	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	344	1527014	44	0	345	1531449	45	0	1
43	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	346	1537757	53	0	347	1542540	42	0	-11
44	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	348	1548193	41	0	349	1552286	39	0	-2
45	1900	statcan_nibi_w2_1900	/home/jic823/sessional_papers/statcan_trade/ocr/statcan_nibi_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2/statcan_CS4-4_1900_w2.md	imports_37	37	350	1558038	54	0	351	1562728	48	0	-6
