commodity,gbp,destination_score,n_cells,unit,top_origins
"Arms And Ammunition — Muskets, Rifles, Carbines, Fowling-Pieces,Or Guns Of Any Other Sort, Not Enumerated,And Pistols",86489,0.692,10,?,Other Countries | West Africa (Foreign | Hong Kong | East Coast Of Africa (Native States | Danish West India Islands
Umbrellas And Parasols,0,0.69,76,?,China | Brazil | British Possessions In South Africa | Japan | Straits Settlements
Lucifer And Vesta Matches,0,0.683,77,?,Channel Islands | Bengal And Burmah | Other Countries | Straits Settlements | Hong Kong
Farinaceous Substances And Manufactures Thereof,4984335,0.68,153,?,Japan | United States Of America | Brazil | Other Foreign Countries | Natal
Cacosthene,2667385,0.677,24,?,Russia | Germany | Holland | Belgium | France
Sugar,29744645,0.674,80,?,Chile | United States Of America | Peru | Other Foreign Countries | Australasia
"Arms, Ammunition, And Military Stores — Muskets, Rifles And Fowling Pieces",290726,0.671,15,?,France | Western Africa (Foreign | Brazil | Western Africa (British | British Possessions In South Africa
Sugar— — 3Rd Class,0,0.663,23,?,Holland | Belgium | France | Egypt | Java
Sugar— — 4Th Class,0,0.663,23,?,Holland | Belgium | France | Egypt | Java
"Cotton Manufactures — Piece Goods Of Mixed Materials, Cotton Predominating",3557159,0.655,142,?,Holland | Belgium | United States Of America (Atlantic) | Brazil | Argentine Republic
"Arms, Ammunition, And Military Stores — Fowling Pieces",864140,0.654,70,?,Western Africa (Foreign | United States Of America (Atlantic) | United States Of America (Pacific) | Canada | Other Countries
"Arms, Ammunition, And Military Stores — Rifles",604428,0.653,52,Number,British Possessions In South Africa | Straits Settlements | Other Countries | Bengal And Burmah | Australia
"Wine, British Made — Unenumerated",0,0.653,15,?,Holland | Belgium | France | Spain | Western Africa (Foreign
Corn And Grain — Myrobalans,200914,0.648,4,Cwt,Bombay | Madras | Bengal And Burmah | Other Countries
Musical Instruments — Myrobalans,142211,0.648,4,?,Bombay | Madras | Bengal And Burmah | Other Countries
Sugar — Total Unrefined Of All Kinds—(Contd),20754861,0.647,31,?,Bombay | Madras | Bengal And Burmah | Straits Settlements | British West India Islands
Bristles — From British East Indies,68602,0.643,4,?,Bombay | Bengal | Hong Kong | Other British Possessions
Ice — Indigo,19602189,0.634,96,Cwt,Central America | Bombay | Madras | Bengal And Burmah | Other Countries
Myrabolams,2160705,0.628,40,Cwt,Madras | Other Countries | Bombay | Bengal And Burmah | Bengal And Be Mah
Saddlery And Harness,0,0.627,132,?,France | Brazil | British Possessions In South Africa | Belgium | Argentine Republic
"Arms, Ammunition, And Military Stores — Ordnance Stores And Ammunition, Unenumerated",0,0.617,130,?,Other Countries | United States Of America (Atlantic) | United States Of America (Pacific) | Chili | Brazil
Cotton — From British East Indies,69314,0.615,4,?,Australasia | Bombay | Other British East Indian Possessions | Other British Possessions
"Hides, Raw, And Pieces Thereof",1938802,0.611,75,?,Aden | British West India Islands | Other British Possessions | Australasia | China
Linen And Jute Yarn — Jute Yarn,489730,0.611,17,?,United States Of America (Atlantic) | United States Of America (Pacific) | Other Countries | United States Of America | Holland
"Hides, Raw, And Pieces Thereof — British Possessions In South             Africa",309471,0.608,11,?,Cape Of Good Hope | Natal | British East Indies | Australasia | Victoria
"Spices — Unrefined : Beetroot : Cane, And Other Sorts",6533615,0.599,28,Cwt,Germany | Holland | Belgium | France | Egypt
Apparel And Stores,0,0.599,16,?,Belgium | France | United States Of America (Atlantic) | United States Of America (Pacific) | Chili
Dye Woods — From British East Indies,23245,0.59,4,?,Madras | British West India Islands | British Honduras | Other British Possessions
"Coals, Cinders, &C — Coals",22826913,0.589,92,Ton,Denmark | Germany | Holland | Belgium | France
"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",14761872,0.582,211,?,United States Of America | Chile | Argentine Republic | Other Foreign Countries | Cape Of Good Hope
Beads Of All Sorts — Fresh,1799581,0.582,19,Cwt,New South Wales | Queensland | New Zealand | Australasia | Other British Possessions
"Cotton — Piece Goods Of Other Countries, Other Than Muslins",902765,0.582,17,?,British India | Other Countries | China | Aden | East Africa (Native States
Total Value - - - - -,0,0.58,52,?,Direct | Received From Grimsby | Received From Hull | Hull | Received From Goole
"Fish — Train, Or Blubber : Sperm, Or Head Matter",74479,0.579,10,Tun,Norway | Portugal | Azores | United States Of America | Peru
Rough And In The Husk,82842,0.561,8,Quarter,Madras | Bengal And Burmah | Other Countries | Straits Settlements | Mauritius
Telegraphic Wires And Apparatus — Other Kinds Of Manufactured Tobacco,107165,0.56,19,?,British Possessions In South Africa | Other Countries | Bombay | Bengal And Burmah | Australia
Total,50000000,0.559,9,?,Direct | Received From Hull | London | Received From Grimsby | Hull
Unrefined — 2Nd Class,354376,0.554,50,Cwt,Germany | Holland | Belgium | France | Egypt
Sugar — Unrefined; Beetroot : Total Of,35690024,0.551,66,Cwt,Germany | Holland | Belgium | France | Portugal
Apparel And Slops,0,0.547,259,?,Belgium | France | Brazil | United States Of America | United States Of America (Atlantic)
"Spices — Cane, And Other Sorts : Total Of",13483640,0.544,31,Cwt,Denmark | Germany | Belgium | Spain | Java
"Sugar — Unrefined : Cane, And Other Sorts",93019270,0.539,344,Cwt,Germany | Holland | France | Egypt | Java
"Skins, Furs, And Pelts — Pepper",1364884,0.536,14,Lb,Holland | France | East Coast Of Africa | Sierra Leone | Niger Protectorate
"Glass — Ore Of, Or Ore Of Which The Greater Part In Value Is Gold",1029710,0.535,76,Ton,Cape Of Good Hope | British East Indies | Australasia | West Australia | Victoria
"Wood And Timber — Unenumerated (Not Being Ash,     Beech, Birch, Elm, Oak, Or     Wainscot)",5610655,0.533,286,Ton,Russia (Northern Ports) | Russia (Southern Ports) | Germany | Holland | Belgium
Wool,216440825,0.519,340,?,Peru | Persia | Uruguay | Argentine Republic | Other Foreign Countries
Sugar — Of All Kinds,20876039,0.519,26,Cwt,Holland | Belgium | France | Egypt | Java
Cement,6024992,0.515,223,?,Holland | France | Sweden And Norway | Brazil | United States Of America
