commodity,year,unit,drop_country,country_qty,excess,match,ratio_now,ratio_after,n_countries,gbp_per_year
Woollen Yarn — For Fancy Purposes,1894,Lb,France,2716,3106,0.12556,1.00255,1.00032,7,859241
Wood And Timber — Mahogany,1885,Ton,Hayti And St. Domingo,718,737,0.02578,1.01315,1.00034,9,850398
Wood And Timber — Mahogany,1893,Ton,The Gold Coast Colony,5922,5922,0.0,1.09136,1.0,15,850398
Wood And Timber — Mahogany,1878,Ton,Hayti And St Domingo,1251,1251,0.0,1.02829,1.0,7,850398
Beans (Not Kidney Or French),1895,Cwt,Cyprus,351160,353020,0.00527,1.08547,1.00045,18,846757
Beans (Not Kidney Or French),1896,Cwt,Cyprus,367700,369266,0.00424,1.119,1.0005,15,846757
Feathers And Down — Ornamental,1891,Lb,Other British Possessions,866,900,0.03778,1.00126,1.00005,15,845696
Feathers And Down — Ornamental,1895,Lb,Other British Possessions,2532,2422,0.04344,1.00244,0.99989,22,845696
Wool — Goats' Wool Or Hair,1893,Lb,France,66640,69958,0.04743,1.00356,1.00017,15,832434
Wool — Goats' Wool Or Hair,1895,Lb,Holland,47000,44878,0.04515,1.00174,0.99992,17,832434
Geldings,1895,Number,Other Foreign Countries,71,72,0.01389,1.00314,1.00004,15,811468
Musical Instruments,1895,Value,Italy,3847,3847,0.0,1.00386,1.0,9,805440
"Silk — Knubs Or Husks Of Silk, And Waste",1894,Cwt,Japan,633,643,0.01555,1.011,1.00017,13,786719
"Lac, Seed, Shell, Stick, And Dye",1884,Cwt,British India,112479,112479,0.0,2.0,1.0,7,742562
"Lac, Seed, Shell, Stick, And Dye",1893,Cwt,Other British East Indian Possessions,851,795,0.0658,1.00726,0.99949,10,742562
Watches,1894,Value,Holland,1987,1847,0.07046,1.00214,0.99984,5,731808
Watches,1895,Value,United States Of America,6745,7543,0.10579,1.00911,1.00096,25,731808
Bristles,1895,Lb,Japan,4040,4040,0.0,1.00102,1.0,12,727593
Bristles,1896,Lb,Japan,10730,10700,0.0028,1.00264,0.99999,12,727593
Hay,1895,Ton,Other Foreign Countries,573,515,0.10122,1.00433,0.99951,14,722391
Hay,1896,Ton,Russia,707,714,0.0098,1.00661,1.00006,15,722391
Vinegar,1895,Gallon,Germany,8314,8314,0.0,1.03778,1.0,5,708426
Tow,1893,Ton,China,105,110,0.04545,1.01095,1.0005,21,705553
Tow,1894,Ton,Bengal,647,643,0.00618,1.06579,0.99959,22,705553
"Drugs — Bark, Peruvian",1893,Cwt,Other British East Indian Possessions,285,265,0.07018,1.00344,0.99974,15,687530
Painters' Colours And Pigments,1887,Value,Hong Kong,1057,960,0.09177,1.00112,0.99989,15,676910
Cutch And Gambier,1893,Ton,Germany,85,94,0.09574,1.00377,1.00036,12,673995
Cutch And Gambier,1894,Ton,United States Of America,66,65,0.01515,1.00237,0.99996,11,673995
Cutch And Gambier,1895,Ton,Bombay,50,52,0.03846,1.00204,1.00008,12,673995
Yarn,1891,Lb,Bengal,50673,50673,0.0,1.00537,1.0,7,625959
Yarn,1892,Lb,Bengal,103360,102960,0.00387,1.01141,0.99996,6,625959
Seeds — Clover And Grass,1893,Cwt,Denmark,1601,1800,0.11056,1.0054,1.0006,12,615546
Nuts And Kernels — For Expressing Oil Therefrom,1892,Ton,Germany,94,87,0.07447,1.00157,0.99987,25,604040
Nuts And Kernels — For Expressing Oil Therefrom,1897,Ton,Gambia,883,848,0.03964,1.01564,0.99935,36,604040
Parcel Post (Goods Free Of Duty),1900,Number Of Parcels,New South Wales,7437,7579,0.01874,1.00767,1.00014,45,600682
Wood And Timber — Staves,1884,Load,Other Countries,217,135,0.37788,1.001,0.99939,8,598588
Wood And Timber — Staves,1891,Load,France,916,900,0.01747,1.00692,0.99988,11,598588
Bottles,1895,Gross,Other Foreign Countries,938,838,0.10661,1.00112,0.99987,9,587243
Bottles,1896,Gross,Italy,1380,1350,0.02174,1.00158,0.99996,9,587243
Spirits — Rum,1884,Proof Gallon,Peru,32491,27668,0.14844,1.00375,0.99935,18,578788
Manures — Guano,1895,Ton,Australasia,283,283,0.0,1.00568,1.0,14,538963
Manures — Guano,1900,Ton,Germany,8,40,0.8,1.00119,1.00095,12,538963
Leather Manufactures — Boots And Shoes,1892,Dozen Pairs,Canada,296,197,0.33446,1.00166,0.99916,8,480877
Spices — Pepper,1890,Lb,Hong Kong,46920,50000,0.0616,1.00168,1.0001,12,480172
Mares,1894,Number,Other British Possessions,6,6,0.0,1.00116,1.0,16,479808
Mares,1895,Number,Other British Possessions,11,11,0.0,1.00107,1.0,18,479808
Linen — Yarn,1884,Lb,France,1553300,1553300,0.0,1.3322,1.0,3,477973
"Oil — Chemical, Essential, Or Perfumed",1894,Lb,Australasia,5373,6000,0.1045,1.00414,1.00043,17,455284
Calves,1894,Number,Other Foreign Countries,2,2,0.0,1.01504,1.0,5,448675
Calves,1895,Number,Other Foreign Countries,4,4,0.0,1.01149,1.0,5,448675
"Skins, Furs, And Pelts — Seal",1893,Number,Uruguay,15209,15866,0.04141,1.01116,1.00046,23,446097
"Skins, Furs, And Pelts — Seal",1894,Number,Other Foreign Countries,3707,3507,0.05395,1.005,0.99972,22,446097
Gold — Leaves Of,1895,Number,United States Of America,85000,85000,0.0,1.00129,1.0,5,442302
"Buttons And Studs, Not Of Metal",1894,Gross,United States Of America,26149,26149,0.0,1.00816,1.0,6,432619
Zinc — Ore Of,1893,Ton,Holland,284,284,0.0,1.00811,1.0,15,420314
Zinc — Ore Of,1894,Ton,Tunis,1148,1148,0.0,1.02517,1.0,14,420314
Zinc — Ore Of,1896,Ton,Tunis,625,616,0.0144,1.02922,0.99957,17,420314
Zinc — Ore Of,1900,Ton,New Zealand,30,48,0.375,1.00114,1.00043,16,420314
Poultry And Game,1892,Value,British East Indies,12015,11914,0.00841,1.02042,0.99983,12,394840
"Farinaceous Substances — Sago, Sago Meal And Flour",1900,Cwt,Hong Kong,6935,7019,0.01197,1.0157,1.00019,6,389232
Opium,1897,Lb,Bengal,900,1000,0.1,1.00226,1.00023,13,385382
Brimstone,1883,Cwt,Algeria,12007,12464,0.03667,1.0142,1.00052,9,382309
"Pictures And Drawings, By Hand",1886,Number,Other Foreign Countries,314,300,0.04459,1.00758,0.99965,10,378460
"Pictures And Drawings, By Hand",1892,Number,Other British Possessions,32,60,0.46667,1.00205,1.00096,11,378460
"Pictures And Drawings, By Hand",1896,Number,Australasia,89,109,0.18349,1.00296,1.00054,12,378460
Oil — Turpentine,1886,Cwt,France,3080,3000,0.02597,1.01029,0.99973,4,376755
Oil — Turpentine,1895,Cwt,France,620,630,0.01587,1.00125,1.00002,5,376755
Oil — Turpentine,1896,Cwt,Other Foreign Countries,1860,1810,0.02688,1.00363,0.9999,5,376755
Spices — Unenumerated,1877,Lb,East Coast Of Africa Native States,600521,600521,0.0,1.06011,1.0,10,367031
Phosphate Of Lime And Rock,1895,Ton,Holland,4702,4800,0.02042,1.01335,1.00027,25,358345
Phosphate Of Lime And Rock,1898,Ton,Argentine Republic,1241,1532,0.18995,1.00463,1.00088,19,358345
Sponge,1895,Lb,Italy,3668,3668,0.0,1.00285,1.0,11,340296
Sponge,1896,Lb,Other Foreign Countries,7394,6811,0.07885,1.00441,0.99962,13,340296
Part Wrought,1893,Ton,United States Of America,4241,4241,0.0,2.0,1.0,7,331881
Part Wrought,1894,Ton,Holland,56,56,0.0,1.03195,1.0,6,331881
Kowrie,1893,Cwt,New South Wales,1249,1249,0.0,1.01618,1.0,6,330695
"Meat, Salted Or Fresh",1893,Cwt,Germany,674,671,0.00445,1.00378,0.99998,14,309747
Caoutchouc — Manufactures Of,1872,Lb,Canada,17795,17795,0.0,1.02452,1.0,5,305193
Oil — Coco-Nut,1894,Cwt,Other Foreign Countries,320,500,0.36,1.00167,1.0006,12,287846
Dye Woods — Logwood,1897,Ton,France,44,60,0.26667,1.00153,1.00041,10,279662
Dye Woods — Logwood,1883,Ton,Holland,386,386,0.0,1.00745,1.0,9,279662
Fruit — Almonds,1891,Cwt,Other British Possessions,237,200,0.15612,1.00172,0.99968,12,267516
Fruit — Almonds,1893,Cwt,Austrian Territories,183,192,0.04688,1.00146,1.00007,11,267516
Fruit — Almonds,1895,Cwt,Austrian Territories,318,318,0.0,1.00263,1.0,11,267516
Fruit — Almonds,1896,Cwt,Austrian Territories,69,159,0.56604,1.00107,1.00061,12,267516
Fruit — Almonds,1899,Cwt,Other Foreign Countries,281,300,0.06333,1.00205,1.00013,11,267516
Saltpetre,1895,Cwt,Other Foreign Countries,250,250,0.0,1.00109,1.0,7,265287
Wool — Goats' Wool Or Hair: Mohair,1900,Lb,Other British Possessions,42082,39991,0.04969,1.00222,0.99988,9,245487
Oleo-Margarine,1895,Cwt,Other Foreign Countries,120,120,0.0,1.00116,1.0,8,221063
Oleo-Margarine,1896,Cwt,Other British Possessions,1215,1320,0.07955,1.01096,1.00087,9,221063
"Meal, Unenumerated",1895,Cwt,Canada,490,510,0.03922,1.00152,1.00006,18,214334
