gold_commodity,year,class,detail,pipe_name
Ore Unenumerated,1876,value-error,3/11 countries match,Ore
Ore Unenumerated,1881,value-error,4/9 countries match,Ore
Ore Unenumerated,1886,value-error,3/19 countries match,Ore
Ore Unenumerated,1891,value-error,1/17 countries match,Ore
Ore Unenumerated,1896,value-error,1/18 countries match,Ore
Other Fresh Fish,1896,value-error,5/9 countries match,Other sorts of Fresh Fish
Other Nuts used as Fruit,1896,value-error,0/0 countries match,"Nuts, used as Fruit"
Oxen and Bulls,1896,value-error,0/5 countries match,Oxen and Bulls
Oysters Fresh,1896,value-error,4/5 countries match,"Fresh (not of British taking) : Shell fish, Oysters"
Palm Oil,1876,attribution-shift,6/6 values present but mislabeled,Palm
Palm Oil,1881,value-error,3/4 countries match,Palm
Palm Oil,1886,value-error,4/12 countries match,Palm
Palm Oil,1891,value-error,3/14 countries match,Palm
Palm Oil,1896,value-error,0/13 countries match,Palm
Paper Making Materials Esparto and other Vegetable Fibres,1896,value-error,1/6 countries match,Esparto and other Vegetable Fibres
Paper Making Materials Linen and Cotton Rags,1896,value-error,8/10 countries match,Linen and Cotton Rags
Paper Making Materials Other Paper Making Materials,1896,value-error,0/10 countries match,Of Other Materials
Paper Millboard and Pasteboard,1886,value-error,7/9 countries match,Millboard and Pasteboard
Paper Printed or Coated,1896,value-error,7/8 countries match,Printed or Coated
Paper Strawboard or Millboard,1896,value-error,0/10 countries match,Strawboard and Millboard
Paper for Printing or Writing,1891,value-error,11/13 countries match,For Printing or Writing
Peas,1891,value-error,9/14 countries match,Peas
Peas,1896,value-error,2/9 countries match,Peas
Pepper (Spice),1876,attribution-shift,5/6 values present but mislabeled,Pepper
Pepper (Spice),1891,value-error,4/12 countries match,Pepper
Pepper (Spice),1896,value-error,4/15 countries match,Pepper
Perfumery and Articles used in the Manufacture thereof except Perfumed Spirits,1896,value-error,0/11 countries match,"PERFUMERY, and Articles used in the Manufacture thereof, except Perfumed Spirits None"
Petroleum,1886,value-error,7/8 countries match,PETROLEUM None
Petroleum Unrefined,1876,value-error,1/2 countries match,Unrefined
Petroleum Unrefined,1881,value-error,1/2 countries match,Unrefined
Phosphate of Lime and Rock,1886,value-error,8/11 countries match,Phosphate of Lime and Rock
Phosphate of Lime and Rock,1896,value-error,0/10 countries match,Phosphate of Lime and Rock
Pickles and Vegetables Preserved in Salt or Vinegar,1896,value-error,6/8 countries match,"PICKLES and VEGETABLES, preserved in Salt or Vinegar None"
Pitch,1886,value-error,6/8 countries match,PITCH None
Pitch,1896,value-error,7/8 countries match,PITCH None
Plate of Silver gilt or ungilt,1896,value-error,5/7 countries match,"Of Silver, gilt or ungilt"
Platina Wrought and Unwrought,1891,value-error,4/5 countries match,"PLATINA, Wrought and Unwrought None"
Playing Cards,1876,attribution-shift,5/6 values present but mislabeled,"CARDS, PLAYING None"
Playing Cards,1896,value-error,0/7 countries match,"CARDS, PLAYING None"
Plumbago,1886,value-error,4/5 countries match,PLUMBAGO None
Plumbago,1891,value-error,4/7 countries match,PLUMBAGO None
Plumbago,1896,value-error,0/6 countries match,PLUMBAGO None
Plums Dried or Preserved,1891,value-error,4/5 countries match,"Plums, Dried or Preserved"
Plums Dried or Preserved,1896,value-error,0/6 countries match,"Plums, Dried or Preserved"
Plums Raw,1896,value-error,1/7 countries match,"Plums, Raw"
Pork Fresh,1876,value-error,2/4 countries match,Fresh (not of British taking)
Pork Fresh,1881,value-error,2/4 countries match,Fresh (not of British taking)
Pork Fresh,1886,value-error,0/5 countries match,Fresh (not of British taking)
Pork Fresh,1891,value-error,0/6 countries match,Fresh (not of British taking)
Pork Fresh,1896,value-error,0/7 countries match,Fresh (not of British taking)
Pork Salted not Hams,1876,value-error,2/5 countries match,Salted
Pork Salted not Hams,1881,value-error,3/5 countries match,Salted
Pork Salted not Hams,1886,value-error,4/7 countries match,Salted
Pork Salted not Hams,1891,value-error,4/7 countries match,Salted
Pork Salted not Hams,1896,value-error,0/8 countries match,Salted
Prunes,1896,value-error,0/5 countries match,Prunes
Quicksilver,1886,value-error,5/6 countries match,QUICKSILVER (Metallic) None
Rabbits,1886,value-error,4/5 countries match,RABBITS None
Rabbits,1896,value-error,3/7 countries match,RABBITS None
Rags Woollen applicable to other uses than Manure torn up or not,1876,value-error,6/7 countries match,"RAGS WOOLLEN: Applicable to other uses than Manure, torn up or not None"
Raisins,1891,value-error,8/9 countries match,Raisins
Raisins,1896,value-error,0/6 countries match,Raisins
Rice,1881,value-error,6/8 countries match,RICE None
Rice,1886,attribution-shift,17/17 values present but mislabeled,RICE None
Rice,1891,value-error,12/19 countries match,RICE None
Rice,1896,value-error,12/15 countries match,RICE None
Rice not in the Husk,1876,value-error,6/8 countries match,In the Husk
Rifles Carbines Muskets and Fowling Pieces,1896,value-error,0/0 countries match,"Muskets, Rifles, Carbines,     Fowling Pieces, or Guns of     any other sorts not enumer-     ated, and parts thereof, and     Pistols"
Rye,1896,value-error,1/6 countries match,Rye
Safflower,1896,attribution-shift,2/2 values present but mislabeled,Safflower
Sago and Sago Flour,1876,value-error,2/3 countries match,SAGO and SAGO FLOUR None
Sago and Sago Flour,1886,value-error,2/3 countries match,SAGO and SAGO FLOUR None
Sago and Sago Flour,1891,value-error,3/5 countries match,SAGO and SAGO FLOUR None
Saltpetre,1876,value-error,4/6 countries match,SALTPETRE (NITRATE OF POTASH) None
Saltpetre,1886,value-error,4/5 countries match,SALTPETRE (NITRATE OF POTASH) None
Saltpetre,1891,value-error,4/6 countries match,SALTPETRE (NITRATE OF POTASH) None
Saltpetre,1896,value-error,5/7 countries match,SALTPETRE (NITRATE OF POTASH) None
Sardines Cured or Salted,1896,value-error,2/10 countries match,"Cured, Sardines"
Sauces or Condiments Unenumerated,1896,value-error,9/12 countries match,"SAUCES or CONDIMENTS, Unenumerated None"
Seeds Garden unenumerated,1896,value-error,7/10 countries match,"Garden, Unenumerated"
Seeds Rape,1876,value-error,0/6 countries match,Seeds None
Seeds Rape,1886,value-error,0/10 countries match,Seeds None
Seeds Rape,1891,value-error,0/12 countries match,Seeds None
Seeds Rape,1896,value-error,0/10 countries match,Seeds None
Seeds Tares and Lentils,1886,value-error,6/7 countries match,Tares and Lentils
Seeds Tares and Lentils,1896,value-error,8/10 countries match,Tares and Lentils
Seeds Unenumerated Other Sorts,1881,value-error,0/13 countries match,Seeds None
Seeds Unenumerated Other Sorts,1886,value-error,11/16 countries match,Seeds None
Seeds Unenumerated Other Sorts,1891,value-error,9/16 countries match,Seeds None
Seeds Unenumerated Other Sorts,1896,value-error,0/15 countries match,Seeds None
Seeds Unenumerated for expressing Oil therefrom,1896,value-error,10/16 countries match,"Unenumerated, for expressing oil therefrom"
Sheep and Lamb Skins,1876,value-error,0/12 countries match,Sheep and Lambs
Sheep and Lambs,1876,value-error,2/8 countries match,Sheep and Lambs
Sheep and Lambs,1881,value-error,4/8 countries match,Sheep and Lambs
Sheep and Lambs,1886,value-error,4/11 countries match,Sheep and Lambs
Sheep and Lambs,1891,value-error,3/7 countries match,Sheep and Lambs
Sheep and Lambs,1896,value-error,0/8 countries match,Sheep and Lambs
Shell Fish Other sorts,1896,value-error,4/7 countries match,"Shell fish, all sorts"
Shells of all kinds,1896,value-error,0/0 countries match,SHELLS of all kinds None
Shumach,1886,value-error,4/5 countries match,SHUMACH
Shumach,1891,value-error,7/8 countries match,SHUMACH
Silk Knobs or Husks and Waste,1876,value-error,0/5 countries match,In the Husk
Silk Raw,1886,value-error,6/9 countries match,"SILK, Raw"
Silk Thrown dyed or not,1896,value-error,0/4 countries match,"Thrown, Dyed, or not Dyed"
Silver Ore or Ore of which the greater part in value is Silver,1896,value-error,0/0 countries match,"SILVER, Ore of, or Ore of which the greater part in Value is Silver None"
Skins Furs Pelts Goat undressed,1896,value-error,0/27 countries match,"Skins, Goat, undressed"
Skins Furs Pelts Seal,1896,value-error,14/16 countries match,"Furs, Seal Skins"
Skins Furs Pelts Sheep Undressed,1891,value-error,0/25 countries match,Unenumerated
Skins Furs Pelts Unenumerated Dressed not Leather,1891,value-error,0/5 countries match,Unenumerated
Skins Furs Pelts Unenumerated Other Sorts Undressed,1891,value-error,0/9 countries match,Unenumerated
Skins Furs and Pelts Goat and Kid Tanned Tawed or Dressed,1876,value-error,4/6 countries match,"Goat and Kid, Tanned, Tawed, or Dressed"
Skins Furs and Pelts Sheep and Lamb Tanned Tawed or Dressed,1876,attribution-shift,5/6 values present but mislabeled,"Sheep and Lamb, Tanned, Tawed, or Dressed"
Slates,1896,value-error,1/6 countries match,SLATES None
Spices Cinnamon,1876,value-error,1/2 countries match,Cinnamon
Spices Cinnamon,1886,value-error,0/3 countries match,Cinnamon
Spices Cinnamon,1896,value-error,1/5 countries match,Cinnamon
Spirits Brandy,1876,value-error,0/4 countries match,Spirits None
Spirits Brandy,1881,value-error,0/4 countries match,Spirits None
Spirits Geneva,1896,value-error,0/4 countries match,Geneva
Spirits Rum,1876,value-error,0/8 countries match,Spirits None
Spirits Rum,1881,value-error,0/4 countries match,Spirits None
Spirits Sweetened or Mixed Tested,1891,value-error,3/11 countries match,"Unenumerated, not Sweetened or Mixed"
Spirits Unenumerated not Sweetened,1881,value-error,0/4 countries match,Spirits None
Spirits Unenumerated not Sweetened or Mixed,1896,value-error,2/10 countries match,"Unenumerated, not Sweetened or Mixed"
Stallions,1896,value-error,0/12 countries match,Stallions
Straw,1896,value-error,0/6 countries match,Of Straw
Straw Platting for Hats,1886,value-error,7/8 countries match,"STRAW PLATTING, for making Hats or Bonnets None"
Sugar Refined In Lumps and Loaves,1896,value-error,0/5 countries match,In Lumps and Loaves
Sugar Refined Total,1886,value-error,7/8 countries match,"Refined, Total"
Sugar Unrefined Cane and Other Sorts,1891,value-error,19/27 countries match,"Unrefined: Cane, and Other Sorts"
Sugar Unrefined Cane and Other Sorts,1896,value-error,4/26 countries match,"Unrefined: Cane, and Other Sorts"
Sugar Unrefined Total,1891,value-error,22/27 countries match,Unrefined: Total of
Sugar Unrefined Total,1896,value-error,3/29 countries match,Unrefined: Total of
Swine,1896,attribution-shift,1/1 values present but mislabeled,Swine
Swords Cutlasses Matchets Bayonets,1896,value-error,0/4 countries match,"Swords, Cutlasses, Matchets, Bayonets"
Tallow and Stearine,1891,value-error,17/19 countries match,TALLOW and STEARINE None
Tar,1881,value-error,2/3 countries match,TAR None
Tar,1886,attribution-shift,7/8 values present but mislabeled,TAR None
Tea,1891,value-error,19/22 countries match,TEA None
Tea,1896,value-error,2/16 countries match,TEA None
Teeth Elephants Sea Cow and Sea Horses,1876,value-error,9/14 countries match,"TEETH, Elephants', Sea Cow, and Sea Horse None"
Tin Manufactures Unenumerated,1876,value-error,0/0 countries match,"Manufactures, unenumerated"
Tin Manufactures Unenumerated,1881,value-error,0/0 countries match,"Manufactures, unenumerated"
Tin Manufactures Unenumerated,1886,value-error,0/0 countries match,"Manufactures, unenumerated"
Tin Manufactures Unenumerated,1891,value-error,0/0 countries match,"Manufactures, unenumerated"
Tin Manufactures Unenumerated,1896,value-error,0/0 countries match,"Manufactures, unenumerated"
Tin Ore,1876,value-error,0/3 countries match,Ore
Tin Ore,1886,value-error,0/7 countries match,Ore
Tin Ore,1891,value-error,0/9 countries match,Ore
Tin Ore,1896,value-error,0/10 countries match,Ore
Tin in Blocks Ingots Bars or Slabs,1886,value-error,11/13 countries match,"In Blocks, Ingots, Bars, or Slabs"
Tin in Blocks Ingots Bars or Slabs,1896,value-error,0/11 countries match,"In Blocks, Ingots, Bars, or Slabs"
Tobacco Unenumerated,1896,value-error,9/12 countries match,Tobacco None
Tobacco Unmanufactured,1876,value-error,0/16 countries match,Tobacco None
Tobacco Unmanufactured,1881,value-error,0/9 countries match,Tobacco None
Tobacco Unmanufactured,1891,value-error,0/18 countries match,Tobacco None
Tobacco Unmanufactured,1896,value-error,0/17 countries match,Tobacco None
Train Blubber and Spermaceti (Whale Oils),1881,value-error,0/3 countries match,Train or Blubber
Valonia,1896,value-error,1/6 countries match,Valonia
Varnish Not containing Alcohol,1876,value-error,0/0 countries match,"VARNISH, CONTAINING ALCOHOL None"
Varnish Not containing Alcohol,1881,value-error,0/0 countries match,"VARNISH, CONTAINING ALCOHOL None"
Vegetable Ivory,1896,value-error,4/5 countries match,"VEGETABLES, Unenumerated None"
Vegetables Unenumerated,1886,value-error,0/0 countries match,"VEGETABLES, Unenumerated None"
Vegetables Unenumerated,1891,value-error,0/0 countries match,"VEGETABLES, Unenumerated None"
Vegetables Unenumerated,1896,value-error,0/0 countries match,"VEGETABLES, Unenumerated None"
Vinegar,1876,value-error,1/3 countries match,VINEGAR None
Vinegar,1886,value-error,6/7 countries match,VINEGAR None
Vinegar,1896,value-error,0/4 countries match,VINEGAR None
Wax,1876,value-error,7/9 countries match,WAX None
Wax,1896,value-error,11/18 countries match,WAX None
Whalebone,1886,value-error,6/11 countries match,WHALEBONE (Whalefins) None
Whalebone,1896,value-error,0/9 countries match,WHALEBONE (Whalefins) None
Wheat,1876,value-error,14/19 countries match,Wheat
Wheat,1886,value-error,17/21 countries match,Wheat
Wheat,1891,value-error,17/24 countries match,Wheat
Wheat,1896,attribution-shift,12/14 values present but mislabeled,Wheat
Wheat Meal and Flour,1876,value-error,10/12 countries match,Wheat Meal and Flour
Wheat Meal and Flour,1881,value-error,8/10 countries match,Wheat Meal and Flour
Wheat Meal and Flour,1886,value-error,10/14 countries match,Wheat Meal and Flour
Wheat Meal and Flour,1891,value-error,12/16 countries match,Wheat Meal and Flour
Wine Red Total of,1896,value-error,14/19 countries match,Red: Total of
Wine Red in Bottles Sparkling Burgundy,1896,value-error,0/3 countries match,Burgundy
Wine Red in Bottles Sparkling Other Sorts,1896,value-error,0/2 countries match,Bottles
Wine Red in Bottles Still,1896,value-error,0/12 countries match,"Red, in Bottles : Still"
Wine Red in Casks,1896,value-error,1/17 countries match,"Red, in Casks"
Wine Total of all Kinds,1876,value-error,14/16 countries match,Total of all Kinds
Wine Total of all Kinds,1881,value-error,12/16 countries match,Total of all Kinds
Wine Total of all Kinds,1891,value-error,20/26 countries match,Total of all Kinds
Wine Total of all Kinds,1896,value-error,1/19 countries match,Total of all Kinds
Wine White in Bottles Sparkling Champagne,1896,value-error,2/3 countries match,"White, in Bottles: Sparkling : Champagne"
Wine White in Bottles Sparkling Moselle,1896,value-error,3/4 countries match,"White, in Bottles, Sparkling : Moselle"
Wine White in Bottles Still,1896,value-error,0/11 countries match,"White, in Bottles—Still"
Wine White in Casks,1896,value-error,2/16 countries match,"White, in Casks"
Wine in Bottles Sparkling Hock,1891,value-error,2/3 countries match,Hock
Wine in Bottles Sparkling Hock,1896,value-error,2/3 countries match,Hock
"Wood and Timber Fir - Sawn or Split, Planed or Dressed",1896,value-error,8/11 countries match,"Sawn or Split, Planed or Dressed : Fir"
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1876,value-error,10/14 countries match,Wood and Timber None
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1881,attribution-shift,11/12 values present but mislabeled,Wood and Timber None
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1886,value-error,0/22 countries match,Wood and Timber None
Wood and Timber Furniture Woods Hardwoods and Veneers Unenumerated,1896,value-error,9/27 countries match,Wood and Timber None
Wood and Timber Hewn Fir (Other than Pit Wood or Pit Props as of 1901),1876,value-error,2/8 countries match,"Hewn, Fir"
Wood and Timber Hewn Oak,1876,value-error,0/7 countries match,Wood and Timber None
Wood and Timber Hewn Oak,1881,value-error,0/6 countries match,Wood and Timber None
Wood and Timber Hewn Oak,1886,value-error,0/9 countries match,Wood and Timber None
Wood and Timber Hewn Oak,1896,value-error,1/7 countries match,Wood and Timber None
Wood and Timber Hewn Teak,1876,value-error,0/3 countries match,Wood and Timber None
Wood and Timber Hewn Teak,1881,value-error,0/3 countries match,Wood and Timber None
Wood and Timber Hewn Teak,1886,value-error,0/9 countries match,Wood and Timber None
Wood and Timber Hewn Teak,1896,value-error,1/11 countries match,Wood and Timber None
Wood and Timber Hewn Unenumerated,1876,value-error,8/9 countries match,Wood and Timber None
Wood and Timber Hewn Unenumerated,1881,value-error,0/6 countries match,Wood and Timber None
Wood and Timber Hewn Unenumerated,1896,value-error,0/9 countries match,Wood and Timber None
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1876,value-error,0/8 countries match,"Sawn or Split, Planed or Dressed : Unenumerated"
"Wood and Timber Staves - Sawn or Split, Planed or Dressed",1881,value-error,0/8 countries match,"Sawn or Split, Planed or Dressed : Unenumerated"
Wool Goats Wool or Hair Other Sorts,1896,value-error,3/6 countries match,Goats' Hair or Wool
Wool Sheep and Lambs,1896,value-error,12/38 countries match,Sheep or Lambs' Wool
Woollen Yarn For Fancy Purposes,1886,value-error,0/4 countries match,WOOLLEN YARN None
Woollen Yarn For Fancy Purposes,1891,value-error,0/4 countries match,WOOLLEN YARN None
Woollen Yarn For Fancy Purposes,1896,value-error,0/5 countries match,WOOLLEN YARN None
Woollen Yarn For Weaving,1876,value-error,0/4 countries match,WOOLLEN YARN None
Woollen Yarn For Weaving,1886,value-error,0/5 countries match,WOOLLEN YARN None
Woollen Yarn For Weaving,1896,value-error,0/5 countries match,WOOLLEN YARN None
Woollen Yarn Unenumerated,1876,value-error,0/0 countries match,WOOLLEN YARN None
Woollen Yarn Unenumerated,1896,value-error,4/5 countries match,WOOLLEN YARN None
Yeast,1896,value-error,0/6 countries match,YEAST None
Zinc Crude in Cakes,1896,value-error,1/9 countries match,"Crude, in Cakes"
Zinc Manufactured,1891,value-error,0/6 countries match,Manufactured : Other Sorts (including Cigarettes)
Zinc Manufactured,1896,value-error,0/6 countries match,Manufactured : Other Sorts (including Cigarettes)
Zinc Manufactures Unenumerated,1876,value-error,0/4 countries match,"Manufactures, unenumerated"
Zinc Manufactures Unenumerated,1881,value-error,0/5 countries match,"Manufactures, unenumerated"
Zinc Manufactures Unenumerated,1886,value-error,3/6 countries match,"Manufactures, unenumerated"
Zinc Ore,1876,value-error,0/3 countries match,Ore
Zinc Ore,1881,value-error,1/4 countries match,Ore
Zinc Ore,1886,value-error,0/11 countries match,Ore
Zinc Ore,1891,value-error,0/13 countries match,Ore
Zinc Ore,1896,value-error,0/12 countries match,Ore
