commodity,year,t1_value,origin_value,v_ratio,v_bucket,t1_qty,origin_qty,q_ratio,q_bucket,unit,n_origins,split
Wood And Timber — Hewn,1877,5862278,0,0.0,nodata,2088459,0,0.0,nodata,Load,0,
Corn And Grain — Wheat Meal Or Flour,1873,5849852,5849852,1.0,exact01,6214479,6314479,1.0161,within5,Cwt,11,
Stuffs,1896,5842172,0,0.0,nodata,81912246,0,0.0,nodata,Yard,0,
"Mutton, Fresh",1900,5841566,0,0.0,nodata,3392850,0,0.0,nodata,Cwt,0,
Sugar — Refined : Total Of,1877,5794232,5794232,1.0,exact01,3429853,3429853,1.0,exact01,Cwt,9,
Beef — Fresh,1897,5783667,6483508,1.121,over,3010387,3510573,1.1662,over,Cwt,6,
Fresh,1897,5783667,0,0.0,nodata,3010387,0,0.0,nodata,Cwt,0,
Barley,1893,5776033,5305598,0.9186,under,22844562,22794494,0.9978,within5,Cwt,27,
"Flax, Dressed Or Undressed",1871,5775417,0,0.0,nodata,2587066,0,0.0,nodata,Cwt,0,
Silk — Raw,1876,5770341,5770341,1.0,exact01,6016927,5984027,0.9945,within5,Lb,13,
Leather,1885,5768840,0,0.0,nodata,80846465,0,0.0,nodata,Lb,0,
Barley,1896,5709531,5705231,0.9992,exact01,22477322,22477022,1.0,exact01,Cwt,18,
Corn And Grain — Wheat Meal Or Flour,1874,5685076,5598076,0.9847,within5,6236044,6236001,1.0,exact01,Cwt,11,
Stuffs,1894,5665282,0,0.0,nodata,75458938,0,0.0,nodata,Yard,0,
Wine — Total Of All Kinds,1881,5651107,122416140,21.6623,over,16297033,327306921,20.0838,over,Gallon,62,
Iron — Ore Of (Including Chrome),1900,5639003,0,0.0,nodata,6297963,0,0.0,nodata,Ton,0,
Woollen Manufactures,1879,5637675,0,0.0,nodata,5637775,0,0.0,nodata,Value,0,
Wool — Manufactures,1879,5637675,0,0.0,nodata,5037775,0,0.0,nodata,Value,0,
Wood And Timber — Hewn,1889,5636764,0,0.0,nodata,2392223,0,0.0,nodata,Load,0,
Leather,1887,5618845,0,0.0,nodata,84876528,0,0.0,nodata,Lb,0,
Wood And Timber — Hewn,1883,5615189,0,0.0,nodata,2152868,0,0.0,nodata,Load,0,
"Flax, Dressed Or Undressed",1874,5545396,120119,0.0217,under,2374086,29927,0.0126,under,Cwt,2,
"Flax, Dressed And Undressed, And Tow",1874,5545396,0,0.0,nodata,2374086,0,0.0,nodata,Cwt,0,
Barley,1895,5538405,5533618,0.9991,exact01,23618867,23600907,0.9992,exact01,Cwt,20,
Leather,1886,5536225,0,0.0,nodata,77810381,0,0.0,nodata,Lb,0,
Cheese,1899,5503004,5636502,1.0243,within5,2384069,2326453,0.9758,within5,Cwt,15,
Cheese,1894,5474940,5612630,1.0251,within5,2266145,2290443,1.0107,within5,Cwt,16,
Sugar — Refined : Total Of,1887,5469161,5469161,1.0,exact01,6996312,6996312,1.0,exact01,Cwt,9,
Leather,1883,5466399,0,0.0,nodata,74718266,0,0.0,nodata,Lb,0,
Wine — Total Of All Kinds,1887,5466266,5466233,1.0,exact01,15383641,15388111,1.0003,exact01,Gallon,21,
Wine — Total Of All Kinds,1882,5458923,139874553,25.6231,over,15715813,356808231,22.7038,over,Gallon,65,
Wine — Total Of All Kinds,1883,5451953,5451953,1.0,exact01,15559795,15559795,1.0,exact01,Gallon,20,
Wine — Total Of All Kinds,1895,5448088,5559418,1.0204,within5,15864323,16495430,1.0398,within5,Gallon,23,
Wine — Total Of All Kinds,1868,5440991,0,0.0,nodata,16953429,0,0.0,nodata,Gallon,0,
"Mutton, Fresh",1899,5439317,8714400,1.6021,over,3446022,5417701,1.5722,over,Cwt,14,
Jute,1889,5428713,10838292,1.9965,over,0,0,,noanchor,Cwt,11,
Leather,1884,5417997,0,0.0,nodata,76875971,0,0.0,nodata,Lb,0,
Cheese,1892,5416784,4880673,0.901,under,2232817,2258402,1.0115,within5,Cwt,10,
Eggs,1900,5406020,0,0.0,nodata,16882678,0,0.0,nodata,Great Hundred,0,
Coffee — Raw,1871,5394509,0,0.0,nodata,0,0,,noanchor,Cwt,0,
Iron — Ore Of (Including Chrome),1899,5374918,5446221,1.0133,within5,7054578,7079976,1.0036,within5,Ton,36,
Wine — Total Of All Kinds,1879,5365250,5018261,0.9353,under,15162857,14849314,0.9793,within5,Gallon,15,
Wine — Total Of All Kinds,1884,5341117,5340164,0.9998,exact01,15106271,15106181,1.0,exact01,Gallon,21,
Sugar — Refined : Total Of,1886,5320635,5320218,0.9999,exact01,6372050,6371740,1.0,exact01,Cwt,7,
Wine — Total Of All Kinds,1893,5302202,5415009,1.0213,within5,14675201,15172686,1.0339,within5,Gallon,27,
"Sugar — Unrefined : Cane, And Other Sorts",1893,5301419,8447812,1.5935,over,7468794,12143026,1.6258,over,Cwt,37,
"Flax, Dressed Or Undressed",1873,5299180,0,0.0,nodata,2195423,0,0.0,nodata,Cwt,0,
Wood And Timber — Hewn,1882,5297873,0,0.0,nodata,2022656,0,0.0,nodata,Load,0,
"Skins And Furs — Goat, Undressed",1888,5280502,0,0.0,nodata,5280502,0,0.0,nodata,Number,0,
Leather,1882,5272665,0,0.0,nodata,75217794,0,0.0,nodata,Lb,0,
Wine — Total Of All Kinds,1869,5265600,0,0.0,nodata,17184330,0,0.0,nodata,Gallon,0,
"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",1900,5261946,0,0.0,nodata,70885,0,0.0,nodata,Ton,0,
Coffee — Raw,1872,5257403,5191323,0.9874,within5,0,0,,noanchor,Cwt,18,
Wood And Timber — Hewn,1880,5252149,0,0.0,nodata,2130541,0,0.0,nodata,Load,0,
Seeds — Flax Or Linseed,1882,5245513,5185473,0.9886,within5,2433132,2433132,1.0,exact01,Quarter,11,
Cheese,1881,5245115,5147400,0.9814,within5,1840090,1808514,0.9828,within5,Cwt,3,
Oats,1900,5236409,0,0.0,nodata,20109560,0,0.0,nodata,Cwt,0,
Woollen Manufactures,1877,5235948,0,0.0,nodata,5235948,0,0.0,nodata,Value,0,
Wood And Timber — Hewn,1872,5209802,0,0.0,nodata,1789576,0,0.0,nodata,Load,0,
Coffee — Raw,1882,5201536,5159998,0.992,within5,1364084,1338626,0.9813,within5,Cwt,23,
Cheese,1893,5160918,5259931,1.0192,within5,2077462,2085652,1.0039,within5,Cwt,14,
Potatoes,1899,5159011,1573738,0.305,under,5159011,5128849,0.9942,within5,Cwt,13,
Barley,1900,5152977,0,0.0,nodata,17054090,0,0.0,nodata,Cwt,0,
Seeds — Flax Or Linseed,1875,5135182,5149589,1.0028,within5,1961987,1968098,1.0031,within5,Quarter,11,
Wine — Total Of All Kinds,1885,5126392,5093492,0.9936,within5,14629738,14629738,1.0,exact01,Gallon,22,
Sugar — Unrefined : Beetroot,1900,5120821,0,0.0,nodata,10230556,0,0.0,nodata,Cwt,0,
Wine — Total Of All Kinds,1886,5115381,5115381,1.0,exact01,14552864,14552859,1.0,exact01,Gallon,21,
"Flax, Dressed Or Undressed",1868,5098387,0,0.0,nodata,1816669,0,0.0,nodata,Cwt,0,
Cheese,1880,5091514,5091514,1.0,exact01,1775997,1785967,1.0056,within5,Cwt,5,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1878,5080702,25752,0.0051,under,253462,0,0.0,nodata,Number,5,
"Flax, Dressed And Undressed, And Tow",1877,5075274,0,0.0,nodata,2226284,0,0.0,nodata,Cwt,0,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1886,5068846,0,0.0,nodata,319622,0,0.0,nodata,Number,0,
Eggs,1899,5044402,5069396,1.005,within5,16174756,16169740,0.9997,exact01,Great Hundred,21,
"Flax, Dressed And Undressed, And Tow",1884,5030325,0,0.0,nodata,1607602,0,0.0,nodata,Cwt,0,
Beef — Fresh,1896,5028828,5647371,1.123,over,2659700,3122200,1.1739,over,Cwt,6,
Fresh,1896,5028828,0,0.0,nodata,2659700,0,0.0,nodata,Cwt,0,
Wine — Total Of All Kinds,1894,5018108,5100555,1.0164,within5,14368621,14724007,1.0247,within5,Gallon,22,
"Flax, Dressed Or Undressed",1872,5010529,146928,0.0293,under,2020970,26445,0.0131,under,Cwt,2,
Wood And Timber — Hewn,1890,5004474,0,0.0,nodata,2278171,0,0.0,nodata,Load,0,
Cheese,1884,5001635,5001635,1.0,exact01,1927139,1927139,1.0,exact01,Cwt,11,
Caoutchouc,1896,4991122,5669553,1.1359,over,431148,506647,1.1751,over,Cwt,59,
"Leather, Undressed",1900,4986126,0,0.0,nodata,979322,0,0.0,nodata,Cwt,0,
Seeds — Flax Or Linseed,1876,4977177,4944177,0.9934,within5,1996684,1996684,1.0,exact01,Quarter,10,
"Copper, Ore And Regulus",1888,4975790,0,0.0,nodata,3562071,0,0.0,nodata,Ton,0,
Cheese,1890,4975131,4975134,1.0,exact01,2144074,2194074,1.0233,within5,Cwt,10,
Cheese,1898,4970242,5961403,1.1994,over,2339452,2410935,1.0306,within5,Cwt,15,
Silk — Raw,1874,4966325,4965972,0.9999,exact01,5911831,5911831,1.0,exact01,Lb,13,
Barley,1899,4950132,4880156,0.9859,within5,17189358,17099358,0.9948,within5,Cwt,25,
Cheese,1878,4946686,4946656,1.0,exact01,1968859,1968859,1.0,exact01,Cwt,5,
Coffee — Raw,1870,4942769,0,0.0,nodata,0,0,,noanchor,Cwt,0,
Coffee — Raw,1883,4936465,4889513,0.9905,within5,1407134,1380263,0.9809,within5,Cwt,30,
Coffee — Raw,1869,4927805,0,0.0,nodata,0,0,,noanchor,Cwt,0,
Jute,1890,4921991,9840665,1.9993,over,0,0,,noanchor,Cwt,11,
Woollen Manufactures,1876,4920711,0,0.0,nodata,4920711,0,0.0,nodata,Value,0,
Hides — Raw,1872,4919262,94912,0.0193,under,1436350,40732,0.0284,under,Cwt,7,
Seeds — Flax Or Linseed,1878,4908456,4908456,1.0,exact01,1988829,1988829,1.0,exact01,Quarter,10,
"Mutton, Fresh",1898,4902179,7809939,1.5932,over,3314001,5248254,1.5837,over,Cwt,16,
Cheese,1896,4900342,5016432,1.0237,within5,2244525,2300031,1.0247,within5,Cwt,15,
Cheese,1883,4890400,4890400,1.0,exact01,1799704,1799704,1.0,exact01,Cwt,11,
Wood And Timber — Hewn,1892,4885850,0,0.0,nodata,2469139,0,0.0,nodata,Load,0,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1875,4885462,29993,0.0061,under,263684,0,0.0,nodata,Number,5,
Corn And Grain — Wheat Meal Or Flour,1875,4870257,4867257,0.9994,exact01,6136083,6136083,1.0,exact01,Cwt,10,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1876,4860440,51564,0.0106,under,271576,0,0.0,nodata,Number,4,
Wood And Timber — Hewn,1875,4859322,0,0.0,nodata,1695022,0,0.0,nodata,Load,0,
Coffee — Raw,1868,4858107,0,0.0,nodata,0,0,,noanchor,Cwt,0,
Sugar — Refined : Total Of,1885,4835742,4835742,1.0,exact01,5329046,5329046,1.0,exact01,Cwt,9,
"Mutton, Fresh",1897,4827868,7838177,1.6235,over,3193276,5292306,1.6573,over,Cwt,15,
Wine — Total Of All Kinds,1870,4817294,0,0.0,nodata,17774782,0,0.0,nodata,Gallon,0,
Cheese,1891,4813404,4887661,1.0154,within5,2041325,2070997,1.0145,within5,Cwt,13,
Wood And Timber — Hewn,1881,4809069,0,0.0,nodata,1871966,0,0.0,nodata,Load,0,
"Beef, Salted And Fresh",1892,4801736,0,0.0,nodata,2355031,0,0.0,nodata,Cwt,0,
Leather,1881,4801591,0,0.0,nodata,66356857,0,0.0,nodata,Lb,0,
Seeds — Flax Or Linseed,1883,4786903,4786903,1.0,exact01,2323397,2323397,1.0,exact01,Quarter,21,
Sugar — Refined : Total Of,1878,4779045,4779045,1.0,exact01,3266480,3266480,1.0,exact01,Cwt,7,
Cheese,1877,4771393,4771393,1.0,exact01,1653920,1653920,1.0,exact01,Cwt,5,
Coffee — Raw,1881,4761369,13229533,2.7785,over,1229003,1210053,0.9846,within5,Cwt,35,
Cheese,1882,4749870,4749870,1.0,exact01,1694623,1694623,1.0,exact01,Cwt,5,
Corn And Grain — Wheat Meal Or Flour,1876,4741515,4738515,0.9994,exact01,5959821,5959821,1.0,exact01,Cwt,11,
Hides — Raw,1873,4727126,0,0.0,nodata,1339373,0,0.0,nodata,Cwt,0,
Raw,1873,4727126,0,0.0,nodata,1339373,0,0.0,nodata,Lb,0,
"Mutton, Fresh",1896,4718546,7824662,1.6583,over,2895158,4748791,1.6403,over,Cwt,14,
Cheese,1875,4709508,4709478,1.0,exact01,1627748,1627748,1.0,exact01,Cwt,7,
"Leather, Undressed",1895,4708903,4075143,0.8654,under,918252,0,0.0,nodata,Cwt,13,
Barley,1897,4681074,4571574,0.9766,within5,18958720,18897120,0.9968,within5,Cwt,20,
Cheese,1895,4675130,4900655,1.0482,within5,2133819,2226578,1.0435,within5,Cwt,15,
Wood And Timber — Hewn,1884,4673485,0,0.0,nodata,1953930,0,0.0,nodata,Load,0,
Sugar — Unrefined : Beetroot,1899,4672311,4672311,1.0,exact01,9309372,9333416,1.0026,within5,Cwt,8,
Wood And Timber — Hewn,1871,4670828,0,0.0,nodata,1658894,0,0.0,nodata,Load,0,
Wood And Timber — Hewn,1870,4641119,0,0.0,nodata,1430174,0,0.0,nodata,Load,0,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1879,4639431,0,0.0,nodata,247768,0,0.0,nodata,Number,0,
Woollen Manufactures,1871,4637625,0,0.0,nodata,4637625,0,0.0,nodata,Value,0,
Wood And Timber — Hewn,1885,4636997,0,0.0,nodata,1935854,0,0.0,nodata,Load,0,
Jute,1894,4622137,9224448,1.9957,over,0,0,,noanchor,Cwt,11,
"Mutton, Fresh",1895,4595678,7715283,1.6788,over,2611435,4294234,1.6444,over,Cwt,16,
Hides — Raw,1874,4592579,122700,0.0267,under,1264274,45128,0.0357,under,Cwt,8,
Raw,1874,4592579,0,0.0,nodata,1264274,0,0.0,nodata,Lb,0,
Seeds — Flax Or Linseed,1889,4570203,7502148,1.6415,over,2269495,3685482,1.6239,over,Quarter,14,
Seeds — Flax Or Linseed,1891,4564669,7777764,1.7039,over,2200112,3720065,1.6909,over,Quarter,16,
"Beef, Salted And Fresh",1895,4562059,0,0.0,nodata,2410993,0,0.0,nodata,Cwt,0,
"Beef, Salted And Fresh",1894,4556502,0,0.0,nodata,2316415,0,0.0,nodata,Cwt,0,
Caoutchouc,1897,4553416,5115008,1.1233,over,396929,423837,1.0678,over,Cwt,58,
Seeds — Flax Or Linseed,1877,4552798,4552798,1.0,exact01,1706796,1706796,1.0,exact01,Quarter,10,
Cheese,1888,4546408,4541908,0.999,exact01,1917616,1917816,1.0001,exact01,Cwt,11,
Cheese,1887,4514382,4514382,1.0,exact01,1836789,1836786,1.0,exact01,Cwt,11,
Seeds — Flax Or Linseed,1872,4513842,4513842,1.0,exact01,1514947,1514947,1.0,exact01,Quarter,10,
Leather,1880,4511699,0,0.0,nodata,60248678,0,0.0,nodata,Lb,0,
Wood And Timber — Hewn,1891,4500667,0,0.0,nodata,2250692,0,0.0,nodata,Load,0,
Cheese,1889,4490970,4490470,0.9999,exact01,1907999,1907999,1.0,exact01,Cwt,11,
Cheese,1874,4483927,4575378,1.0204,within5,1485265,1485265,1.0,exact01,Cwt,13,
Sugar — Refined : Total Of,1883,4468617,4468617,1.0,exact01,3283920,3283920,1.0,exact01,Cwt,10,
Eggs,1898,4457117,4457117,1.0,exact01,14424601,14424631,1.0,exact01,Great Hundred,17,
Ore Of (Including Chrome),1897,4456004,4523419,1.0151,within5,5968680,13823,0.0023,under,?,29,
Sugar — Refined : Total Of,1884,4452851,4452851,1.0,exact01,4263873,4263873,1.0,exact01,Cwt,10,
Silk — Raw,1877,4452045,4452045,1.0,exact01,4441891,4441891,1.0,exact01,Lb,10,
"Animals, Living — Bulls, Oxen, Cows, And Calves",1887,4438785,0,0.0,nodata,295961,0,0.0,nodata,Number,0,
Sugar — Refined : Total Of,1880,4436872,4436842,1.0,exact01,3036074,3036074,1.0,exact01,Cwt,6,
Iron — Ore Of (Including Chrome),1897,4436004,4522823,1.0196,within5,5968680,5996004,1.0046,within5,Ton,32,
"Unwrought, Part Wrought, And Old Copper",1872,4435970,0,0.0,nodata,48400,0,0.0,nodata,Ton,0,
"Leather, Undressed",1896,4433196,0,0.0,nodata,889404,0,0.0,nodata,Cwt,0,
Sugar — Unrefined : Beetroot,1898,4431196,4422196,0.998,within5,9565811,9265761,0.9686,within5,Cwt,7,
Fresh,1892,4413148,0,0.0,nodata,2079637,0,0.0,nodata,Cwt,0,
"Flax, Dressed And Undressed, And Tow",1875,4412306,0,0.0,nodata,1773940,0,0.0,nodata,Cwt,0,
"Beef, Salted And Fresh",1891,4394517,0,0.0,nodata,2168270,0,0.0,nodata,Cwt,0,
Oats,1898,4382857,5376507,1.2267,over,15577900,13696600,0.8792,under,Cwt,18,
Seeds — Flax Or Linseed,1881,4380620,4380620,1.0,exact01,1823808,1823808,1.0,exact01,Quarter,11,
Seeds — Flax Or Linseed,1868,4378254,0,0.0,nodata,1635528,0,0.0,nodata,Quarter,0,
"Petroleum, Illuminating",1900,4365770,0,0.0,nodata,215268480,0,0.0,nodata,Gallon,0,
"In Blocks, Ingots, Bars, Or Slabs",1900,4359133,0,0.0,nodata,602359,0,0.0,nodata,Cwt,0,
Jute,1895,4358036,8711923,1.999,over,0,0,,noanchor,Cwt,14,
Wood And Timber — Sawn Or Split,1888,4357064,0,0.0,nodata,4357064,0,0.0,nodata,Load,0,
Eggs,1897,4356807,4352957,0.9991,exact01,14031754,13976580,0.9961,within5,Great Hundred,21,
"Mutton, Fresh",1894,4341227,7125729,1.6414,over,2295066,3745991,1.6322,over,Cwt,14,
Sugar — Unrefined : Beetroot,1894,4339730,4339730,1.0,exact01,7744736,7744736,1.0,exact01,Cwt,7,
Sugar — Refined : Total Of,1875,4338166,4338166,1.0,exact01,2860776,2860776,1.0,exact01,Cwt,8,
"Leather, Undressed",1897,4331140,0,0.0,nodata,905440,0,0.0,nodata,Cwt,0,
Wood And Timber — Hewn,1869,4328723,0,0.0,nodata,1324648,0,0.0,nodata,Load,0,
Coffee — Raw,1889,4319372,4316339,0.9993,exact01,1035136,1035103,1.0,exact01,Cwt,25,
Jute,1882,4315917,4315917,1.0,exact01,5937842,5937842,1.0,exact01,Cwt,2,
Woollen Manufactures — Stuffs,1900,4312716,0,0.0,nodata,62717077,0,0.0,nodata,Yard,0,
"Leather, Undressed",1899,4310295,0,0.0,nodata,886477,0,0.0,nodata,Cwt,0,
Sugar — Unrefined : Beetroot,1895,4309903,4309903,1.0,exact01,9153956,9153956,1.0,exact01,Cwt,7,
Woollen Manufactures,1875,4308357,0,0.0,nodata,4308357,0,0.0,nodata,Value,0,
"Beef, Salted And Fresh",1890,4304749,0,0.0,nodata,2129319,0,0.0,nodata,Cwt,0,
"Wood And Timber — Hewn, Fir",1900,4299518,0,0.0,nodata,2787945,0,0.0,nodata,Load,0,
Oats,1893,4297986,4446398,1.0345,within5,13954986,13694351,0.9813,within5,Cwt,24,
"Unwrought, In Bars, Blocks, Slabs, Cakes, Or Ingots",1899,4277377,0,0.0,nodata,59048,0,0.0,nodata,Ton,0,
Fresh,1895,4275548,0,0.0,nodata,2191037,0,0.0,nodata,Cwt,0,
Coffee — Raw,1887,4248384,4175441,0.9828,within5,1045698,1019849,0.9753,within5,Cwt,29,
Seeds — Flax Or Linseed,1886,4246755,7610828,1.7922,over,2072011,3717834,1.7943,over,Quarter,13,
Cheese,1876,4237763,4234763,0.9993,exact01,1531204,1531204,1.0,exact01,Cwt,5,
"Copper, Ore And Regulus",1889,4234619,0,0.0,nodata,250567,0,0.0,nodata,Ton,0,
Oats,1896,4226317,4435462,1.0495,within5,17586730,18320479,1.0417,within5,Cwt,20,
Seeds — Flax Or Linseed,1887,4222493,6725641,1.5928,over,2299123,3628496,1.5782,over,Quarter,20,
Hams,1900,4221809,0,0.0,nodata,1802670,0,0.0,nodata,Cwt,0,
Fresh,1894,4213688,0,0.0,nodata,2104104,0,0.0,nodata,Cwt,0,
Jute,1891,4203658,8399217,1.9981,over,0,0,,noanchor,Cwt,10,
Hides — Raw,1875,4203371,82640,0.0197,under,1207432,37391,0.031,under,Cwt,5,
Raw,1875,4203371,0,0.0,nodata,1207432,0,0.0,nodata,Lb,0,
Oats,1899,4199724,4292854,1.0222,within5,15626730,15898680,1.0174,within5,Cwt,19,
"Flax, Dressed Or Undressed",1869,4196986,0,0.0,nodata,1542201,0,0.0,nodata,Cwt,0,
Bacon And Hams — Bacon,1872,4188981,3787444,0.9041,under,2001855,1846536,0.9224,under,Cwt,7,
Wood And Timber — Hewn,1894,4187763,0,0.0,nodata,2338062,0,0.0,nodata,Load,0,
Eggs,1896,4184656,4185548,1.0002,exact01,13245011,13249046,1.0003,exact01,Great Hundred,20,
Wood And Timber — Hewn,1895,4181436,0,0.0,nodata,2260761,0,0.0,nodata,Load,0,
"Leather, Undressed",1898,4174882,0,0.0,nodata,850726,0,0.0,nodata,Cwt,0,
Sugar — Refined : Total Of,1874,4172113,4158957,0.9968,within5,2717406,2708214,0.9966,within5,Cwt,8,
Sugar — Unrefined : Beetroot,1896,4168484,4168484,1.0,exact01,8063918,8063918,1.0,exact01,Cwt,7,
Jute,1896,4167992,8321080,1.9964,over,0,0,,noanchor,Cwt,11,
"Sugar — Unrefined : Cane, And Other Sorts",1896,4165877,6478712,1.5552,over,7679758,12225980,1.592,over,Cwt,34,
Seeds — Flax Or Linseed,1900,4162146,0,0.0,nodata,1666031,0,0.0,nodata,Quarter,0,
Spirits — Rum,1888,4146564,373799,0.0901,under,4146564,4303096,1.0377,within5,Proof Gallon,19,
Seeds — Flax Or Linseed,1873,4136664,4136805,1.0,exact01,1445938,1445938,1.0,exact01,Quarter,11,
Jute,1900,4134389,0,0.0,nodata,0,0,,noanchor,Cwt,0,
Sugar — Refined : Total Of,1879,4134014,4134014,1.0,exact01,3018824,3018824,1.0,exact01,Cwt,6,
Wood And Timber — Hewn,1878,4133330,0,0.0,nodata,1686662,0,0.0,nodata,Load,0,
Wood And Timber — Hewn,1868,4126602,0,0.0,nodata,1360763,0,0.0,nodata,Load,0,
Sugar — Refined : Total Of,1876,4118163,4118166,1.0,exact01,2796414,2796414,1.0,exact01,Cwt,9,
"Beef, Salted And Fresh",1893,4109593,0,0.0,nodata,2008565,0,0.0,nodata,Cwt,0,
Seeds — Flax Or Linseed,1879,4095122,4109613,1.0035,within5,1651083,1654695,1.0022,within5,Quarter,9,
Hams,1899,4094500,4093660,0.9998,exact01,1978626,1978456,0.9999,exact01,Cwt,8,
Corn And Grain — Wheat Meal Or Flour,1872,4087639,4087639,1.0,exact01,4388136,4385106,0.9993,exact01,Cwt,11,
"Flax, Dressed And Undressed, And Tow",1880,4074149,0,0.0,nodata,1896725,0,0.0,nodata,Cwt,0,
"Iron — Manufactures Of Iron Or Steel, Unenumerated",1896,4073030,4073085,1.0,exact01,3741567,3832522,1.0243,within5,Cwt,15,
Cheese,1885,4069344,4069345,1.0,exact01,1833832,1833832,1.0,exact01,Cwt,10,
Cheese,1873,4061456,4061456,1.0,exact01,1356728,1356728,1.0,exact01,Cwt,8,
Wood And Timber — Hewn,1893,4048743,0,0.0,nodata,2126888,0,0.0,nodata,Load,0,
Oats,1897,4038813,3808276,0.9429,under,16116810,14427993,0.8952,under,Cwt,19,
Woollen Manufactures,1872,4038666,0,0.0,nodata,4038666,0,0.0,nodata,Value,0,
Sugar — Refined : Total Of,1881,4036912,4036912,1.0,exact01,2790464,2790464,1.0,exact01,Cwt,5,
Iron — Ore Of (Including Chrome),1898,4034648,4059584,1.0062,within5,5468396,5305991,0.9703,within5,Ton,31,
"Copper, Ore And Regulus",1891,4034415,0,0.0,nodata,212327,0,0.0,nodata,Ton,0,
Seeds — Flax Or Linseed,1896,4022676,4084530,1.0154,within5,2578864,2616830,1.0147,within5,Quarter,21,
Jute,1880,4018800,4018500,0.9999,exact01,4638896,4638896,1.0,exact01,Cwt,2,
Seeds — Flax Or Linseed,1870,4016016,0,0.0,nodata,1490695,0,0.0,nodata,Quarter,0,
Lead — Dressed,1899,4009056,3985641,0.9942,within5,459481,448032,0.9751,within5,Cwt,17,
"Sugar — Unrefined : Cane, And Other Sorts",1894,4007981,4782706,1.1933,over,6561268,8076205,1.2309,over,Cwt,34,
Coffee — Raw,1890,4004490,5325501,1.3299,over,864454,1126000,1.3026,over,Cwt,25,
Eggs,1895,4003446,4005020,1.0004,exact01,12722586,12726377,1.0003,exact01,Great Hundred,20,
"Leather, Undressed",1894,3988672,3481404,0.8728,under,771213,0,0.0,nodata,Cwt,13,
Coffee — Raw,1893,3986635,4875047,1.2228,over,826696,971231,1.1748,over,Cwt,31,
Woollen Manufactures,1874,3973811,0,0.0,nodata,3973811,0,0.0,nodata,Value,0,
Jute,1881,3973584,3973584,1.0,exact01,4928805,4928805,1.0,exact01,Cwt,2,
Sugar — Refined : Total Of,1882,3965278,3953333,0.997,within5,2766123,2755668,0.9962,within5,Cwt,7,
"Sugar — Unrefined : Cane, And Other Sorts",1895,3964972,7764714,1.9583,over,7856041,15390833,1.9591,over,Cwt,36,
Jute,1872,3954698,3954698,1.0,exact01,4041018,4041018,1.0,exact01,Cwt,2,
Seeds — Flax Or Linseed,1890,3951557,3951557,1.0,exact01,1933165,1934665,1.0008,exact01,Quarter,15,
Jute,1897,3942610,7863486,1.9945,over,0,0,,noanchor,Cwt,10,
Seeds — Flax Or Linseed,1894,3941995,3987053,1.0114,within5,2087969,2111904,1.0115,within5,Quarter,20,
Coffee — Raw,1892,3935162,5172962,1.3145,over,846863,1078098,1.273,over,Cwt,30,
Leather,1878,3914666,0,0.0,nodata,39542758,0,0.0,nodata,Lb,0,
"Copper, Ore And Regulus",1890,3910968,0,0.0,nodata,215935,0,0.0,nodata,Ton,0,
Jute,1888,3904326,7798914,1.9975,over,0,0,,noanchor,Cwt,11,
Oats,1894,3900096,4227407,1.0839,over,14979214,15995393,1.0678,over,Cwt,22,
Jute,1892,3890688,7763833,1.9955,over,0,0,,noanchor,Cwt,9,
Hides — Raw,1884,3881349,86481,0.0223,under,1217747,42465,0.0349,under,Cwt,7,
Raw,1884,3881349,0,0.0,nodata,15617582,0,0.0,nodata,Lb,0,
Margarine,1887,3880327,3880327,1.0,exact01,1276140,1246140,0.9765,within5,Cwt,10,
Hides — Raw,1880,3879582,0,0.0,nodata,1241788,0,0.0,nodata,Cwt,0,
Raw,1880,3879582,0,0.0,nodata,1241788,0,0.0,nodata,Lb,0,
Sugar — Unrefined : Beetroot,1897,3877534,3786931,0.9766,within5,8694590,8604890,0.9897,within5,Cwt,7,
"Copper, Ore And Regulus",1892,3877479,0,0.0,nodata,226087,0,0.0,nodata,Ton,0,
Eggs,1893,3875647,3875859,1.0001,exact01,11045986,10746078,0.9728,within5,Great Hundred,20,
"Mutton, Fresh",1893,3873863,6191743,1.5983,over,1971500,3166358,1.6061,over,Cwt,13,
Cheese,1886,3871359,3871359,1.0,exact01,1734890,1734890,1.0,exact01,Cwt,9,
Hides — Raw,1885,3870328,99154,0.0256,under,1230035,56164,0.0457,under,Cwt,5,
Raw,1885,3870328,0,0.0,nodata,12730503,0,0.0,nodata,Lb,0,
Hides — Raw,1871,3859064,0,0.0,nodata,1286689,0,0.0,nodata,Cwt,0,
Sugar — Refined : Total Of,1873,3847271,3847271,1.0,exact01,2273490,2273490,1.0,exact01,Cwt,6,
Woollen Manufactures,1873,3846662,0,0.0,nodata,3846662,0,0.0,nodata,Value,0,
Hides — Raw,1870,3842315,0,0.0,nodata,1199050,0,0.0,nodata,Cwt,0,
"Oxen, Bulls, Cows, And Calves",1869,3833850,0,0.0,nodata,220190,0,0.0,nodata,Number,0,
