commodity,year,origin,value,qty
Wine — Total Of All Kinds,1877,Caoutchouc Cwts,32274,159723
Wine — Total Of All Kinds,1876,Caoutchouc Cuts,32079,158692
Wool — Sheep Or Lambs',1898,Of All Other Kinds Ccts,31781,0
Wine — Total Of All Kinds,1877,Leather Gloves Doz Pairs,29359,1242139
Wine — Total Of All Kinds,1876,Palm Cuts,25144,879824
Whalebone (Whalefins) — Whale Fisheries,1888,Oak,25078,5347
Wool — Sheep Or Lambs',1898,Glass Manufactures Bottles Gross,22687,0
Wine — Total Of All Kinds,1882,Guano Tons,17216,44952
Wine — Total Of All Kinds,1876,Bones Except Whalefins Tons,14226,95648
Wine — Total Of All Kinds,1882,Palm Cuts,14188,813870
Wine — Total Of All Kinds,1876,Horses Number,13744,41148
Petroleum,1899,Plumbago Tons,13199,0
Wine — Total Of All Kinds,1882,Leather Gloves Doz Pairs,13073,1015308
Wine — Total Of All Kinds,1881,Guano Tons,12475,50505
Wine — Total Of All Kinds,1877,Bones Except Whalefins Tons,12087,112195
Wine — Total Of All Kinds,1897,Burgundy,11291,0
Wine — Total Of All Kinds,1877,Horses Number,10846,30524
Wine — Total Of All Kinds,1882,Bones Except Whalefins Tons,10769,63451
Wine — Total Of All Kinds,1876,Dyes And Dyeing Stuffs Cochineal Cuts,10332,30440
Wine — Total Of All Kinds,1881,Bones Except Whalefins Tons,10115,71477
Wine — Total Of All Kinds,1877,Dyes And Dyeing Stuffs Cochineal Cwts,10030,32094
Wine — Total Of All Kinds,1881,Palm Cwts,9144,826891
Wool — Sheep Or Lambs',1899,Rice,6856,0
Wine — Total Of All Kinds,1881,Leather Gloves Doz Pairs,6745,1254842
Wool — Sheep Or Lambs',1898,Rice,6414,0
Wine — Total Of All Kinds,1876,Oil Train Blubber And Spermaceti Tuns,5389,16684
Wine — Total Of All Kinds,1877,Oil Train Blubber And Spermaceti Tons,5181,19365
Wine — Total Of All Kinds,1882,Oil Tallow Blubber And Sperm Tons,5181,15945
Wool — Sheep Or Lambs',1898,Rosin,4972,0
Wine — Total Of All Kinds,1881,Olive,4944,29864
Copper,1899,Regulus And Precipitate,4634,0
Wine — Total Of All Kinds,1877,Olive,4513,31271
Wine — Total Of All Kinds,1876,Seed Of All Kinds Tuns,4480,22759
Wine — Total Of All Kinds,1881,Horses,4198,9950
Wine — Total Of All Kinds,1877,Metals Copper Ore And Regulus Tons,3954,149326
Wine — Total Of All Kinds,1881,Oil Train Blubber And Spermaceti Tuns,3915,18030
Iron — Leather Manufacturers,1899,Manganese Ore Of,3914,585421
Wine — Total Of All Kinds,1882,Pig,3797,44358
Wool — Sheep Or Lambs',1899,Rosin,3650,0
Wine — Total Of All Kinds,1881,Metals Copper Ore And Regulus Tons,3511,147190
Wine — Total Of All Kinds,1882,Horses,3502,8827
Copper,1899,Ore Of Tons,3405,0
Wine — Total Of All Kinds,1876,Olive,3282,24022
Wool — Sheep Or Lambs',1898,Ice Tons,2970,0
Wine — Total Of All Kinds,1882,Iron Ore,2910,3284046
Wine — Total Of All Kinds,1882,Olive,2861,23450
"Wine — In Bottles, Still",1895,White,2817,5038
Wine — Total Of All Kinds,1881,Seed Of All Kinds Tuns,2812,17102
Wine — Total Of All Kinds,1882,Metals Copper Ore And Regulus Tons,2684,152068
Wine — Total Of All Kinds,1882,Seed Tons,2582,14507
"Wine — In Bottles, Still",1898,White,2533,5231
Wool — Sheep Or Lambs',1898,Manufactures Of Cuts,2378,0
"Wine — In Bottles, Still",1896,White,2258,4766
Wool — Sheep Or Lambs',1899,Manufactures Of Cts,1693,0
Wine — Total Of All Kinds,1876,Metals Copper Ore And Regulus Tons,1652,102857
"Wine — In Bottles, Still",1894,White,1549,3590
"Wine — In Bottles, Still",1897,White,1523,3138
Wine — Total Of All Kinds,1877,Seed Of All Kinds Tons,1441,14827
