article,canonical_group,plurality_frac,n_rows,n_groups_before,gold_agree,flag
PLATINA. Wrought or Unwrought,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",0.70,44,3,,
"Unenumerated, including Shrub",SPIRITS,1.00,44,1,,
FEATHERS AND DOWN,"FARINACEOUS SUBSTANCES and MANUFACTURES thereof, unenumerated",0.65,43,2,,
Bere or Bigg,Corn and Grain,1.00,43,1,,
Pulp of Wood—Chemical,OIL,0.67,42,2,,
"Shell Fish, Oysters, all sorts",EGGS,0.50,42,3,,
"HEMP, Dressed or Undressed",HAIR,0.50,42,2,,
Ribbons,SILK MANUFACTURES,0.85,41,2,yes,
"Nuts, principally used as Fruit","FLOWERS, ARTIFICIAL",0.76,41,2,,
"Sperm, or Head Matter",OIL,0.53,40,3,,
Piece Goods of Other Countries,COPPER,0.57,40,2,,
"PRINTS, ENGRAVINGS and PHOTO-GRAPHS","PRECIOUS STONES, unset",1.00,40,1,,
"Rum Shrub, Liqueurs and Cordials, of and from       British Possessions",COFFEE,1.00,40,1,,
SUCCADES (including Fruits and Vegetables preserved in Sugar),STATIONERY other than PAPER,0.87,39,2,,
"DRUGS„ Unenumerated, including Medicinal preparations",DRUGS,1.00,39,1,,
In any way dressed ; not leather : Undressed,"SKINS, FURS, and PELTS",1.00,38,1,,
"Muskets, Rifles, Carbines, Fowl- ing Pieces, or Guns of any other Sort, not enumerated, and Parts thereof; and Pistols",ARMS AND AMMUNITION,0.74,38,2,,
Pulp of Wood—Mechanical,OIL,0.66,38,2,,
Gutch and Gambier,"DYE STUFFS, and Substances used in Tanning",1.00,37,1,,
"Seed Oil, of all Kinds",OIL,1.00,37,1,yes,
TOW or CODILLA of FLAX,"FLAX, Dressed or Undressed",0.69,36,3,yes,
Metals,"Animals, Living",0.67,36,2,,
Ryemeal,Corn and Grain,0.56,36,4,,
"Broad Stuffs: Silk or Satin : Velvet, Plain or Figured",SILK MANUFACTURES,1.00,35,1,,
Manufactures of Iron or Steel: Cycles and parts thereof,IRON,0.77,35,2,,
MALT,LIQUORICE,0.91,35,4,,
"PRECIOUS STONES, unset",PORK,1.00,35,1,,
CHEMICAL MANUFACTURES and PRODUCTS,CHEESE,1.00,35,1,,
Barley meal,Corn and Grain,0.62,34,4,,
DRUGS„ Unenumerated and Medicinal preparations,DRUGS,1.00,34,1,,
"MATCHES, Safety and Other Sorts",MALT,1.00,34,1,,
Oro of,LEAD,0.52,33,2,,
Plums (French) and Pruneloes,FRUIT,0.85,33,2,,
Other sorts of Shell Fishst,FISH (including Turtle),1.00,33,1,,
"Glucose, Solid and Liquid",SUGAR,0.78,32,2,,
"GOODS, Unenumerated: 
„ Manufactured",ZINC,1.00,32,1,,
Unrefined; Beetroot : Total of,SUGAR,1.00,32,1,,
"Swords, Cutlasses, Bayonets","ANIMALS, LIVING",0.50,32,2,,
Plums (French) and Prunelles,FRUIT,1.00,31,1,,
"Refined, other Sorts, including Candy : Cane, and Other Sorts",SPICES,1.00,31,1,,
"Refined, or rendered by any process equal thereto; In lumps and loaves : Total of",SUGAR,1.00,30,1,,
Genève,SPIRITS,1.00,30,1,,
"SPECIMENS illustrative of NATURAL SCIENCE, not otherwise enumerated","SILVER ORE, or Ore of which the greater part in Value is Silver",0.52,29,2,,
Other Kinds and Wool Flocks,Wool,0.72,29,2,yes,
"Unenumerated, Sweetened or Mixed (Tested) : Not tested, for ascertaining the strength",SPIRITS,0.62,29,2,,
BONES (except Whalefins): Applicable to Manufacturing Purposes,BEADS OF ALL SORTS,0.69,29,2,,
COCHINEAL (including Granilla and Dust),"CHEMICAL MANUFACTURES and PRODUCTS, Unenumerated",0.75,28,3,,
Manufactured : Other Sorts (including Cigarettes),COFFEE,0.50,28,3,,
Spanish Possessions,DYE WOODS,1.00,28,1,,
Furniture and Hardwoods : Mahogany,WHALEBONE (Whalefins),1.00,28,1,,
Woollen,Wool,1.00,28,1,yes,
Glucose (Solid and Liquid),SUGAR,1.00,27,1,yes,
Unrefined; Beetroot : Of all Kinds,SUGAR,1.00,27,1,yes,
"NOTE.—The total quantities and value of ""Butterine,"" declared as such, Imported in the year 1885 were",BRISTLES,0.73,26,2,,
"HORNS, Tips and Pieces thereof, and HOOFs",HONEY,1.00,26,1,,
"PERFUMERY, Unenumerated",PARAFFINE,0.56,25,3,,
For Bens,FATHERS,0.52,25,3,,
"BRASS, BRONZE, AND METAL, Bronze and Lacquered",BEEF,1.00,25,1,,
PICKLES AND VEGETABLES preserved in Salt,PAPER,0.84,25,2,,
"Manufactures of, unenumerated ; 
                    (including Copper Coin. to 
                    March)",COPPER,1.00,25,1,,
"Rockets and other Combustibles for purposes of War, Explosives, Percussion Caps, and Ammun- ition unenumerated",ARMS AND AMMUNITION,1.00,25,1,,
Unrefined; Beetroot : Cane and other sorts,SUGAR,1.00,25,1,,
Not Rough nor in the Husk,Rough and in the Husk,0.50,24,3,yes,
"Cannon and Mortars, mounted or accompanied with Carriages","ARMS, AMMUNITION, and MILITARY STORES",0.92,24,3,,
Imitation (including all kinds of Artificial or Imitation Lard),CHEESE,0.88,24,2,yes,
Furniture Woods and Hardwoods : Unenumerated,WOOD and TIMBER,1.00,24,1,yes,
Cigars'd),TOBACCO,0.67,24,2,,
Preserved : Mutton,"MEAT, Unenumerated",0.50,24,2,,
"White, in Bottles : Sparkling : Moselle",TOBACCO,0.50,24,3,,
"Rockets and other Combustibles   for purposes of War, Explosives,   Percussion Caps, and Ammu-   nition unenumerated",AMMUNITION,0.54,24,2,,
HORS,HATS OR BONNETS,1.00,24,1,,
SULPHURIC,ETHER,1.00,24,1,yes,
"HORNS, Tips and Pieces of Horn, and HOOKS",HONEY,1.00,24,1,,
"Dried, not otherwise described",FRUIT,1.00,23,1,,
WATCHES,TIN,0.61,23,3,,
"Rockets and other Combustibles for purposes of War; Explosives, Perussion Caps, and Ammun- ition unenumerated",ARMS AND AMMUNITION,1.00,23,1,,
COCO A,CHLOROFORM,1.00,23,1,,
"Brown or Waste, or any other sort un-     enumerated",PAPER,1.00,23,1,,
Figs,FRUIT,1.00,23,1,,
"SILK MANUFACTURESRibbons, other Kinds",SILK,1.00,23,1,,
Flint Glass,GLASS,1.00,22,1,,
"Iron and Steel, Unwrought",IRON and STEEL,1.00,22,1,yes,
Furniture Hardwoods and Veneers : Mahogany,WOOD and TIMBER,1.00,22,1,,
Cocoa-nut,OIL,1.00,22,1,yes,
LACE and Articles thereof,IVORY,0.82,22,2,,
Salting,"MEAT, Unenumerated",1.00,22,1,yes,
Mohair,WOOL,0.50,22,2,yes,
"MEAT, UnenumeratedPreserved, otherwise than by Salting","MEAT, Unenumerated",1.00,22,1,,
Pea Meal,Corn and Grain,0.52,21,5,,
VALUE of ARTICLES Imported by PARCEL POST,ZINC,1.00,21,1,,
"Shell Fish, Oysterst",FISH (including Turtle),1.00,21,1,,
"Perfumed Spirits (including Water Cologne) : Unenumerated, including Shrub",FRUIT,1.00,20,1,,
Printed,PAPER,1.00,20,1,yes,
Manufactured : Cavendish or Negrohead,SPIRITS,0.50,20,3,,
"EXTRACTS, of other Sorts, un- enumerated",EMBROIDERY and NEEDLEWORK,1.00,20,1,,
"PLATE OF SILVER, Gilt or Ungilt","PLANTS, SHRUBS, TREES, and FLOWER ROOTS",0.50,20,2,,
CUTCH,COTTON MANUFACTURES,1.00,20,1,,
PLATE OF SILVER,PAPER,0.55,20,2,,
SALT,RAGS and other Materials for making Paper,0.84,19,2,,
"ONE, Unenumerated","ONIONS, Raw",1.00,19,1,,
"Unenumerated, Wrought or Manu- factured : Old, fit only to be re-manufac- tured",METAL,1.00,19,1,,
"Unenumerated, or where of Leather   is the most valuable part",LEATHER MANUFACTURES,1.00,18,1,,
PLATE OF GOLD,"PLANTS, SHRUBS, TREES, and FLOWER ROOTS",0.83,18,2,,
"Window Glass (not being Plate Glass), and     German Sheet Glass, including Shades and     Cylinders",GLASS,0.78,18,2,,
LOCUST BEANS,LEATHER,0.50,18,2,,
RICH,"POULTRY and GAME (alive or dead), including Rabbits",1.00,18,1,,
"CHEMICAL MANUFACTURES and PRO- DUCTS, not enumerated, and not chargeable with duty",CHEESE,1.00,17,1,,
In Lumps and Leaves,SUGAR,1.00,17,1,,
Phosphate of Lime and Rook,MANURES,1.00,17,1,,
"FRUITNuts, used as Fruit","FARINACEOUS SUBSTANCES and Manufactures thereof, Unenumerated",1.00,16,1,,
"EARTHENWARE, not being China or Porcelain Ware",COTTON MANUFACTURES,0.56,16,2,,
"HIDE, Dressed or Undressed",HATS OR BONNETS,1.00,16,1,,
"CHEMICAL MANUFACTURES and PRO- DUCTS, not enumerated",CHEESE,1.00,16,1,,
TIN : „ Ore of,TAR,1.00,16,1,,
Turpentine (Oil or Spirit of),OIL,1.00,16,1,yes,
ACETIC,ETHER,0.73,15,3,yes,
EXTRACT OF BARK or other Vegetable Substances to be used in Tanning or Dyeing,BACON and HAMS,0.67,15,2,,
Spruce,BEER AND ALE,1.00,15,1,yes,
Iodide of,BEER AND ALE,0.67,15,2,,
MYRABOLAMS,METAL,0.80,15,2,,
"Unrefined, Total of'd)",SUGAR'd),1.00,15,1,,
LINEN MANUFACTURES,WINDOW GLASS,0.53,15,2,,
Unmanufactured : Manufactured,ZINC,1.00,15,1,,
Safety,"MATCHES, Safety and Other Sorts",0.50,14,2,yes,
"SAUCES OR CONDIMENTS, unenu- merated","RAGS, and other MATERIALS for MAKING PAPER",1.00,14,1,,
"ASPHALT, or BITUMEN JUDAICUM","ARMS, AMMUNITION, and MILITARY STORES",0.57,14,2,,
WHALEBONE,TIN,1.00,14,1,,
QUICKSILVER (Metallic),POTATOES,0.57,14,2,,
Manufacture thereof,PARAFFINE,1.00,14,1,,
"Silk or Satin : Velvet, plain or figured",SILK MANUFACTURES,0.77,13,2,,
Complete,SUGAR,0.62,13,2,,
"Train, or Blubber : Sperm, or Head Matter",Fish,1.00,13,1,,
"METAL"" Wrought or Manufactured",METAL,1.00,13,1,yes,
White: Total of'd),WINE,1.00,13,1,,
For Faney Purposes,WOOLLEN YARN,1.00,13,1,,
WHALEFINS,VARNISH: Not containing Alcohol,0.77,13,2,,
FARINACEOUS SUBSTANCES and Manufactures thereof,EGGS,1.00,13,1,,
"Plums, Dried or Preserved, not otherwise described",FRUIT,1.00,13,1,,
LINEN YARN (including Linen Yarn Waste),LEATHER MANUFACTURES,1.00,13,1,,
MADDER,LEATHER MANUFACTURES,0.58,12,3,,
Ornamental : Herrings,"FARINACEOUS SUBSTANCES and Manufactures thereof, unenumerated",1.00,12,1,,
OIL SEED CAKES,OIL,1.00,12,1,yes,
Broken up or to be Broken up,Cotton,0.50,12,3,,
Leather Manufacturers,Iron,1.00,12,1,,
Pig or Puddled,IRON,1.00,12,1,yes,
CIDER and PERRY,"CHINA or PORCELAIN, and EARTHENWARE",1.00,12,1,,
Boots and Shoes : Gloves,IRON,1.00,12,1,,
Seal : Undressed,"SKINS, FURS, and PELTS",1.00,12,1,,
"Window and German Sheet, includ- ing Shades and Cylinders",GLASS,1.00,12,1,,
"METHYLIC ALCOHOL, not potable",METAL,0.50,12,2,,
"Swords, Cutlasses, Matchets, Bayonets, Gun Barrels, Gun Locks, and Cannon and Mortars of Iron, not mounted nor accompanied with Carriages","ARMS, and AMMUNITION",1.00,12,1,,
Snuff : Cigars,FRUIT,1.00,12,1,,
"Oil, Unenumerated","ONIONS, Raw",1.00,12,1,,
"Art, Works or, other than PICTURES","Cannon and Mortars, mounted or accompanied with Carriages",0.50,12,2,,
Boots and Shoes : Unenumerated,JUTE,1.00,12,1,,
Teak,WOOD and TIMBER,1.00,11,1,yes,
"Unenumerated: Other Sorts, Tanned, Tawed,     or Dressed","SKINS, FURS, and PELTS",1.00,11,1,yes,
Haugings,PAPER,1.00,11,1,,
British Indies,SPIRITS,1.00,11,1,,
"Rockets, and other Combustibles     for purposes of War, Explosives,     Percussion Caps, and Ammun-     tion Unenumerated","ARMS, and AMMUNITION",1.00,11,1,,
"Fish, Train, or Blubber : Sperm, or Head Matter",OIL,1.00,11,1,,
"QUICKSILVER, Metallic",PLUMBAGO,0.55,11,2,,
SALTPETRE (Nitrate of Potash) Cont,SALTPETRE (Nitrate of Potash),1.00,11,1,,
Unenumerated Vegetable Sub-   stances applicable to the same   uses as Flax or Hemp'd),HEMP'd),1.00,11,1,,
"Broad Stuffs : Silk or Satin : Ribbons, Other Kinds",SILK MANUFACTURES,1.00,11,1,,
"Manufactures : Sewing Machines, and Parts thereof",IRON,1.00,11,1,,
"Sowing Machines, and Parts thereof",IRON,1.00,11,1,,
"Bars, Unwrought",Horns,0.50,10,2,,
Parts thereof,SUGAR,0.50,10,2,,
"Fish : Spermaceti, or Head Mutton",OIL,1.00,10,1,,
Champagne : Saumur,TOBACCO,0.50,10,2,,
Rough and in the Husk,RAGS and other Materials for making Paper,0.50,10,2,,
Bean Meal,Corn and Grain,0.70,10,3,,
Tow or Codilla of Hemp,HATS OR BONNETS,0.50,10,2,,
Arabia,FRUIT,1.00,10,1,,
BUTYRIC,ETHER,1.00,10,1,yes,
Spun Silk Yarn,SILK,0.50,10,2,yes,
"Ordnance Stores and Ammunition, Unenumere- rated","ARMS, AMMUNITION, and MILITARY STORES",1.00,10,1,,
"Rockets and other Combustibles for purposes of War and Ammunition, Unenumerated","Cannon and Mortars, mounted or accompanied with Carriages",0.50,10,2,,
"Manufactures, Unenumerated : WASTE",LEATHER MANUFACTURES,1.00,10,1,,
Silk or Satin : Other Kinds,SEEDS,1.00,10,1,,
Cavendish or Negrolhead,SPIRITS,1.00,10,1,,
"Teeth, Elephants', Sea Cow, Sea Horse, or Sea Morsé",IVORY,1.00,10,1,,
"Unenumerated, Wrought or Manu- factured",METAL,1.00,10,1,,
"Goods, Unenumerated:  „ Unmanufactured",ZINC,1.00,10,1,,
Linen and Cotton Rag-,PYRITES of IRON or COPPER or SULPHUR,1.00,10,1,,
"Tow, or Cudilla of",HEMP,1.00,10,1,,
BOXES (except Whalefins),"ART, WORKS OF, other than PICTURES",1.00,10,1,,
"Fresh (not of British taking) : Shell fish, other sorts",FISH (including Turtle),1.00,10,1,,
"In Lumps and Loaves : Other Sorts, including Candy",SUGAR,1.00,9,1,,
"Yarn : Manufactures, including Manu- factures of Linen mixed with Cotton",LINEN,1.00,9,1,,
amelled,"LEATHER, Undressed",1.00,9,1,,
Paste or Chocolate,COCOA,1.00,9,1,yes,
"Steel, Unw ought",IRON,1.00,9,1,,
Fruits,Corn,1.00,8,1,,
Hosiers,COTTON MANUFACTURES,1.00,8,1,,
DIAMONDS,"CHINA, OR PORCELAIN, AND EARTHENWARE",0.62,8,3,,
and Vegetables preserved in Salt,PICKLES,1.00,8,1,,
"Teeth, Elephants, Sea Dogs, Sea     Horse, or Sea Morses",IVORY,1.00,8,1,,
"Gold (other than Iron or Copper), fit only for     re-manufacture",METAL,1.00,8,1,,
CARBURETTE,CANDLES,1.00,8,1,,
MOSS LITTER,METAL,1.00,8,1,,
"Tooth, Elephants', Sea-Dog, Sea Horse, or Sea Morse",IVORY,1.00,8,1,,
Dyes and Dyeing Stuffs,Corn,1.00,8,1,,
"Scld (other than Iron or Copper), fit only for re-manufacture",BELL,1.00,8,1,,
PRINTEs of Iron or Copper,"PRINTS, ENGRAVINGS and PHOTO- GRAPHS",1.00,7,1,,
East Coast of Africa : Total of,SUGAR,1.00,7,1,,
In Jumps and Loaves,SUGAR,1.00,7,1,,
Pease'd),Corn and Grain,1.00,7,1,,
MANGANESE ORE,LEATHER MANUFACTURES,0.86,7,2,,
In Lumpe and Leaves,SUGAR,1.00,7,1,,
WHALEPINS,"SKINS, FURS, and PELTS",1.00,7,1,,
Champagne : Moselle,CHICORY,1.00,7,1,,
"Varnished, Japanned, or En-   umelled",LEATHER,1.00,7,1,,
"Swords, Outlasses, Matchets, Bayonets",ARMS AND AMMUNITION,1.00,7,1,,
"Sheep, Tanned, Tawed, or Dressed","SKINS, FURS, and PELTS",1.00,7,1,yes,
"Varnished, Japanned, or Enamelled : Unenumerated",LACE and Articles thereof,1.00,7,1,,
"Varnished, Japanned, or Enamelled : Gloves",LACE and Articles thereof,1.00,7,1,,
"Shell Fish, Oysters for Food",EGGS,1.00,7,1,,
"SILK, Raw",SILK,1.00,7,1,yes,
"Fresh (not of British taking) : Shell fish, Oysters",FISH (including Turtle),1.00,7,1,,
"Old : Manufactures, Unenumerated",CHEMICAL MANUFACTURES and PRODUCTS,1.00,7,1,,
"Teeth, Elephants', Sea Cow, Sea   Horse, or Sea Morsc",IVORY,1.00,6,1,,
"Ordnance Stores and Ammunition, Unenum- erated","ARMS, AMMUNITION, and MILITARY STORES",1.00,6,1,,
for BENDS,FEATHERS,1.00,6,1,,
Saumur : Moselle,BEER and ALE,1.00,6,1,,
Cocaine,"DYE STUFFS, and Substances used in Tanning",1.00,6,1,,
For the Manufacture of Caffeine,TEA,0.50,6,3,yes,
Hook,WINE,1.00,6,1,,
Ginger'd),"SKINS, FURS, and PELTS",1.00,6,1,,
Burgundy : Moselle,TOBACCO,1.00,6,1,,
"Tooth, Elephants', Sea Cow, Sea Horse, or Sea Morse",IVORY,1.00,6,1,,
Other than Muslims,Corn and Grain,1.00,6,1,,
Champagne : Hock,CHICORY,1.00,6,1,,
L Of all Sorts,"BUTTONS AND STRIPS, not of Metal",1.00,6,1,,
OIL SEED CURE,OIL,1.00,6,1,,
"Ordnance Stores and Ammunition, Unenumerate- rated","ARMS, AMMUNITION, AND MILITARY STORES",1.00,6,1,,
"Swords, Cutlasses, Bayonets, Cannon and Mortars of Iron, and Arms of other Sorts, Unenumerated","ARMS, AMMUNITION, and MILITARY STORES",1.00,6,1,,
Plums (French) and Prunelloces,FRUIT,1.00,6,1,,
"Maddor, Maddor Root, Garancine and Munjeet","DYE STUFFS, and Substances used in Tanning",1.00,6,1,,
"ETHYL, IODIDE OF",ETHER,1.00,5,1,,
EXTRACT of BANK or other Vegetable Substances to be used in Tanning or Dyeing,BANK,1.00,5,1,,
Tow or Cordilla of Hemp,HEMP,1.00,5,1,,
Stalks,TOBACCO,1.00,5,1,yes,
Sunnach,"DYE STUFFS, and Substances used in Tanning",1.00,5,1,,
"Madder, Madder Root, Guaiacine and Munjeet","DYE STUFFS, and Substances used in Tanning",1.00,5,1,,
"BUTTONS and STRAPS, not of Metal",BUTTER,1.00,5,1,,
Saumur : Hock,BEER and ALE,1.00,5,1,,
Shumiach,"DYE STUFFS, and Substances used in Tanning",1.00,5,1,,
Mum,BEER AND ALE,1.00,5,1,yes,
PRATES of Iron or Copper,"PRINTS, ENGRAVINGS and PHOTO- GRAPHS",1.00,5,1,,
"Old, fit only for remanufacture",COPPER,1.00,5,1,,
Horses : Geldings,"ANIMALS, LIVING",1.00,5,1,yes,
Burgundy : Hock,TOBACCO,1.00,5,1,,
Cocchineal,"DYE STUFFS, and Substances used in 
          Tanning",1.00,5,1,,
"BUTTONS and SRUNGS, not of Metal",BUTTER,1.00,5,1,,
Bean Meal and Pea Meal,Meal and Flour,1.00,5,1,yes,
PRECIOUS STONES (Unset),PORK,1.00,5,1,,
HORN,HATS OR BONNETS,1.00,5,1,,
"YARN, Dried",WOOLLEN MANUFACTURES,1.00,5,1,,
"BURTONS AND STUNS, not of Metal",BEEF,1.00,5,1,,
"BUTTONS AND STUNS, not of Metal",BEEF,1.00,5,1,,
"Madder, Madder Root, Guancine and Munjeet","DYE STUFFS, and Substances used in Tanning",1.00,5,1,,
"CHICORY, Raw or Kiln-dried","CARDS, PLAYING",1.00,4,1,,
"CORK, UNMANUFACTURED","CORDAGE, TWINE, and CABLE YARN",1.00,4,1,,
"Unenumerated, not being Furs, Tanned, Tawed, or Dressed","SKINS, FURS, AND PELTS",1.00,4,1,yes,
"Cocoa or Chocolate, ground, prepared or in anyway manufactured",COCOA,1.00,4,1,yes,
"Manufactures : Girders, Beams and Pillars",IRON,1.00,4,1,yes,
Total from British East Indies,PARAFFINE,1.00,4,1,,
PRINTS and ENGRAVINGS,PORK,1.00,4,1,,
"CURCORY, Raw or Kiln-dried",BEER AND ALE,1.00,4,1,,
SUGARS (including all Fruits and Vegetables preserved in Sugar),STATIONERY other than PAPER,1.00,4,1,,
"NAPHTHA, purified, so as to be potable",FRUIT,1.00,4,1,,
"MILK AND CREAM, FRESH",Beef,1.00,4,1,,
"CHUCORY, Raw or Kiln-dried","CARDS, PLAYING",1.00,4,1,,
Kowzie,GUM,1.00,3,1,,
Rye meal,Meal and Flour,0.67,3,2,yes,
"COALS, CULM, or CINDERS",CHEMICAL MANUFACTURES and PRODUCTS,1.00,3,1,,
Champagne : Burgundy,CHICORY,1.00,3,1,,
Malt and Spruce,BEER and ALE,1.00,3,1,,
"COALS, OULM, and CINDERS","CLOCKS, and PARTS THEREOF",1.00,3,1,,
"Unenumerated; Unwrought : Old, fit only to be re-manufactured","MEAT, Unenumerated",1.00,3,1,,
CUTTH,COTTON MANUFACTURES,1.00,3,1,,
Plums (French) and Prunellocs,BEER and ALE,1.00,3,1,,
Saumur : Burgundy,BEER and ALE,1.00,3,1,,
"SHIPS, FOREIGN, wrecked, broken up, or to be broken up",Cotton,1.00,3,1,,
COLLODIEN,COFFEE,1.00,3,1,,
OIL SEED CARK,OIL,1.00,3,1,,
Pâte or Chocolate,COCOA,1.00,3,1,,
ARTIFICIAL,CHEESE,1.00,3,1,,
GUTH,COTTON MANUFACTURES,1.00,3,1,,
Hides,Corn,1.00,3,1,,
"Hides, Untanned",Corn,1.00,3,1,,
PICKLES,PETROLEUM,1.00,3,1,,
"TUSK, Elephants, Sea Cow, and Sea Horse",STATIONERY other than PAPER,1.00,3,1,,
Curants,FRUIT,1.00,3,1,,
HAIR MANUFACTURES,HAIR,1.00,2,1,yes,
Manufactured : Snuff,SPIRITS,0.50,2,2,,
Not otherwise described,Toys,0.50,2,2,,
"METAL, BELL",LEATHER MANUFACTURES,1.00,2,1,,
Fir : Unenumerated,WOOD AND TIMBER,1.00,2,1,yes,
"Shell Fish, Oysters for Breeding Purposes",EGGS,1.00,2,1,,
FLINT,GALLS,1.00,2,1,,
Snuff : Cavendish or Negrohead,FRUIT,1.00,2,1,,
"Cannon and Mortars, of Brass, not mounted or accompanied with Carriages","ARMS, AMMUNITION, and MILITARY STORES",1.00,2,1,,
BEADS (Coin),BARK,1.00,2,1,,
"GUNSTOCKS in the rough, of Wood",GUM,1.00,1,1,,
"DYE STUFFS, and Substances used in Tanning, Unenumerated",COTTON MANUFACTURES,1.00,1,1,,
"COTTON YARN, and WASTE OF",Meal and Flour,1.00,1,1,,
"SMIRS, with their Tackle, Apparel, and Furniture",SEEDS,1.00,1,1,,
AETIC,ETHER,1.00,1,1,,
MAFS AND CHANTS,LEATHER MANUFACTURES,1.00,1,1,,
Artificial Cheese),CHEESE,1.00,1,1,,
Bear or Bigg,Corn and Grain,1.00,1,1,,
"VARNISH, Containing Alcohol",TOBACCO,1.00,1,1,,
"ARMS, AND AMMUNITION",ANIMALS LIVING,1.00,1,1,,
LINEN Waste,WINDOW GLASS,1.00,1,1,,
