flow,volume,year,group,article,seq_from,seq_to,to_group,to_article,to_unit,rows,value,canada,primary,method,reference,from_block
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,West Africa,21088,21108,EARTHEN AND CHINA WARE,"Earthenware, Chinaware, Parian, and Porcelain",,5,21372,0,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,South Africa,21113,21244,EARTHEN AND CHINA WARE,"Earthenware, Chinaware, Parian, and Porcelain",,28,476919,130024,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
export_uk,as_1897,1893,EARTHEN AND CHINA WARE,South Africa,21249,21502,"ELECTRIC LIGHTING APPARATUS, or parts thereof (except Steam Engines)",,,51,210588,5137,0,gap,as_1892,"EARTHEN AND CHINA WARE/Red Pottery and Brown Stone Ware, and Clay Manufactures (except Bricks)"
export_uk,as_1897,1893,"FURNITURE (Household), Cabinet and Upholstery Wares",West Africa,22347,22412,GLASS,,,14,29028,0,0,gapx5,as_1896,"FURNITURE (Household), Cabinet and Upholstery Wares/"
export_uk,as_1897,1893,"FURNITURE (Household), Cabinet and Upholstery Wares",South Africa,22417,22498,GLASS,,,17,51651,19114,0,gapx5,as_1896,"FURNITURE (Household), Cabinet and Upholstery Wares/"
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,Dutch,28499,28639,INSTRUMENTS AND APPARATUS,"Surgical, Anatomical, and Scientific",,29,684095,0,0,continuation~x3,as_1896,IMPLEMENTS AND TOOLS/Dutch
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,West Africa,28644,28659,INSTRUMENTS AND APPARATUS,"Surgical, Anatomical, and Scientific",,4,13664,0,0,continuation~x3,as_1896,IMPLEMENTS AND TOOLS/Dutch
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,28664,28669,INSTRUMENTS AND APPARATUS,"Surgical, Anatomical, and Scientific",,2,235049,0,0,continuation~x3,as_1896,IMPLEMENTS AND TOOLS/Dutch
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,East Africa,28674,28684,INSTRUMENTS AND APPARATUS,"Surgical, Anatomical, and Scientific",,3,8299,0,0,continuation~x3,as_1896,IMPLEMENTS AND TOOLS/Dutch
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,South Africa,26768,26795,IRON,Puddled and Puddled Bars,Tons,6,15777,14314,0,gapx6,as_1896,"Iron/Iron, Pig"
export_uk,as_1897,1893,IMPLEMENTS AND TOOLS,Railroad — Rails (Iron and Steel),27623,27699,IRON,Railroad—Chairs and Sleepers,Tons,15,277199,0,0,gap,as_1896,Iron/Railroad — Rails (Iron and Steel)
