volume,year,flow,article_group,article,country_raw,old_value,new_value,raw_cell,witnesses
as_1898,1895,import,POTATOES,,Norway,272.0,5727.0,"2,72","obs:as_1895=5,727"
as_1898,1894,import,POTATOES,,Holland,4177.0,71560.0,"41,77","obs:as_1894=71,560"
as_1898,1895,import,POTATOES,,Holland,20322.0,51919.0,"203,22","obs:as_1895=51,919"
as_1898,1898,export_uk,ALKALI,,Portugal,1368.0,13608.0,"13,68","inf:as_1899=13,608; obs:as_1899=13,608"
as_1898,1898,export_uk,ALKALI,,Spain,10763.0,107063.0,"107,63","inf:as_1899=107,063; obs:as_1899=107,063"
as_1898,1898,export_uk,"ARMS, AMMUNITION, &c.","Cannon, Mortars, and Machine Guns",Germany,139.0,3050.0,"1,39","obs:as_1899=3,050"
as_1898,1898,export_uk,"ARMS, AMMUNITION, &c.","Cannon, Mortars, and Machine Guns",Belgium,13222.0,130121.0,"132,22","obs:as_1899=130,121"
as_1898,1898,export_uk,"ARMS, AMMUNITION, &c.","Cannon, Mortars, and Machine Guns",Spain,1522.0,15221.0,"15,22","obs:as_1899=15,221"
as_1898,1898,export_uk,"ARMS, AMMUNITION, &c.","Cannon, Mortars, and Machine Guns",Roumania,647.0,6400.0,"6,47","obs:as_1899=6,400"
as_1898,1898,export_uk,"ARMS, AMMUNITION, &c.","Cannon, Mortars, and Machine Guns",Egypt,1392.0,13602.0,"13,92","obs:as_1899=13,602"
as_1898,1898,export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",West Africa,East Africa: Portuguese Possessions,125.0,4249.0,"1,25","obs:as_1899=4,249"
as_1898,1898,export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",Australia,Morocco,2372.0,28700.0,"23,72","obs~as_1899=28,700"
as_1898,1898,export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",West Africa,Cape of Good Hope,3245.0,23098.0,"32,45","obs:as_1899=23,098"
as_1898,1898,export_uk,"BRASS, AND MANUFACTURES OF, not being Ordnance",West Africa,Natal,2123.0,9531.0,"21,23","obs:as_1899=9,531"
as_1898,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Republic of Colombia,164.0,1406.0,"1,64","obs:as_1899=1,406"
as_1898,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Peru,122.0,4256.0,"1,22","obs:as_1899=4,256"
as_1898,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Chile,1193.0,11995.0,"11,93","obs:as_1899=11,995"
as_1898,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",West Africa,Argentine Republic,2121.0,34561.0,"21,21","obs:as_1899=34,561"
as_1898,1898,export_uk,"CORDAGE, CABLES, ROPES, AND TWINE, of Hemp or like Material",East Africa,British East Indies : Hong Kong,306.0,3608.0,"3,06","obs:as_1899=3,608"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Bombay,3335.0,33375.0,"33,35","obs:as_1899=33,375"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Madras,1453.0,11034.0,"14,53","obs:as_1899=11,034"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Bengal,2323.0,25343.0,"23,23","obs:as_1899=25,343"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : British-Burmah,975.0,9615.0,"9,75","obs:as_1899=9,615"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Straits Settlements,1222.0,12515.0,"12,22","obs:as_1899=12,515"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Ceylon,1793.0,17934.0,"17,93","obs:as_1899=17,934"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British East Indies : Hong Kong,515.0,8434.0,"5,15","obs:as_1899=8,434"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : West Australia,1723.0,17005.0,"17,23","obs:as_1899=17,005"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : South Australia,3221.0,33361.0,"32,21","obs:as_1899=33,361"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : Victoria,12377.0,133717.0,"123,77","obs:as_1899=133,717"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : New South Wales,13222.0,133392.0,"132,22","obs:as_1899=133,392"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : Queensland,257.0,33607.0,"25,7","obs:as_1899=33,607"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : Tasmania,1459.0,14490.0,"14,59","obs:as_1899=14,490"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Australasia : New Zealand,11553.0,115743.0,"115,53","obs:as_1899=115,743"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Canada,12344.0,133411.0,"123,44","obs:as_1899=133,411"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Newfoundland,925.0,8267.0,"9,25","obs:as_1899=8,267"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,British West India Islands,7961.0,70924.0,"79,61","obs:as_1899=70,924"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Guiana,1493.0,14005.0,"14,93","obs:as_1899=14,005"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Sweden,3312.0,29150.0,"33,12","obs:as_1899=29,150"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Norway,2229.0,22599.0,"22,29","obs:as_1899=22,599"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Denmark,1834.0,18634.0,"18,34","obs:as_1899=18,634"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Germany,12929.0,123539.0,"129,29","obs:as_1899=123,539"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Holland,10662.0,106952.0,"106,62","obs:as_1899=106,952"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Belgium,8422.0,83730.0,"84,22","obs:as_1899=83,730"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,France,5202.0,52062.0,"52,02","obs:as_1899=52,062"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Spain,2237.0,22572.0,"22,37","obs:as_1899=22,572"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Italy,1167.0,11697.0,"11,67","obs:as_1899=11,697"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Austrian Territories,1249.0,12413.0,"12,49","obs:as_1899=12,413"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Greece,452.0,4250.0,"4,52","obs:as_1899=4,250"
as_1898,1898,export_uk,"HABERDASHERY and MILLINERY, including Embroidery and Needle- work",West Africa,Roumania,456.0,4561.0,"4,56","obs:as_1899=4,561"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",British East Indies : Bengal,343.0,5048.0,"3,43","obs:as_1899=5,048"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",British East Indies : British Burmah,142.0,1402.0,"1,42","obs:as_1899=1,402"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",British East Indies : Straits Settlements,176.0,1700.0,"1,76","obs:as_1899=1,700"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",British East Indies : Hong Kong,532.0,5852.0,"5,32","obs:as_1899=5,852"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Australasia : Victoria,154.0,1074.0,"1,54","obs:as_1899=1,074"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Australasia : New South Wales,167.0,1470.0,"1,67","obs:as_1899=1,470"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Australasia : New Zealand,113.0,1120.0,"1,13","obs:as_1899=1,120"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Spain,1242.0,19482.0,"12,42","obs:as_1899=19,482"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Bulgaria,3158.0,31636.0,"31,58","obs:as_1899=31,636"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Roumania,8513.0,85123.0,"85,13","obs:as_1899=85,123"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",East Africa : Portuguese Possessions,5534.0,55844.0,"55,34","obs:as_1899=55,844"
as_1898,1898,export_uk,IMPLEMENTS AND TOOLS,"Iron, Angle, Bolt, and Rod",Mexico,2454.0,21531.0,"24,54","obs:as_1899=21,531"
as_1898,1898,export_uk,LEAD,"Steam Engines, Locomotive",Spain,2521.0,23381.0,"25,21","obs:as_1899=23,381"
as_1898,1898,export_uk,"PAINTERS' COLOURS AND MA- TERIALS, UNENUMERATED","Unenumerated, and Articles of Paper (except Papier Maché)",The Gold Coast,211.0,2474.0,"2,11","obs:as_1899=2,474"
as_1898,1898,export_uk,"PAINTERS' COLOURS AND MA- TERIALS, UNENUMERATED",West Africa,Bermudas,300.0,3601.0,"3,00","obs:as_1899=3,601"
as_1898,1898,export_uk,"PAINTERS' COLOURS AND MA- TERIALS, UNENUMERATED",West Africa,France,723.0,77510.0,"72,3","obs:as_1899=77,510"
as_1898,1898,export_uk,"PAINTERS' COLOURS AND MA- TERIALS, UNENUMERATED",West Africa,Other Foreign Countries,1621.0,18981.0,"16,21","obs:as_1899=18,981"
as_1898,1898,export_uk,Gold,West Africa,Italy,175.0,1738.0,"1,75","inf:as_1899=1,738; obs:as_1899=1,738"
as_1898,1898,export_uk,Gold,West Africa,East Africa: Portuguese Possessions,289.0,2803.0,"2,89","inf:as_1899=2,803"
as_1898,1898,export_uk,Slates,,Germany,11614.0,116181.0,"116,14","obs:as_1899=116,181"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Russia,1551.0,15381.0,"15,51","obs:as_1899=15,381"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Sweden,357.0,3976.0,"3,57","obs:as_1899=3,976"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Norway,372.0,3752.0,"3,72","obs:as_1899=3,752"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Holland,317.0,3107.0,"3,17","obs:as_1899=3,107"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Belgium,259.0,2250.0,"2,59","obs:as_1899=2,250"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",France,596.0,5906.0,"5,96","obs:as_1899=5,906"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",United States of America,3357.0,35975.0,"33,57","obs:as_1899=35,975"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Argentine Republic,157.0,1547.0,"1,57","obs:as_1899=1,547"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Cape of Good Hope,256.0,2306.0,"2,56","obs:as_1899=2,306"
as_1898,1898,export_uk,Slates,"Grindstones, Millstones, and Other Sorts of Stone",Canada,951.0,9051.0,"9,51","obs:as_1899=9,051"
as_1898,1898,export_uk,WOOD AND TIMBER,West Africa,East Africa (British),245.0,2487.0,"2,45","inf~as_1899=2,487"
as_1898,1898,export_uk,WOOD AND TIMBER,West Africa,British East Indies : Ceylon,1155.0,11536.0,"11,55","obs:as_1899=11,536"
as_1898,1898,export_uk,WOOD AND TIMBER,West Africa,Holland,4345.0,44712.0,"43,45","obs:as_1899=44,712"
as_1898,1898,export_uk,WOOD AND TIMBER,West Africa,Spain,2019.0,23549.0,"20,19","obs:as_1899=23,549"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Belgium,1250.0,12520.0,"12,50","obs:as_1899=12,520"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",France,1210.0,12149.0,"12,10","obs:as_1899=12,149"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Portugal,249.0,2049.0,"2,49","obs:as_1899=2,049"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Italy,571.0,5711.0,"5,71","obs:as_1899=5,711"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Java,472.0,4272.0,"4,72","obs:as_1899=4,272"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",China,9452.0,94742.0,"94,52","obs:as_1899=94,742"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Japan,937.0,9317.0,"9,37","obs:as_1899=9,317"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",United States of America,6224.0,63214.0,"62,24","obs:as_1899=63,214"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Mexico,205.0,2096.0,"2,05","obs:as_1899=2,096"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Peru,315.0,3145.0,"3,15","obs:as_1899=3,145"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Uruguay,478.0,2706.0,"4,78","obs:as_1899=2,706"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Argentine Republic,585.0,5535.0,"5,85","obs:as_1899=5,535"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Cape of Good Hope,1727.0,17227.0,"17,27","obs:as_1899=17,227"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",British East Indies,1636.0,16586.0,"16,36","obs:as_1899=16,586"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Hong Kong,3524.0,45304.0,"35,24","obs:as_1899=45,304"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Australasia : West Australia,381.0,3081.0,"3,81","obs:as_1899=3,081"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Australasia : South Australia,503.0,5003.0,"5,03","obs:as_1899=5,003"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Australasia : Victoria,4169.0,41569.0,"41,69","obs:as_1899=41,569"
as_1898,1898,export_uk,WOOD AND TIMBER,"Worsted Stuffs, Dress Goods, Linings, Lastings, &c., all Wool",Australasia : New Zealand,2821.0,26211.0,"28,21","obs:as_1899=26,211"
as_1898,1898,reexport,EGGS,,Holland,607.0,6007.0,"6,07","inf:as_1899=6,007"
as_1898,1898,reexport,EGGS,,Italy,655.0,6808.0,"6,55","inf:as_1899=6,808"
as_1898,1898,reexport,EGGS,,Other Foreign Countries,269.0,1406.0,"2,69","obs:as_1899=1,406"
as_1898,1894,reexport,IRON,"Manufactures of Iron or Steel, Unenumerated",Australasia : South Australia,256.0,2502.0,"2,56","inf:as_1897=2,502; obs:as_1897=2,502"
as_1898,1898,reexport,OILS,"Fish, Train or Blubber",Belgium,33.0,5436.0,"3,3","obs:as_1899=5,436"
as_1898,1898,reexport,OILS,"Fish, Train or Blubber",France,39.0,5445.0,"3,9","obs:as_1899=5,445"
as_1898,1898,reexport,TOBACCO,Manufactured : Cigars,Belgium,458.0,4803.0,"4,58","inf:as_1899=4,803; obs:as_1899=4,803"
as_1899,1898,import,Horse,,Uruguay,172.0,3671.0,"1,72","inf~as_1898=3,671"
as_1899,1897,export_uk,"ARMS, AMMUNITION, &c.",West Africa,Other Territories under British Influence,241.0,2211.0,"2,41","obs:as_1898=2,211"
as_1876,1876,reexport,GUTTA PERCHA,,Manufactures of,52.0,,"5,2",
as_1879,1879,export_uk,"MANURE, Unenumerated",,Spain and Canaries,12188.0,,"121,88",
as_1883,1883,export_uk,LINEN MANUFACTURES,"Plain, Unbleached or Bleached",Sweden and Norway,1541.0,,"15,41",
as_1884,1884,import,FRUIT,"Unenumerated, Preserved without     Sugar",Russia,2420.0,,"24,20",
as_1886,1886,import,SPIRITS,Rum,British Guiana,1743.0,,"174,3",
as_1889,1889,export_uk,LINEN MANUFACTURES,Thread for Sewing,United States of America : Atlantic,131959.0,,"13,1959",
as_1891,1891,reexport,IRON,Manufactures of Unenumerated,Chile,6579.0,,"65,79",
as_1892,1892,reexport,JUTE,,Canada,122.0,,"1,22",
as_1892,1892,import,COCOA,COLLODION,Foreign Countries,302.0,,"3,02",
as_1894,1894,import,SEEDS,"Unenumerated, other sorts",British East Indies : Other British Possessions,1119.0,,"11,19",
as_1895,1895,export_uk,BISCUIT AND BREAD,,British Possessions in South Africa,2952.0,,"29,52",
as_1896,1896,import,TEA,"White, in Casks",British Possessions in South Africa,1122.0,,"11,22",
as_1896,1896,reexport,"MEAT, Unenumerated","Preserved, otherwise than by Salting: Beef",Other Foreign Countries,13133.0,,"131,33",
as_1897,1897,import,LEAD,Pig and Sheet,Canada,5556.0,,"55,56",
as_1897,1897,import,LEAD,"Manufactures, including manu- factures of linen mixed with cotton",Italy,122.0,,"1,22",
as_1897,1897,import,NUTS AND KERNELS,Seed,United States of America : On the Atlantic,15156.0,,"151,56",
as_1897,1897,import,NUTS AND KERNELS,Turpentine,United States of America : On the Atlantic,50396.0,,"503,96",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Germany,1577.0,,"15,77",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",France,4562.0,,"45,62",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Austrian Territories,224.0,,"2,24",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",Japan,422.0,,"4,22",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",United States of America : On the Atlantic,4203.0,,"42,03",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Bombay,124.0,,"1,24",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Madras,729.0,,"7,29",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Straits Settlements,453.0,,"4,53",
as_1897,1897,import,NUTS AND KERNELS,"Chemical, Essential or Perfumed",British East Indies : Ceylon,3791.0,,"37,91",
as_1897,1897,import,POTATOES,,Germany,6736.0,,"67,36",
as_1897,1897,import,POTATOES,,Holland,1554.0,,"15,54",
as_1897,1897,import,POTATOES,,Belgium,1922.0,,"19,22",
as_1897,1897,import,POTATOES,,France,19671.0,,"196,71",
as_1897,1897,import,POTATOES,,Portugal,228.0,,"2,28",
as_1897,1897,import,POTATOES,,Spain,112.0,,"1,12",
as_1897,1897,import,SALTPETRE (Nitrate of Potash),Rape,"Turkey, European",113.0,,"1,13",
as_1897,1895,import,SHELLS of all kinds,"Manufactures of Silk or of Silk mixed with other Materials, unenumerated",Chile,30477.0,,"3,0477",
as_1897,1897,import,SHELLS of all kinds,"Manufactures of Silk or of Silk mixed with other Materials, unenumerated",Chile,35507.0,,"3,5507",
as_1897,1893,import,SHELLS of all kinds,dressed,Canada,19779.0,,"1,9,779",
as_1897,1893,import,SHELLS of all kinds,dressed,Newfoundland,13940.0,,"1,3940",
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",United States of America : Chile,5125.0,,"51,25",
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",British East Indies : Straits Settlements,121715.0,,"1,217,15",
as_1897,1897,import,SLATES,"In Blocks, Ingots, Bars, or Slabs",Australasia : New South Wales,9987.0,,"99,87",
as_1897,1897,import,SPIRITS,Perfumed,Belgium,1262.0,,"12,62",
as_1897,1897,import,SPIRITS,Perfumed,Belgium,11957.0,,"119,57",
as_1897,1897,import,SPIRITS,Perfumed,Java,3259.0,,"32,59",
as_1897,1897,import,SPIRITS,Perfumed,China,5123.0,,"51,23",
as_1897,1897,import,SPIRITS,Perfumed,British East Indies : Bombay and Scinde,164.0,,"1,64",
as_1897,1897,import,TOBACCO,Cigars,United States of America,9024.0,,"90,24",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Belgium,720.0,,"7,20",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",France,102159.0,,"1,021,59",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Portugal,114392.0,,"1,143,92",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Spain,33302.0,,"333,02",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Canary Islands,311.0,,"3,11",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Italy,2158.0,,"21,58",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Turkey,152.0,,"1,52",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",United States of America : On the Atlantic,1235.0,,"12,35",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",On the Pacific,971.0,,"9,71",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",South Australia,2492.0,,"24,92",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Victoria,4348.0,,"43,48",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",New South Wales,173.0,,"1,73",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Holland,22951.0,,"229,51",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Belgium,1157.0,,"11,57",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",France,272934.0,,"2,729,34",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Madeira,3751.0,,"37,51",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",Spain,50877.0,,"508,77",
as_1897,1897,import,TOBACCO,"White, in Bottles, Still : Champagne",On the Pacific,314.0,,"3,14",
as_1897,1894,export_uk,"COAL, CINDERS, &c.",Dutch,Other Dutch Possessions (except Borneo and New Guinea),16313.0,,"163,13",
as_1897,1897,import,NUTS AND KERNELS,Eastern Coast of Africa,United States of America : On the Atlantic,14223.0,,"142,23",
as_1897,1897,export_uk,ALKALI,Dutch,China,102.0,,"1,02",
as_1897,1897,export_uk,ALKALI,Dutch,United States of America : On the Atlantic,41923.0,,"419,23",
as_1897,1897,export_uk,ALKALI,Dutch,United States of America : On the Pacific,2483.0,,"24,83",
as_1897,1897,export_uk,ALKALI,Dutch,Mexico,2328.0,,"23,28",
as_1897,1897,export_uk,"ANIMALS, Living","Bulls, Oxen, Cows, and Calves",Canada,129.0,,"1,29",
as_1897,1897,export_uk,"ANIMALS, Living",Unenumerated,Germany,557.0,,"5,57",
as_1897,1897,export_uk,"ANIMALS, Living",Unenumerated,Belgium,424.0,,"4,24",
as_1897,1897,export_uk,APPAREL AND SLOPS,West Africa,Compo Free State,312.0,,"3,12",
as_1897,1897,export_uk,APPAREL AND SLOPS,West Africa,Malaccabar,112.0,,"1,12",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,"Spanish, Philippine Islands",123.0,,"1,23",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,China,1236.0,,"12,36",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Islands in the Pacific,427.0,,"4,27",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,United States of America : On the Atlantic,2313.0,,"23,13",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,United States of America : On the Pacific,123.0,,"1,23",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,United States of America : Danish West India Islands,252.0,,"2,52",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Mexico,625.0,,"6,25",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Guatemala,243.0,,"2,43",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,San Salvador,254.0,,"2,54",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Nicaragua,123.0,,"1,23",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Costa Rica,724.0,,"7,24",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Republic of Colombia,1323.0,,"13,23",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Ecuador,159.0,,"1,59",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Peru,422.0,,"4,22",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Chile,3155.0,,"31,55",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Brazil,2583.0,,"25,83",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Uruguay,370.0,,"3,70",
as_1897,1897,export_uk,APPAREL AND SLOPS,Dutch,Argentine Republic,1214.0,,"12,14",
as_1897,1897,export_uk,"Cycles, and parts thereof",,Russia : Northern Ports,20912.0,,"2,0912",
as_1897,1895,export_uk,EARTHEN AND CHINA WARE,South Africa,Cape of Good Hope,5796.0,,"57,96",
as_1897,1897,export_uk,EARTHEN AND CHINA WARE,South Africa,Gibraltar,1053.0,,"10,53",
as_1897,1897,export_uk,IMPLEMENTS AND TOOLS,South Africa,Cape of Good Hope,312.0,,"3,12",
as_1897,1897,export_uk,IMPLEMENTS AND TOOLS,South Africa,British East Indies : Bombay,553.0,,"5,53",
as_1897,1897,export_uk,IMPLEMENTS AND TOOLS,South Africa,British East Indies : Bengal,593.0,,"5,93",
as_1897,1897,export_uk,IMPLEMENTS AND TOOLS,South Africa,British East Indies : Straits Settlements,273.0,,"2,73",
