measure,fiscal_year,country,value,n_attest,n_agree,sources
duty,1874,switzerland,21950.85,4,4,1877;1883;1887;1889
duty,1874,total,14421882.67,5,4,1883;1884;1885;1887;1889
duty,1874,totals,14421882.67,1,1,1877
duty,1874,united states,3695564.03,6,5,1877;1883;1884;1885;1887;1889
duty,1874,west indies,935653.11,5,5,1883;1884;1885;1887;1889
duty,1875,b n a provinces,12584.62,1,1,1877
duty,1875,belgium,42489.19,6,6,1877;1883;1884;1885;1887;1889
duty,1875,british west indies,458433.77,1,1,1877
duty,1875,china and japan,83469.42,6,6,1877;1883;1884;1885;1887;1889
duty,1875,france,604092.47,6,6,1877;1883;1884;1885;1887;1889
duty,1875,french do,12654.99,1,1,1877
duty,1875,germany,173427.65,6,6,1877;1883;1884;1885;1887;1889
duty,1875,great britain,8881997.81,6,5,1877;1883;1884;1885;1887;1889
duty,1875,holland,394017.97,6,5,1877;1883;1884;1885;1887;1889
duty,1875,italy,8502.45,6,6,1877;1883;1884;1885;1887;1889
duty,1875,new foundlnd,12584.62,1,1,1885
duty,1875,newfoundland,12584.62,4,4,1883;1884;1887;1889
duty,1875,other countries,85557.14,6,6,1877;1883;1884;1885;1887;1889
duty,1875,other west india islands,2973.23,1,1,1877
duty,1875,portugal,28421.97,6,6,1877;1883;1884;1885;1887;1889
duty,1875,south america,124963.29,6,6,1877;1883;1884;1885;1887;1889
duty,1875,spain,113599.78,6,6,1877;1883;1884;1885;1887;1889
duty,1875,spanish do,452401.34,1,1,1877
duty,1875,switzer land,20917.93,2,2,1884;1885
duty,1875,switzerland,20917.93,4,4,1877;1883;1887;1889
duty,1875,total,15361382.12,5,4,1883;1884;1885;1887;1889
duty,1875,totals,15361382.12,1,1,1877
duty,1875,united states,3860877.1,6,6,1877;1883;1884;1885;1887;1889
duty,1875,west indies,926463.33,5,5,1883;1884;1885;1887;1889
duty,1876,australia,9.92,1,1,1877
duty,1876,b n a provinces,4890.45,1,1,1877
duty,1876,belgium,61407.14,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,british west indies,335520.49,2,2,1877;1882
duty,1876,china and japan,132042.28,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,france,723368.24,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,french do,6747.09,1,1,1877
duty,1876,french west indies,6747.09,1,1,1882
duty,1876,germany,134282.11,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,great britain,6075759.82,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,holland,459887.63,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,italy,24629.25,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,new foundlnd,4890.45,1,1,1885
duty,1876,newfoundland,4890.45,5,5,1882;1883;1884;1887;1889
duty,1876,other countries,178096.41,7,6,1877;1882;1883;1884;1885;1887;1889
duty,1876,other west india islands,26411.86,2,1,1877;1882
duty,1876,portugal,29302.21,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,south america,120843.58,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,spain,157287.53,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,spanish do,235140.4,1,1,1877
duty,1876,spanish west indies,235140.4,1,1,1882
duty,1876,switzer land,10274.57,2,2,1884;1885
duty,1876,switzerland,10274.57,5,4,1877;1882;1883;1887;1889
duty,1876,total,12833114.48,5,5,1883;1884;1885;1887;1889
duty,1876,totals,12833114.48,2,2,1877;1882
duty,1876,united states,4117223.4,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1876,west indies,603819.86,5,5,1883;1884;1885;1887;1889
duty,1877,b n a provinces,9735.83,1,1,1877
duty,1877,belgium,50106.26,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,british west indies,229042.51,2,2,1877;1882
duty,1877,china and japan,68261.35,7,6,1877;1882;1883;1884;1885;1887;1889
duty,1877,france,480340.56,7,6,1877;1882;1883;1884;1885;1887;1889
duty,1877,french do,1737.14,1,1,1877
duty,1877,french west indies,1737.14,1,1,1882
duty,1877,germany,75762.93,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,great britain,6377596.23,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,holland,316156.0,7,6,1877;1882;1883;1884;1885;1887;1889
duty,1877,italy,15783.1,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,new foundlnd,9735.83,1,1,1885
duty,1877,newfoundland,9735.83,5,5,1882;1883;1884;1887;1889
duty,1877,other countries,178535.96,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,other west india islands,2506.08,2,1,1877;1882
duty,1877,portugal,20322.2,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,south america,1834.11,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,spain,79515.38,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,spanish do,202432.72,1,1,1877
duty,1877,spanish west indies,202432.72,1,1,1882
duty,1877,switzer land,12387.96,2,2,1884;1885
duty,1877,switzerland,12387.96,5,5,1877;1882;1883;1887;1889
duty,1877,total,12548451.09,5,5,1883;1884;1885;1887;1889
duty,1877,totals,12548451.09,2,2,1877;1882
duty,1877,united states,4426394.79,7,7,1877;1882;1883;1884;1885;1887;1889
duty,1877,west indies,435718.43,5,5,1883;1884;1885;1887;1889
duty,1878,belgium,45144.82,6,6,1882;1883;1884;1885;1887;1889
duty,1878,british west indies,185706.5,1,1,1882
duty,1878,china and japan,113447.24,6,5,1882;1883;1884;1885;1887;1889
duty,1878,france,400600.04,6,6,1882;1883;1884;1885;1887;1889
duty,1878,french west indies,2377.69,1,1,1882
duty,1878,germany,79673.1,6,5,1882;1883;1884;1885;1887;1889
duty,1878,great britain,6445985.38,6,6,1882;1883;1884;1885;1887;1889
duty,1878,holland,308153.3,6,6,1882;1883;1884;1885;1887;1889
duty,1878,italy,19652.43,6,6,1882;1883;1884;1885;1887;1889
duty,1878,new foundlnd,4921.23,1,1,1885
duty,1878,newfoundland,4921.23,5,5,1882;1883;1884;1887;1889
duty,1878,other countries,124338.17,6,6,1882;1883;1884;1885;1887;1889
duty,1878,other west india islands,2052.59,1,1,1882
duty,1878,portugal,13452.55,6,6,1882;1883;1884;1885;1887;1889
duty,1878,south america,6874.1,6,6,1882;1883;1884;1885;1887;1889
duty,1878,spain,87755.88,6,6,1882;1883;1884;1885;1887;1889
duty,1878,spanish west indies,151103.5,1,1,1882
duty,1878,switzer land,9855.02,2,2,1884;1885
duty,1878,switzerland,9855.02,4,4,1882;1883;1887;1889
duty,1878,total,12795693.17,5,5,1883;1884;1885;1887;1889
duty,1878,totals,12795693.17,1,1,1882
duty,1878,united states,4794599.63,6,5,1882;1883;1884;1885;1887;1889
duty,1878,west indies,341240.28,5,5,1883;1884;1885;1887;1889
duty,1879,belgium,45107.35,6,6,1882;1883;1884;1885;1887;1889
duty,1879,british west indies,198898.3,1,1,1882
duty,1879,china and japan,127283.34,6,6,1882;1883;1884;1885;1887;1889
duty,1879,france,501747.9,6,5,1882;1883;1884;1885;1887;1889
duty,1879,french west indies,2018.81,1,1,1882
duty,1879,germany,104211.8,6,6,1882;1883;1884;1885;1887;1889
duty,1879,great britain,5561933.02,6,6,1882;1883;1884;1885;1887;1889
duty,1879,holland,329634.07,6,6,1882;1883;1884;1885;1887;1889
duty,1879,italy,19474.58,6,5,1882;1883;1884;1885;1887;1889
duty,1879,new foundlnd,3230.76,1,1,1885
duty,1879,newfoundland,3230.76,5,5,1882;1883;1884;1887;1889
duty,1879,other countries,115349.29,6,6,1882;1883;1884;1885;1887;1889
duty,1879,other west india islands,772.12,1,1,1882
duty,1879,portugal,7970.14,6,6,1882;1883;1884;1885;1887;1889
duty,1879,south america,2591.84,6,6,1882;1883;1884;1885;1887;1889
duty,1879,spain,120385.81,6,6,1882;1883;1884;1885;1887;1889
duty,1879,spanish west indies,253183.35,1,1,1882
duty,1879,switzer land,16597.54,2,2,1884;1885
duty,1879,switzerland,16597.54,4,3,1882;1883;1887;1889
duty,1879,total,12939540.66,5,5,1883;1884;1885;1887;1889
duty,1879,totals,12939540.66,1,1,1882
duty,1879,united states,5529150.64,6,6,1882;1883;1884;1885;1887;1889
duty,1879,west indies,454872.58,5,5,1883;1884;1885;1887;1889
duty,1880,belgium,41886.44,6,6,1882;1883;1884;1885;1887;1889
duty,1880,british west indies,451927.36,1,1,1882
duty,1880,china and japan,207920.61,6,6,1882;1883;1884;1885;1887;1889
duty,1880,france,427937.89,6,5,1882;1883;1884;1885;1887;1889
duty,1880,french west indies,1897.78,1,1,1882
duty,1880,germany,103156.82,6,6,1882;1883;1884;1885;1887;1889
duty,1880,great britain,6737997.05,6,6,1882;1883;1884;1885;1887;1889
duty,1880,holland,301570.5,6,5,1882;1883;1884;1885;1887;1889
duty,1880,italy,30031.12,6,5,1882;1883;1884;1885;1887;1889
duty,1880,new foundlnd,3168.49,1,1,1885
duty,1880,newfoundland,3168.48,5,4,1882;1883;1884;1887;1889
duty,1880,other countries,156016.88,6,6,1882;1883;1884;1885;1887;1889
duty,1880,other west india islands,949.86,1,1,1882
duty,1880,portugal,14935.79,6,6,1882;1883;1884;1885;1887;1889
duty,1880,south america,161936.81,6,6,1882;1883;1884;1885;1887;1889
duty,1880,spain,106720.56,6,5,1882;1883;1884;1885;1887;1889
duty,1880,spanish west indies,847720.0,1,1,1882
duty,1880,switzer land,18764.19,2,2,1884;1885
duty,1880,switzerland,18764.19,4,4,1882;1883;1887;1889
duty,1880,total,14138849.22,5,4,1883;1884;1885;1887;1889
duty,1880,totals,14138849.22,1,1,1882
duty,1880,united states,4521311.08,6,6,1882;1883;1884;1885;1887;1889
duty,1880,west indies,1305495.0,5,5,1883;1884;1885;1887;1889
duty,1881,belgium,90250.84,6,6,1882;1883;1884;1885;1887;1889
duty,1881,british west indies,718567.09,1,1,1882
duty,1881,china and japan,348466.71,6,6,1882;1883;1884;1885;1887;1889
duty,1881,france,597948.79,6,6,1882;1883;1884;1885;1887;1889
duty,1881,french west indies,2137.73,1,1,1882
duty,1881,germany,215108.04,6,6,1882;1883;1884;1885;1887;1889
duty,1881,great britain,8772949.97,6,6,1882;1883;1884;1885;1887;1889
duty,1881,holland,372335.63,6,6,1882;1883;1884;1885;1887;1889
duty,1881,italy,40956.25,6,6,1882;1883;1884;1885;1887;1889
duty,1881,new foundlnd,3251.22,1,1,1885
duty,1881,newfoundland,3251.22,5,5,1882;1883;1884;1887;1889
duty,1881,other countries,311133.47,6,6,1882;1883;1884;1885;1887;1889
duty,1881,other west india islands,369.49,1,1,1882
duty,1881,portugal,25307.99,6,6,1882;1883;1884;1885;1887;1889
duty,1881,south america,280009.74,6,6,1882;1883;1884;1885;1887;1889
duty,1881,spain,167412.55,6,6,1882;1883;1884;1885;1887;1889
duty,1881,spanish west indies,863547.69,1,1,1882
duty,1881,switzer land,33740.02,2,2,1884;1885
duty,1881,switzerland,33740.02,4,4,1882;1883;1887;1889
duty,1881,total,18500785.97,5,5,1883;1884;1885;1887;1889
duty,1881,totals,18500785.97,1,1,1882
duty,1881,united states,5657292.75,6,6,1882;1883;1884;1885;1887;1889
duty,1881,west indies,1584622.0,5,4,1883;1884;1885;1887;1889
duty,1882,belgium,119492.16,6,5,1882;1883;1884;1885;1887;1889
duty,1882,british west indies,662514.52,1,1,1882
duty,1882,china and japan,178499.4,6,6,1882;1883;1884;1885;1887;1889
duty,1882,france,742774.93,6,6,1882;1883;1884;1885;1887;1889
duty,1882,french west indies,9255.05,1,1,1882
duty,1882,germany,338691.39,6,6,1882;1883;1884;1885;1887;1889
duty,1882,great britain,10011811.0,6,5,1882;1883;1884;1885;1887;1889
duty,1882,holland,420607.91,6,5,1882;1883;1884;1885;1887;1889
duty,1882,italy,34283.98,6,6,1882;1883;1884;1885;1887;1889
duty,1882,new foundlnd,1781.73,1,1,1885
duty,1882,newfoundland,1781.73,5,5,1882;1883;1884;1887;1889
duty,1882,other countries,352318.25,6,6,1882;1883;1884;1885;1887;1889
duty,1882,other west india islands,384.46,1,1,1882
duty,1882,portugal,29105.63,5,4,1882;1884;1885;1887;1889
duty,1882,south america,504255.74,6,6,1882;1883;1884;1885;1887;1889
duty,1882,spain,210766.86,6,6,1882;1883;1884;1885;1887;1889
duty,1882,spanish west indies,913791.41,1,1,1882
duty,1882,switzer land,65780.72,2,2,1884;1885
duty,1882,switzerland,65780.72,4,4,1882;1883;1887;1889
duty,1882,total,21708837.43,5,5,1883;1884;1885;1887;1889
duty,1882,totals,21708837.43,1,1,1882
duty,1882,united states,7082722.29,6,6,1882;1883;1884;1885;1887;1889
duty,1882,west indies,1615945.44,5,5,1883;1884;1885;1887;1889
duty,1883,belgium,106234.5,5,5,1883;1884;1885;1887;1889
duty,1883,china and japan,157516.29,5,5,1883;1884;1885;1887;1889
duty,1883,france,824963.17,5,5,1883;1884;1885;1887;1889
duty,1883,germany,388556.85,5,5,1883;1884;1885;1887;1889
duty,1883,great britain,9897785.16,5,5,1883;1884;1885;1887;1889
duty,1883,holland,535741.81,5,5,1883;1884;1885;1887;1889
duty,1883,italy,44340.03,5,5,1883;1884;1885;1887;1889
duty,1883,new foundlnd,7365.17,1,1,1885
duty,1883,newfoundland,7365.17,4,4,1883;1884;1887;1889
duty,1883,other countries,239042.13,5,5,1883;1884;1885;1887;1889
duty,1883,portugal,34135.5,5,4,1883;1884;1885;1887;1889
duty,1883,south america,692562.12,5,5,1883;1884;1885;1887;1889
duty,1883,spain,231866.95,5,5,1883;1884;1885;1887;1889
duty,1883,switzer land,83492.95,2,2,1884;1885
duty,1883,switzerland,83492.95,3,3,1883;1887;1889
duty,1883,total,23172308.97,5,5,1883;1884;1885;1887;1889
duty,1883,united states,8158023.35,5,5,1883;1884;1885;1887;1889
duty,1883,west indies,1770682.99,5,4,1883;1884;1885;1887;1889
duty,1884,belgium,103953.96,4,4,1884;1885;1887;1889
duty,1884,china and japan,273708.37,4,4,1884;1885;1887;1889
duty,1884,france,645152.71,4,4,1884;1885;1887;1889
duty,1884,germany,554181.88,4,4,1884;1885;1887;1889
duty,1884,great britain,8001370.74,4,4,1884;1885;1887;1889
duty,1884,holland,493807.39,4,4,1884;1885;1887;1889
duty,1884,italy,32186.8,4,4,1884;1885;1887;1889
duty,1884,new foundlnd,4158.34,1,1,1885
duty,1884,newfoundland,4158.34,3,3,1884;1887;1889
duty,1884,other countries,265210.23,4,4,1884;1885;1887;1889
duty,1884,portugal,34228.8,4,4,1884;1885;1887;1889
duty,1884,south america,688702.68,4,4,1884;1885;1887;1889
duty,1884,spain,192946.21,4,4,1884;1885;1887;1889
duty,1884,switzer land,56966.92,2,2,1884;1885
duty,1884,switzerland,56966.92,2,2,1887;1889
duty,1884,total,20164963.37,4,4,1884;1885;1887;1889
duty,1884,united states,7420461.79,4,4,1884;1885;1887;1889
duty,1884,west indies,1397926.55,4,4,1884;1885;1887;1889
duty,1885,belgium,121660.61,3,3,1885;1887;1889
duty,1885,china and japan,450153.25,3,3,1885;1887;1889
duty,1885,france,650515.29,3,3,1885;1887;1889
duty,1885,germany,572947.91,3,3,1885;1887;1889
duty,1885,great britain,7617249.45,3,3,1885;1887;1889
duty,1885,holland,521318.2,3,3,1885;1887;1889
duty,1885,italy,33380.25,3,3,1885;1887;1889
duty,1885,new foundlnd,2268.61,1,1,1885
duty,1885,newfoundland,2268.61,2,2,1887;1889
duty,1885,other countries,308698.01,3,3,1885;1887;1889
duty,1885,portugal,29345.65,3,3,1885;1887;1889
duty,1885,south america,655708.66,3,3,1885;1887;1889
duty,1885,spain,154680.24,3,3,1885;1887;1889
duty,1885,switzer land,51863.04,1,1,1885
duty,1885,switzerland,51863.04,2,2,1887;1889
duty,1885,total,19133558.99,3,3,1885;1887;1889
duty,1885,united states,6636405.83,3,3,1885;1887;1889
duty,1885,west indies,1327363.99,3,3,1885;1887;1889
duty,1886,belgium,132116.62,2,2,1887;1889
duty,1886,china and japan,148098.67,2,2,1887;1889
duty,1886,france,735666.52,2,2,1887;1889
duty,1886,germany,588168.44,2,2,1887;1889
duty,1886,great britain,7817337.45,2,1,1887;1889
duty,1886,holland,602570.19,2,2,1887;1889
duty,1886,italy,35667.84,2,2,1887;1889
duty,1886,newfoundland,2467.99,2,2,1887;1889
duty,1886,other countries,478033.91,2,2,1887;1889
duty,1886,portugal,30510.74,2,2,1887;1889
duty,1886,south america,503735.53,2,2,1887;1889
duty,1886,spain,150268.47,2,2,1887;1889
duty,1886,switzerland,49052.66,2,2,1887;1889
duty,1886,total,19448123.7,2,2,1887;1889
duty,1886,united states,6790080.76,2,2,1887;1889
duty,1886,west indies,1384327.91,2,2,1887;1889
duty,1887,belgium,166445.16,2,2,1887;1889
duty,1887,china and japan,222799.93,2,2,1887;1889
duty,1887,france,699840.07,2,2,1887;1889
duty,1887,germany,1190267.3,2,2,1887;1889
duty,1887,great britain,9318920.08,2,2,1887;1889
duty,1887,holland,623894.26,2,2,1887;1889
duty,1887,italy,31404.53,2,2,1887;1889
duty,1887,newfoundland,1624.7,2,2,1887;1889
duty,1887,other countries,828686.99,2,2,1887;1889
duty,1887,portugal,33329.81,2,2,1887;1889
duty,1887,south america,848562.83,2,2,1887;1889
duty,1887,spain,176449.17,2,2,1887;1889
duty,1887,switzerland,59393.2,2,2,1887;1889
duty,1887,total,22469705.83,2,2,1887;1889
duty,1887,united states,7299591.68,2,2,1887;1889
duty,1887,west indies,968496.12,2,2,1887;1889
duty,1888,belgium,117228.81,1,1,1889
duty,1888,china and japan,162844.61,1,1,1889
duty,1888,france,796242.7,1,1,1889
duty,1888,germany,1274748.15,1,1,1889
duty,1888,great britain,8972739.84,1,1,1889
duty,1888,holland,704034.95,1,1,1889
duty,1888,italy,42004.78,1,1,1889
duty,1888,newfoundland,3211.68,1,1,1889
duty,1888,other countries,340166.62,1,1,1889
duty,1888,portugal,36621.03,1,1,1889
duty,1888,south america,641854.29,1,1,1889
duty,1888,spain,171790.38,1,1,1889
duty,1888,switzerland,43778.82,1,1,1889
duty,1888,total,22209641.53,1,1,1889
duty,1888,united states,7131006.23,1,1,1889
duty,1888,west indies,1831368.64,1,1,1889
duty,1889,additional duties under sec of vic c,7952.63,1,1,1889
duty,1889,belgium,122116.44,1,1,1889
duty,1889,china and japan,185782.89,1,1,1889
duty,1889,france,854805.0,1,1,1889
duty,1889,germany,1266638.56,1,1,1889
duty,1889,great britain,9450242.7,1,1,1889
duty,1889,holland,756785.84,1,1,1889
duty,1889,italy,32456.7,1,1,1889
duty,1889,newfoundland,1087.36,1,1,1889
duty,1889,other countries,845532.61,1,1,1889
duty,1889,portugal,36895.32,1,1,1889
duty,1889,south america,849431.97,1,1,1889
duty,1889,spain,185969.33,1,1,1889
duty,1889,switzerland,38653.78,1,1,1889
duty,1889,total,23742316.56,1,1,1889
duty,1889,united states,7371148.16,1,1,1889
duty,1889,west indies,1727816.27,1,1,1889
efc,1873,australia,388352,1,1,1877
efc,1873,b n a provinces,1808997,1,1,1877
efc,1873,belgium,346702,6,6,1877;1883;1884;1885;1887;1889
efc,1873,british west indies,964005,1,1,1877
efc,1873,china and japan,1663390,6,6,1877;1883;1884;1885;1887;1889
efc,1873,france,2023288,6,6,1877;1883;1884;1885;1887;1889
efc,1873,french do,43412,1,1,1877
efc,1873,germany,1099925,6,6,1877;1883;1884;1885;1887;1889
efc,1873,great britain,68522776,6,6,1877;1883;1884;1885;1887;1889
efc,1873,holland,216628,6,6,1877;1883;1884;1885;1887;1889
efc,1873,italy,52425,6,6,1877;1883;1884;1885;1887;1889
efc,1873,newfoundland,1808997,5,4,1883;1884;1885;1887;1889
efc,1873,other countries,780222,6,5,1877;1883;1884;1885;1887;1889
efc,1873,other west india islands,24274,1,1,1877
efc,1873,portugal,75032,6,6,1877;1883;1884;1885;1887;1889
efc,1873,south africa,97999,1,1,1877
efc,1873,south america,416199,6,5,1877;1883;1884;1885;1887;1889
efc,1873,spain,477886,6,6,1877;1883;1884;1885;1887;1889
efc,1873,spanish do,1143241,1,1,1877
efc,1873,switzer land,120514,1,1,1883
efc,1873,switzerland,120514,5,5,1877;1884;1885;1887;1889
efc,1873,total,127514594,5,5,1883;1884;1885;1887;1889
efc,1873,totals,127514594,1,1,1877
efc,1873,united states,47735678,6,6,1877;1883;1884;1885;1887;1889
efc,1873,west indies,2174932,5,4,1883;1884;1885;1887;1889
efc,1874,b n a provinces,1088468,1,1,1877
efc,1874,belgium,293659,6,6,1877;1883;1884;1885;1887;1889
efc,1874,british west indies,919517,1,1,1877
efc,1874,china and japan,1224506,6,6,1877;1883;1884;1885;1887;1889
efc,1874,france,2302500,6,6,1877;1883;1884;1885;1887;1889
efc,1874,french do,30502,1,1,1877
efc,1874,germany,956917,6,6,1877;1883;1884;1885;1887;1889
efc,1874,great britain,63076437,6,6,1877;1883;1884;1885;1887;1889
efc,1874,holland,256138,6,6,1877;1883;1884;1885;1887;1889
efc,1874,italy,46085,6,5,1877;1883;1884;1885;1887;1889
efc,1874,newfoundland,1088468,5,4,1883;1884;1885;1887;1889
efc,1874,other countries,396839,6,4,1877;1883;1884;1885;1887;1889
efc,1874,other west india islands,17479,1,1,1877
efc,1874,portugal,100544,6,5,1877;1883;1884;1885;1887;1889
efc,1874,south america,473530,6,6,1877;1883;1884;1885;1887;1889
efc,1874,spain,458067,6,4,1877;1883;1884;1885;1887;1889
efc,1874,spanish do,1340235,1,1,1877
efc,1874,switzer land,139674,1,1,1883
efc,1874,switzerland,139674,5,5,1877;1884;1885;1887;1889
efc,1874,total,127404169,5,4,1883;1884;1885;1887;1889
efc,1874,totals,127404169,1,1,1877
efc,1874,united states,54283072,6,6,1877;1883;1884;1885;1887;1889
efc,1874,west indies,2307733,5,4,1883;1884;1885;1887;1889
efc,1875,australia,373716,2,1,1877;1880
efc,1875,b n a provinces,904224,1,1,1877
efc,1875,belgium,278111,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,british west indies,1023148,3,2,1877;1880
efc,1875,china and japan,657426,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,france,1941298,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,french do,46592,1,1,1877
efc,1875,french west indies,48592,2,1,1880
efc,1875,germany,748423,8,6,1877;1880;1883;1884;1885;1887;1889
efc,1875,great britain,60347067,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,holland,231779,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,italy,43958,8,6,1877;1880;1883;1884;1885;1887;1889
efc,1875,newfoundland,904224,6,6,1880;1883;1884;1885;1887;1889
efc,1875,other countries,621733,7,4,1877;1880;1883;1884;1885;1887;1889
efc,1875,other west india islands,8224,3,2,1877;1880
efc,1875,portugal,66006,8,5,1877;1880;1883;1884;1885;1887;1889
efc,1875,south africa,247617,2,1,1877;1880
efc,1875,south america,278796,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,spain,383484,8,7,1877;1880;1883;1884;1885;1887;1889
efc,1875,spanish do,1116440,1,1,1877
efc,1875,spanish west indies,1116440,2,1,1880
efc,1875,switzer land,116128,1,1,1883
efc,1875,switzerland,116128,7,5,1877;1880;1884;1885;1887;1889
efc,1875,total,119618657,5,5,1883;1884;1885;1887;1889
efc,1875,totals,119618657,3,2,1877;1880
efc,1875,united states,50805820,8,5,1877;1880;1883;1884;1885;1887;1889
efc,1875,west indies,2194404,5,5,1883;1884;1885;1887;1889
efc,1876,australia,290359,1,1,1880
efc,1876,b n a provinces,774586,1,1,1877
efc,1876,belgium,361055,8,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,british west indies,868846,3,3,1877;1880;1882
efc,1876,china and japan,948239,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,france,1840877,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,french do,47158,1,1,1877
efc,1876,french west indies,47158,2,2,1880;1882
efc,1876,germany,482587,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,great britain,40734260,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,holland,267079,8,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,italy,40412,8,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,newfoundland,774586,7,7,1880;1882;1883;1884;1885;1887;1889
efc,1876,other countries,746567,7,5,1877;1882;1883;1884;1885;1887;1889
efc,1876,other west india islands,68969,3,3,1877;1880;1882
efc,1876,portugal,71655,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,south africa,290359,3,1,1877;1880;1882
efc,1876,south america,287553,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,spain,436034,8,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,spanish do,631140,1,1,1877
efc,1876,spanish west indies,631140,2,2,1880;1882
efc,1876,switzer land,56168,1,1,1883
efc,1876,switzerland,56168,7,7,1877;1880;1882;1884;1885;1887;1889
efc,1876,total,94733218,5,5,1883;1884;1885;1887;1889
efc,1876,totals,94733218,3,3,1877;1880;1882
efc,1876,united states,46070033,8,6,1877;1880;1882;1883;1884;1885;1887;1889
efc,1876,west indies,1616113,5,5,1883;1884;1885;1887;1889
efc,1877,australia,97394,1,1,1880
efc,1877,b n a provinces,641642,1,1,1877
efc,1877,belgium,251812,9,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,british west indies,640716,4,3,1877;1880;1882
efc,1877,china and japan,418606,9,6,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,france,1410732,9,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,french do,25023,1,1,1877
efc,1877,french west indies,25022,3,2,1880;1882
efc,1877,germany,370594,9,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,great britain,39572239,9,6,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,holland,202557,9,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,italy,29250,9,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,newfoundland,641642,7,6,1880;1882;1883;1884;1885;1887;1889
efc,1877,other countries,449973,8,5,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,other west india islands,13620,4,2,1877;1880;1882
efc,1877,portugal,45465,9,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,south africa,97394,3,2,1877;1880;1882
efc,1877,south america,4971,9,8,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,spain,278098,9,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,spanish do,563451,1,1,1877
efc,1877,spanish west indies,563451,3,2,1880;1882
efc,1877,switzer land,69066,1,1,1883
efc,1877,switzerland,69066,8,7,1877;1880;1882;1884;1885;1887;1889
efc,1877,total,96300483,5,4,1883;1884;1885;1887;1889
efc,1877,totals,96300483,4,2,1877;1880;1882
efc,1877,united states,51312669,9,7,1877;1880;1882;1883;1884;1885;1887;1889
efc,1877,west indies,1242809,5,5,1883;1884;1885;1887;1889
efc,1878,australia,45019,1,1,1880
efc,1878,belgium,255694,7,6,1880;1882;1883;1884;1885;1887;1889
efc,1878,british west indies,578405,2,2,1880;1882
efc,1878,china and japan,383676,7,7,1880;1882;1883;1884;1885;1887;1889
efc,1878,france,1385003,7,5,1880;1882;1883;1884;1885;1887;1889
efc,1878,french west indies,21686,2,2,1880;1882
efc,1878,germany,399326,7,7,1880;1882;1883;1884;1885;1887;1889
efc,1878,great britain,37431180,7,7,1880;1882;1883;1884;1885;1887;1889
efc,1878,holland,213014,7,7,1880;1882;1883;1884;1885;1887;1889
efc,1878,italy,53310,7,6,1880;1882;1883;1884;1885;1887;1889
efc,1878,newfoundland,672665,7,6,1880;1882;1883;1884;1885;1887;1889
efc,1878,other countries,344154,6,5,1882;1883;1884;1885;1887;1889
