measure,fiscal_year,country,value,source_volume,source_fy,table_seq
aggregate,1875,French do,418069,oocihm.9_08052_11_4,1877,2
aggregate,1876,French do,340153,oocihm.9_08052_11_4,1877,2
aggregate,1877,French do,185234,oocihm.9_08052_11_4,1877,2
aggregate,1873,Other West India Islands,119224,oocihm.9_08052_11_4,1877,2
aggregate,1874,Other West India Islands,163467,oocihm.9_08052_11_4,1877,2
aggregate,1875,Other West India Islands,256279,oocihm.9_08052_11_4,1877,2
aggregate,1876,Other West India Islands,156674,oocihm.9_08052_11_4,1877,2
aggregate,1877,Other West India Islands,163242,oocihm.9_08052_11_4,1877,2
aggregate,1873,South America,1701633,oocihm.9_08052_11_4,1877,2
aggregate,1874,South America,1686508,oocihm.9_08052_11_4,1877,2
aggregate,1875,South America,1064593,oocihm.9_08052_11_4,1877,2
aggregate,1876,South America,975762,oocihm.9_08052_11_4,1877,2
aggregate,1877,South America,656596,oocihm.9_08052_11_4,1877,2
aggregate,1873,China and Japan,1709856,oocihm.9_08052_11_4,1877,2
aggregate,1874,China and Japan,1263728,oocihm.9_08052_11_4,1877,2
aggregate,1875,China and Japan,694472,oocihm.9_08052_11_4,1877,2
aggregate,1876,China and Japan,971314,oocihm.9_08052_11_4,1877,2
aggregate,1877,China and Japan,455755,oocihm.9_08052_11_4,1877,2
aggregate,1873,Switzerland,120514,oocihm.9_08052_11_4,1877,2
aggregate,1874,Switzerland,139674,oocihm.9_08052_11_4,1877,2
aggregate,1875,Switzerland,116128,oocihm.9_08052_11_4,1877,2
aggregate,1876,Switzerland,56168,oocihm.9_08052_11_4,1877,2
aggregate,1877,Switzerland,69066,oocihm.9_08052_11_4,1877,2
aggregate,1873,Australia,430174,oocihm.9_08052_11_4,1877,2
aggregate,1874,Australia,93733,oocihm.9_08052_11_4,1877,2
aggregate,1875,Australia,182338,oocihm.9_08052_11_4,1877,2
aggregate,1876,Australia,79693,oocihm.9_08052_11_4,1877,2
aggregate,1877,Australia,185610,oocihm.9_08052_11_4,1877,2
aggregate,1873,South Africa,102977,oocihm.9_08052_11_4,1877,2
aggregate,1874,South Africa,3316,oocihm.9_08052_11_4,1877,2
aggregate,1875,South Africa,404550,oocihm.9_08052_11_4,1877,2
aggregate,1876,South Africa,314323,oocihm.9_08052_11_4,1877,2
aggregate,1877,South Africa,120564,oocihm.9_08052_11_4,1877,2
aggregate,1873,Other Countries,566847,oocihm.9_08052_11_4,1877,2
aggregate,1874,Other Countries,825694,oocihm.9_08052_11_4,1877,2
aggregate,1875,Other Countries,566194,oocihm.9_08052_11_4,1877,2
aggregate,1876,Other Countries,1370467,oocihm.9_08052_11_4,1877,2
aggregate,1877,Other Countries,1165560,oocihm.9_08052_11_4,1877,2
aggregate,1873,Totals,217304516,oocihm.9_08052_11_4,1877,2
aggregate,1874,Totals,216756097,oocihm.9_08052_11_4,1877,2
aggregate,1875,Totals,197505636,oocihm.9_08052_11_4,1877,2
aggregate,1876,Totals,175699653,oocihm.9_08052_11_4,1877,2
aggregate,1877,Totals,172175876,oocihm.9_08052_11_4,1877,2
exports,1873,Great Britain,38743848,oocihm.9_08052_11_4,1877,3
exports,1874,Great Britain,45003882,oocihm.9_08052_11_4,1877,3
exports,1875,Great Britain,40032902,oocihm.9_08052_11_4,1877,3
exports,1876,Great Britain,40723477,oocihm.9_08052_11_4,1877,3
exports,1877,Great Britain,41567469,oocihm.9_08052_11_4,1877,3
exports,1873,United States,42072526,oocihm.9_08052_11_4,1877,3
exports,1874,United States,36244311,oocihm.9_08052_11_4,1877,3
exports,1875,United States,29911983,oocihm.9_08052_11_4,1877,3
exports,1876,United States,31933459,oocihm.9_08052_11_4,1877,3
exports,1877,United States,25775245,oocihm.9_08052_11_4,1877,3
exports,1873,France,31907,oocihm.9_08052_11_4,1877,3
exports,1874,France,267212,oocihm.9_08052_11_4,1877,3
exports,1875,France,212767,oocihm.9_08052_11_4,1877,3
exports,1876,France,553935,oocihm.9_08052_11_4,1877,3
exports,1877,France,319330,oocihm.9_08052_11_4,1877,3
exports,1873,Germany,76553,oocihm.9_08052_11_4,1877,3
exports,1874,Germany,65511,oocihm.9_08052_11_4,1877,3
exports,1875,Germany,91019,oocihm.9_08052_11_4,1877,3
exports,1876,Germany,125768,oocihm.9_08052_11_4,1877,3
exports,1877,Germany,34324,oocihm.9_08052_11_4,1877,3
exports,1873,Spain,25080,oocihm.9_08052_11_4,1877,3
exports,1874,Spain,960,oocihm.9_08052_11_4,1877,3
exports,1875,Spain,7300,oocihm.9_08052_11_4,1877,3
exports,1876,Spain,9417,oocihm.9_08052_11_4,1877,3
exports,1877,Spain,62659,oocihm.9_08052_11_4,1877,3
exports,1873,Portugal,191156,oocihm.9_08052_11_4,1877,3
exports,1874,Portugal,193463,oocihm.9_08052_11_4,1877,3
exports,1875,Portugal,170784,oocihm.9_08052_11_4,1877,3
exports,1876,Portugal,127540,oocihm.9_08052_11_4,1877,3
exports,1877,Portugal,129960,oocihm.9_08052_11_4,1877,3
exports,1873,Italy,177232,oocihm.9_08052_11_4,1877,3
exports,1874,Italy,190211,oocihm.9_08052_11_4,1877,3
exports,1875,Italy,170408,oocihm.9_08052_11_4,1877,3
exports,1876,Italy,142787,oocihm.9_08052_11_4,1877,3
exports,1877,Italy,213692,oocihm.9_08052_11_4,1877,3
exports,1873,Holland,13142,oocihm.9_08052_11_4,1877,3
exports,1874,Holland,14905,oocihm.9_08052_11_4,1877,3
exports,1875,Holland,28724,oocihm.9_08052_11_4,1877,3
exports,1876,Holland,30816,oocihm.9_08052_11_4,1877,3
exports,1877,Holland,94303,oocihm.9_08052_11_4,1877,3
exports,1873,Belgium,17754,oocihm.9_08052_11_4,1877,3
exports,1874,Belgium,240494,oocihm.9_08052_11_4,1877,3
exports,1875,Belgium,59563,oocihm.9_08052_11_4,1877,3
exports,1876,Belgium,13825,oocihm.9_08052_11_4,1877,3
exports,1877,Belgium,66912,oocihm.9_08052_11_4,1877,3
exports,1873,B. N. A. Provinces,2800555,oocihm.9_08052_11_4,1877,3
exports,1874,B. N. A. Provinces,1569079,oocihm.9_08052_11_4,1877,3
exports,1875,B. N. A. Provinces,1901831,oocihm.9_08052_11_4,1877,3
exports,1876,B. N. A. Provinces,1900891,oocihm.9_08052_11_4,1877,3
exports,1877,B. N. A. Provinces,2112106,oocihm.9_08052_11_4,1877,3
exports,1873,British West Indies,1969543,oocihm.9_08052_11_4,1877,3
exports,1874,British West Indies,1997078,oocihm.9_08052_11_4,1877,3
exports,1875,British West Indies,2283973,oocihm.9_08052_11_4,1877,3
exports,1876,British West Indies,2148491,oocihm.9_08052_11_4,1877,3
exports,1877,British West Indies,2194649,oocihm.9_08052_11_4,1877,3
exports,1873,Spanish do,1624191,oocihm.9_08052_11_4,1877,3
exports,1874,Spanish do,1255121,oocihm.9_08052_11_4,1877,3
exports,1875,Spanish do,1042001,oocihm.9_08052_11_4,1877,3
exports,1876,Spanish do,1146129,oocihm.9_08052_11_4,1877,3
exports,1877,Spanish do,1284375,oocihm.9_08052_11_4,1877,3
exports,1873,French do,299909,oocihm.9_08052_11_4,1877,3
exports,1874,French do,380609,oocihm.9_08052_11_4,1877,3
exports,1875,French do,371477,oocihm.9_08052_11_4,1877,3
exports,1876,French do,292995,oocihm.9_08052_11_4,1877,3
exports,1877,French do,160212,oocihm.9_08052_11_4,1877,3
exports,1873,Other West India Islands,94950,oocihm.9_08052_11_4,1877,3
exports,1874,Other West India Islands,145988,oocihm.9_08052_11_4,1877,3
exports,1875,Other West India Islands,248055,oocihm.9_08052_11_4,1877,3
exports,1876,Other West India Islands,87705,oocihm.9_08052_11_4,1877,3
exports,1877,Other West India Islands,149622,oocihm.9_08052_11_4,1877,3
exports,1873,South America,1285434,oocihm.9_08052_11_4,1877,3
exports,1874,South America,1212978,oocihm.9_08052_11_4,1877,3
exports,1875,South America,785797,oocihm.9_08052_11_4,1877,3
exports,1876,South America,688209,oocihm.9_08052_11_4,1877,3
exports,1877,South America,651625,oocihm.9_08052_11_4,1877,3
exports,1873,China and Japan,46466,oocihm.9_08052_11_4,1877,3
exports,1874,China and Japan,39222,oocihm.9_08052_11_4,1877,3
exports,1875,China and Japan,37046,oocihm.9_08052_11_4,1877,3
exports,1876,China and Japan,23075,oocihm.9_08052_11_4,1877,3
exports,1877,China and Japan,37149,oocihm.9_08052_11_4,1877,3
exports,1873,Australia,41822,oocihm.9_08052_11_4,1877,3
exports,1874,Australia,98733,oocihm.9_08052_11_4,1877,3
exports,1875,Australia,181938,oocihm.9_08052_11_4,1877,3
exports,1876,Australia,79643,oocihm.9_08052_11_4,1877,3
exports,1877,Australia,185610,oocihm.9_08052_11_4,1877,3
exports,1873,South Africa,4978,oocihm.9_08052_11_4,1877,3
exports,1875,South Africa,30834,oocihm.9_08052_11_4,1877,3
exports,1876,South Africa,23964,oocihm.9_08052_11_4,1877,3
exports,1877,South Africa,23170,oocihm.9_08052_11_4,1877,3
exports,1873,Other Countries,272976,oocihm.9_08052_11_4,1877,3
exports,1874,Other Countries,428855,oocihm.9_08052_11_4,1877,3
