year,commodity,country_raw,country_norm,to_location,quantity,unit,value,currency,series,note,is_world,world_rank,value_is_zero,sheet,src_row
1831,Tallow,Russia,russia,United Kingdom,999309.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99423
1831,Tallow,Prussia,prussia,United Kingdom,405.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99424
1831,Tallow,Norway,norway,United Kingdom,118.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99425
1831,Tallow,Turkey,turkey,United Kingdom,9358.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99426
1831,Tallow,Germany,germany,United Kingdom,1005.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99427
1831,Tallow,Portugal,portugal,United Kingdom,843.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99428
1831,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,3009.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99429
1831,Tallow,Malta,malta,United Kingdom,235.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99430
1831,Tallow,St. Helena,st helena,United Kingdom,19.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99431
1831,Tallow,States of the Reo de la Plata,states of the reo de la plata,United Kingdom,2470.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99432
1831,Tallow,Spain and Balearic Islands,spain and balearic islands,United Kingdom,55.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 9.,0,,,Tallow (raw),99433
1832,Tallow,Brazil,brazil,United Kingdom,697.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99434
1832,Tallow,Denmark,denmark,United Kingdom,1947.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99435
1832,Tallow,Italy,italy,United Kingdom,3633.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99436
1832,Tallow,Sweden,sweden,United Kingdom,1544.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99437
1832,Tallow,World,world,United Kingdom,1177814.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,1,1,1,Tallow (raw),99438
1832,Tallow,British North America,british north america,United Kingdom,30.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99439
1832,Tallow,Russia,russia,United Kingdom,1163049.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99440
1832,Tallow,Norway,norway,United Kingdom,932.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99441
1832,Tallow,Spain,spain,United Kingdom,53.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99442
1832,Tallow,United States of America,united states of america,United Kingdom,225.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99443
1832,Tallow,Germany,germany,United Kingdom,369.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99444
1832,Tallow,Portugal,portugal,United Kingdom,308.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99445
1832,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,4574.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99446
1832,Tallow,States of the Reo de la Plata,states of the reo de la plata,United Kingdom,123.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99447
1832,Tallow,Holland and Belgium,holland and belgium,United Kingdom,251.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99448
1832,Tallow,East India Company Territories and Ceylon,east india company territories and ceylon,United Kingdom,71.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99449
1833,Tallow,Brazil,brazil,United Kingdom,6789.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99450
1833,Tallow,Denmark,denmark,United Kingdom,4866.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99451
1833,Tallow,Italy,italy,United Kingdom,2851.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99452
1833,Tallow,Sweden,sweden,United Kingdom,1596.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99453
1833,Tallow,World,world,United Kingdom,1115427.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,1,1,1,Tallow (raw),99454
1833,Tallow,Belgium,belgium,United Kingdom,171.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99455
1833,Tallow,Russia,russia,United Kingdom,1070511.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99456
1833,Tallow,Prussia,prussia,United Kingdom,56.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99457
1833,Tallow,Norway,norway,United Kingdom,21.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99458
1833,Tallow,Spain,spain,United Kingdom,16.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99459
1833,Tallow,Germany,germany,United Kingdom,270.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99460
1833,Tallow,Portugal,portugal,United Kingdom,679.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99461
1833,Tallow,New Zealand,new zealand,United Kingdom,33.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99462
1833,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,8285.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99463
1833,Tallow,Gibraltar,gibraltar,United Kingdom,357.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99464
1833,Tallow,Philippine Islands,philippine islands,United Kingdom,37.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99465
1833,Tallow,States of the Reo de la Plata,states of the reo de la plata,United Kingdom,18774.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99466
1833,Tallow,East India Company Territories and Ceylon,east india company territories and ceylon,United Kingdom,107.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,Small source document error. Off by 8.,0,,,Tallow (raw),99467
1834,Tallow,Brazil,brazil,United Kingdom,6337.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99468
1834,Tallow,Denmark,denmark,United Kingdom,33.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99469
1834,Tallow,France,france,United Kingdom,148.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99470
1834,Tallow,Italy,italy,United Kingdom,5798.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99471
1834,Tallow,Sweden,sweden,United Kingdom,5442.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99472
1834,Tallow,World,world,United Kingdom,1397406.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,1,1,1,Tallow (raw),99473
1834,Tallow,British North America,british north america,United Kingdom,563.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99474
1834,Tallow,Belgium,belgium,United Kingdom,181.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99475
1834,Tallow,Australia,australia,United Kingdom,25.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99476
1834,Tallow,Russia,russia,United Kingdom,1336514.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99477
1834,Tallow,Chili,chili,United Kingdom,5.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99478
1834,Tallow,Egypt ,egypt,United Kingdom,4.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99479
1834,Tallow,United States of America,united states of america,United Kingdom,2163.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99480
1834,Tallow,Turkey,turkey,United Kingdom,5139.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99481
1834,Tallow,Germany,germany,United Kingdom,435.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99482
1834,Tallow,Portugal,portugal,United Kingdom,211.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99483
1834,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,6192.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99484
1834,Tallow,Gibraltar,gibraltar,United Kingdom,58.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99485
1834,Tallow,States of the Reo de la Plata,states of the reo de la plata,United Kingdom,27983.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99486
1834,Tallow,East India Company Territories and Ceylon,east india company territories and ceylon,United Kingdom,119.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99487
1834,Tallow,West Coast of Africa,west coast of africa,United Kingdom,28.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99488
1835,Tallow,Brazil,brazil,United Kingdom,3213.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99489
1835,Tallow,Denmark,denmark,United Kingdom,4264.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99490
1835,Tallow,Holland,holland,United Kingdom,4749.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99491
1835,Tallow,Italy,italy,United Kingdom,7979.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99492
1835,Tallow,Sweden,sweden,United Kingdom,4379.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99493
1835,Tallow,World,world,United Kingdom,1043084.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,1,1,1,Tallow (raw),99494
1835,Tallow,British North America,british north america,United Kingdom,376.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99495
1835,Tallow,Belgium,belgium,United Kingdom,468.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99496
1835,Tallow,Australia,australia,United Kingdom,424.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99497
1835,Tallow,Russia,russia,United Kingdom,983434.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99498
1835,Tallow,Prussia,prussia,United Kingdom,1444.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99499
1835,Tallow,Mauritius,mauritius,United Kingdom,16.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99500
1835,Tallow,Turkey,turkey,United Kingdom,6016.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99501
1835,Tallow,Germany,germany,United Kingdom,1090.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99502
1835,Tallow,Cape of Good Hope,cape of good hope,United Kingdom,3387.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99503
1835,Tallow,Gibraltar,gibraltar,United Kingdom,115.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99504
1835,Tallow,Malta,malta,United Kingdom,292.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99505
1835,Tallow,States of the Reo de la Plata,states of the reo de la plata,United Kingdom,20842.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99506
1835,Tallow,East India Company Territories and Ceylon,east india company territories and ceylon,United Kingdom,262.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99507
1835,Tallow,Sumatra Java and other Islands in the Indian Seas,sumatra java and other islands in the indian seas,United Kingdom,334.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99508
1836,Tallow,Brazil,brazil,United Kingdom,1490.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99510
1836,Tallow,Denmark,denmark,United Kingdom,12248.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99511
1836,Tallow,France,france,United Kingdom,3650.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99512
1836,Tallow,Holland,holland,United Kingdom,59.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99513
1836,Tallow,Italy,italy,United Kingdom,14032.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99514
1836,Tallow,Sweden,sweden,United Kingdom,8.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99515
1836,Tallow,World,world,United Kingdom,1186364.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,1,1,1,Tallow (raw),99516
1836,Tallow,Belgium,belgium,United Kingdom,439.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99517
1836,Tallow,Russia,russia,United Kingdom,1127283.0,CWTS (Hundredweights),0.0,British Pound,HCPP_Other,,0,,,Tallow (raw),99518
