commodity,commodity_family,family,route,material,hub,supplier,region,rank,note
"Cordage, Cables, Ropes And Twine",textiles,textiles,worked,hemp,"Bridport, Hull, Glasgow rope-walks",Philippine Islands,India & Southeast Asia,1,hemp worked up in Britain; supplier = major consignor of hemp to Britain
"Cordage, Cables, Ropes And Twine",textiles,textiles,worked,hemp,"Bridport, Hull, Glasgow rope-walks",Russia,Europe,2,hemp worked up in Britain; supplier = major consignor of hemp to Britain
"Cordage, Cables, Ropes And Twine",textiles,textiles,worked,hemp,"Bridport, Hull, Glasgow rope-walks",Italy,Europe,3,hemp worked up in Britain; supplier = major consignor of hemp to Britain
"Cordage, Cables, Ropes And Twine",textiles,textiles,worked,hemp,"Bridport, Hull, Glasgow rope-walks",Germany,Europe,4,hemp worked up in Britain; supplier = major consignor of hemp to Britain
"Cordage, Cables, Ropes And Twine",textiles,textiles,home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
"Tin, Unwrought",metals & minerals,metals & minerals,worked,tin,"Cornwall, Liverpool",Straits Settlements,India & Southeast Asia,1,tin worked up in Britain; supplier = major consignor of tin to Britain
"Tin, Unwrought",metals & minerals,metals & minerals,worked,tin,"Cornwall, Liverpool",New South Wales,Australasia & Pacific,2,tin worked up in Britain; supplier = major consignor of tin to Britain
"Tin, Unwrought",metals & minerals,metals & minerals,home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
Caoutchouc Manufactures,"oils, gums & dyes","oils, gums & dyes",worked,caoutchouc,"Silvertown, Manchester",Brazil,South America,1,caoutchouc worked up in Britain; supplier = major consignor of caoutchouc to Britain
Caoutchouc Manufactures,"oils, gums & dyes","oils, gums & dyes",worked,caoutchouc,"Silvertown, Manchester",Germany,Europe,2,caoutchouc worked up in Britain; supplier = major consignor of caoutchouc to Britain
Soap,"oils, gums & dyes",animal products,worked,tallow,"Liverpool, London soapers and candlers",United States Of America,North America,1,tallow worked up in Britain; supplier = major consignor of tallow to Britain
Soap,"oils, gums & dyes",animal products,worked,tallow,"Liverpool, London soapers and candlers",New South Wales,Australasia & Pacific,2,tallow worked up in Britain; supplier = major consignor of tallow to Britain
Soap,"oils, gums & dyes",animal products,worked,tallow,"Liverpool, London soapers and candlers",Argentine Republic,South America,3,tallow worked up in Britain; supplier = major consignor of tallow to Britain
Soap,"oils, gums & dyes",animal products,worked,tallow,"Liverpool, London soapers and candlers",New Zealand,Australasia & Pacific,4,tallow worked up in Britain; supplier = major consignor of tallow to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",Lagos,Africa,1,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",British West Africa,Africa,2,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",The Gold Coast,Africa,3,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",Germany,Europe,4,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",Niger Protectorate,Africa,5,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",worked,palm oil,"Liverpool (Port Sunlight, Widnes)",Portuguese Possessions In Western Africa,Africa,6,palm oil worked up in Britain; supplier = major consignor of palm oil to Britain
Soap,"oils, gums & dyes","oils, gums & dyes",home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
Wool,textiles,textiles,home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
Tea,food & drink,food & drink,worked,tea,London,China,China & Japan,1,tea worked up in Britain; supplier = major consignor of tea to Britain
Tea,food & drink,food & drink,worked,tea,London,Bengal,India & Southeast Asia,2,tea worked up in Britain; supplier = major consignor of tea to Britain
Tea,food & drink,food & drink,worked,tea,London,Ceylon,India & Southeast Asia,3,tea worked up in Britain; supplier = major consignor of tea to Britain
"Hides, Raw",animal products,animal products,home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
"Corn, Grain, Meal And Flour",food & drink,food & drink,home,,,Britain,Britain,0,"home-grown or mined material, or no traceable input"
